source	archive	internal_path	name	extension	size	sha256	status	format	system	domains	extracted	location
pk2	Data.pk2	/RegionInfo.txt	RegionInfo.txt	.txt	58974	787d9b417cf3044ff9260f484656002089f7406afd57f229a3c5ac85460739ff	PARTIAL	text	unknown	"[""region""]"	False
pk2	Data.pk2	/compound/char/china/1.cpd	1.cpd	.cpd	467	6116927cd93c12dfe9399a567e91e9fc79747aef9243106e4688501019f7a5cc	PROVEN	jmx-strings	rendering	"[""char""]"	False
pk2	Data.pk2	/compound/char/china/2.cpd	2.cpd	.cpd	388		PROVEN	jmx-strings	rendering	"[""char""]"	False
pk2	Data.pk2	/compound/char/china/3.cpd	3.cpd	.cpd	485		PROVEN	jmx-strings	rendering	"[""char""]"	False
pk2	Data.pk2	/compound/char/china/4.cpd	4.cpd	.cpd	405		PROVEN	jmx-strings	rendering	"[""char""]"	False
pk2	Data.pk2	/compound/char/china/5.cpd	5.cpd	.cpd	281		PROVEN	jmx-strings	rendering	"[""char""]"	False
pk2	Data.pk2	/compound/char/china/6.cpd	6.cpd	.cpd	495		PROVEN	jmx-strings	rendering	"[""char""]"	False
pk2	Data.pk2	/compound/char/china/7.cpd	7.cpd	.cpd	341		PROVEN	jmx-strings	rendering	"[""char""]"	False
pk2	Data.pk2	/compound/char/china/test.cpd	test.cpd	.cpd	442		PROVEN	jmx-strings	rendering	"[""char""]"	False
pk2	Data.pk2	/compound/dunch.cpd	dunch.cpd	.cpd	364		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/dunch2.cpd	dunch2.cpd	.cpd	407		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/dunch3.cpd	dunch3.cpd	.cpd	419		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/particle/air_garden40_water_ani.cpd	air_garden40_water_ani.cpd	.cpd	192		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/particle/air_garden8_water.cpd	air_garden8_water.cpd	.cpd	177		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/particle/bagh_pool01.cpd	bagh_pool01.cpd	.cpd	285		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/particle/bagh_pool02.cpd	bagh_pool02.cpd	.cpd	285		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/particle/cj_waterfall01.cpd	cj_waterfall01.cpd	.cpd	320		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/particle/cj_waterfall02.cpd	cj_waterfall02.cpd	.cpd	303		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/particle/cj_wf_dr.cpd	cj_wf_dr.cpd	.cpd	267		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/particle/dun_cen_s01.cpd	dun_cen_s01.cpd	.cpd	163		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/particle/dun_cen_s02.cpd	dun_cen_s02.cpd	.cpd	187		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/particle/dun_cen_water01.cpd	dun_cen_water01.cpd	.cpd	165		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/particle/dun_cen_water02.cpd	dun_cen_water02.cpd	.cpd	165		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/particle/dun_cen_water03.cpd	dun_cen_water03.cpd	.cpd	165		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/particle/dun_waterfall_big01.cpd	dun_waterfall_big01.cpd	.cpd	173		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/particle/dun_waterfall_small01.cpd	dun_waterfall_small01.cpd	.cpd	175		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/particle/dun_waterfall_small02.cpd	dun_waterfall_small02.cpd	.cpd	175		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/particle/dun_waterfall_small03.cpd	dun_waterfall_small03.cpd	.cpd	171		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/particle/dun_waterfall_small04.cpd	dun_waterfall_small04.cpd	.cpd	175		PROVEN	jmx-strings	rendering	[]	False
pk2	Data.pk2	/compound/particle/electus_m_xmas.bmt	electus_m_xmas.bmt	.bmt	415		PROVEN	map-bmt	rendering	[]	False
pk2	Data.pk2	/compound/particle/electus_m_xmas.ddj	electus_m_xmas.ddj	.ddj	1398276	91206bf3946566921087f4936d17b90641dc9239a51badfa1c01942a0b12cf0e	PROVEN	jmx-texture	rendering	[]	False
pk2	Data.pk2	/compound/particle/electus_m_xmas_attach.bms	electus_m_xmas_attach.bms	.bms	186107		PARTIAL	jmx-skeleton	rendering	[]	False
pk2	Data.pk2	/compound/particle/electus_m_xmas_hat.bms	electus_m_xmas_hat.bms	.bms	63432		PARTIAL	jmx-skeleton	rendering	[]	False
pk2	Data.pk2	/compound/particle/electus_m_xmas_part1.bms	electus_m_xmas_part1.bms	.bms	277438		PARTIAL	jmx-skeleton	rendering	[]	False
pk2	Data.pk2	/compound/particle/electus_m_xmas_part2.bms	electus_m_xmas_part2.bms	.bms	436252		PARTIAL	jmx-skeleton	rendering	[]	False
pk2	Data.pk2	/compound/particle/electus_m_xmbl.bmt	electus_m_xmbl.bmt	.bmt	415		PROVEN	map-bmt	rendering	[]	False
pk2	Data.pk2	/compound/particle/electus_m_xmbl.ddj	electus_m_xmbl.ddj	.ddj	1398276		PROVEN	jmx-texture	rendering	[]	False
pk2	Data.pk2	/compound/particle/electus_m_xmbl_attach.bms	electus_m_xmbl_attach.bms	.bms	186107		PARTIAL	jmx-skeleton	rendering	[]	False
