system	source	count	bytes
audio	pk2	50	76475511
client-binary	container	10	16295470
client-binary	filesystem	2	193
configuration	container	7	2564
configuration	filesystem	12	1256087
data-tables	pk2	165	114208765
database	sql-backup	4	122757120
effects	pk2	4792	177806423
map	pk2	19224	1270016926
minimap	pk2	7737	322894068
navigation	pk2	6072	850129638
networking	filesystem	29	2437354
region-data	container	103	137814
rendering	pk2	59915	2484146781
server-binary	filesystem	40	47048192
server-data	filesystem	138	89978129
server-logic	filesystem	863	3451690
ui	pk2	21629	371875740
unknown	container	1	823066624
unknown	pk2	47	10346025
