source_archive	source_path	status	source_size	source_sha256_1mib	decoded_format	decoded_w	decoded_h	output_path	output_size	output_sha256
Media.pk2	interface/worldmap/map/map_world_	UNRESOLVED								
Media.pk2	interface/worldmap/map/map_jangan.ddj	CONVERTED	524436	c714b9ad0d0b43f99dbd578918c1fe9572307d079d66cc245c2a365eb50c320e	DDS	1024	1024	android-assets/textures/worldmap/map_jangan.webp	230970	a4d024d5215e6ae8edac5c86765b3c65fb81a458d55a954e85e83a87d7478857
Media.pk2	interface/worldmap/map/map_donhwang.ddj	CONVERTED	131220	408e55067b9c491bd31815d669df0b04cd7c4dcfde38835cd09e941c839a3367	DDS	512	512	android-assets/textures/worldmap/map_donhwang.webp	89174	35fc32124361978699a3d92d10dffcf1e09d2502855440d509cddddb5f00edc0
Media.pk2	interface/worldmap/map/map_khotan.ddj	CONVERTED	262292	89cff5d291a0d193c1069ee92899731fda790ce61240e21fdef0e009a50c1924	DDS	512	1024	android-assets/textures/worldmap/map_khotan.webp	134648	ca3a47a63c0d4005d079eb1cd0cded3411bfbb0411698a761c93d84011590bcf
Media.pk2	interface/worldmap/map/map_samarkand.ddj	CONVERTED	524436	d4f0474390293f3555f57b69518744f0dba9b50455769169fee02af511b1ea92	DDS	512	512	android-assets/textures/worldmap/map_samarkand.webp	73086	c0d7711c36adb209416b478ffc1c6e986dc82561a7d9d30a5577c87e14456ce0
Media.pk2	interface/worldmap/map/map_constantinople.ddj	CONVERTED	524436	698148578b1e440b8729b82fdf7d5601418c173183db157851dbd6948463f7e9	DDS	1024	1024	android-assets/textures/worldmap/map_constantinople.webp	262724	08120e1205b66bf36ded7ecf92e66398b39a5d25a6b2a68c8c69af8142a484c0
Media.pk2	interface/worldmap/map/map_war_star.ddj	CONVERTED	262292	77ac5b810cf09661f1bd43d007490d8c49ddc017215876a71399dcf4a7c37acf	DDS	1024	512	android-assets/textures/worldmap/map_war_star.webp	64378	2d895eff05270ac0b9b304249e5799915b0942bf73b4917e5a337d47621ae7ef
Media.pk2	interface/worldmap/map/map_war_moon.ddj	CONVERTED	524436	9b45a4f7a5a64fb613d34f1988a29ec6995ab30a57828d90b3b61487c83e1cef	DDS	1024	1024	android-assets/textures/worldmap/map_war_moon.webp	77320	7dd68f39ac47f7d412d68ae194b3033a4cff97ba9ef56f5ee1ccda8cc9037663
Media.pk2	interface/worldmap/map/map_war_sun.ddj	CONVERTED	524436	63c9403a21784d873ee132494d948064f2ab6ed1eb354a0d026116b1d9ee872e	DDS	1024	1024	android-assets/textures/worldmap/map_war_sun.webp	97978	cd29aa554bb2c66fca2269ba033d43f46a767bec8ca49b6e139d6d83a45a2ce2
Media.pk2	interface/worldmap/map/map_war_dragon.ddj	CONVERTED	524436	b1fc4aac2d428b9ffe5d4aa0df5cf037580bbe07b1dc285e27330e179ce9d2b1	DDS	1024	1024	android-assets/textures/worldmap/map_war_dragon.webp	92566	3caef1b7f7b8029e3de6043ac0838a03fc8188bb603d5c696bd4505750d88f46
Media.pk2	interface/worldmap/map/map_war_bongbird.ddj	CONVERTED	131220	b9a744497eff1e4edddc0eb1b804eb1758235e8644d2f04d4f59615ac77510f4	DDS	512	512	android-assets/textures/worldmap/map_war_bongbird.webp	71020	68af9e2edf429ed3d99a7c5f473d179d50de46c39150ec0bad69b350d72b5aba
Media.pk2	interface/worldmap/map/map_war_joobird.ddj	CONVERTED	262292	b6d8bab7e6074cc3838145b06c09fefce8427abab3897d3d693fb916ea5fe680	DDS	1024	512	android-assets/textures/worldmap/map_war_joobird.webp	82000	2fb12c7491d8407070bb84caccb9bff8027ea4ace050d340740f36ba78fdbdff
