type,name,code,sx0,sx1,sy0,sy1,ref_sx,ref_sy,cells
TOWN,ThiefTown,,182,182,96,96,182,96,1
FIELD,DonwhangCave,donwhang,1,1,128,128,1,128,1
FIELD,CTF_Cave,donwhang_event,9,9,128,128,9,128,1
FIELD,JanganCave456,jinsi,2,4,128,128,2,128,3
FIELD,JanganCave3,jinsi,5,5,128,128,5,128,1
FIELD,JanganCave12,jinsi,6,7,128,128,6,128,2
TOWN,Jangan_Fortress,,69,73,69,70,69,69,10
FIELD,Jangan_Fortress,,69,73,67,68,69,67,10
TOWN,Bandit_Fortress,,78,80,67,69,78,67,9
FIELD,Bandit_Fortress,,77,80,67,70,77,67,14
TOWN,Hotan_Fortress,,69,72,58,64,69,58,22
FIELD,Hotan_Fortress,,68,72,57,64,68,57,22
TOWN,Jangan,,167,169,96,99,167,96,12
FIELD,Jangan_Field,,156,182,89,102,156,89,171
TOWN,Donwhang,,152,153,102,104,152,102,5
FIELD,Donwhang_Field,,143,161,89,106,143,89,226
TOWN,Hotan,,133,137,90,94,133,90,15
FIELD,Hotan_Field,,130,142,88,101,130,88,114
FIELD,Karakoram,,121,131,84,96,121,84,117
FIELD,Taklamakan,,125,139,97,105,125,97,105
FIELD,Roc_Mountain,,104,192,84,102,104,84,207
TOWN,Constantinople,,76,81,103,108,76,103,25
FIELD,Eastern_Europe,,68,182,87,110,68,87,156
FIELD,Asia_Minor,,88,104,96,107,88,96,154
TOWN,Samarkand,,106,109,106,108,106,106,10
FIELD,Central_Asia,,104,120,100,108,104,100,124
TOWN,Alexandria,,45,51,89,96,45,89,36
FIELD,Alexandria_Delta,,47,57,84,94,47,84,89
FIELD,Kings_Valley,,56,75,72,77,56,72,121
FIELD,Storm_Desert,,64,76,81,88,64,81,104
FIELD,Pharaoh_Novice,,191,196,113,118,191,113,36
FIELD,Pharaoh_Expert,,191,197,120,125,191,120,42
FIELD,Pharaoh_Master,,178,184,120,125,178,120,42
FIELD,Job_Temple,egypt,10,16,128,128,10,128,7
FIELD,BattleArena_Score,,211,220,125,126,211,125,5
FIELD,BattleArena_Flag,,212,219,121,122,212,121,11
FIELD,BattleArena_Ocuppy,,212,215,114,116,212,114,9
FIELD,BattleArena_GNGWC,,210,213,108,110,210,108,12
FIELD,Fortress_Dungeon,fort_dungeon,17,17,128,128,17,128,1
FIELD,FGW_EarthGhostTown,,121,127,225,232,121,225,56
FIELD,FGW_FlameMountain,flame_dungeon,18,18,128,128,18,128,1
FIELD,FGW_Wreck,,220,252,104,117,220,104,448
FIELD,Cemetery,,215,218,107,110,215,107,16
FIELD,Jupiter_Temple_A,,235,237,123,125,235,123,9
FIELD,Jupiter_Temple_Boss_1,jupiter,19,19,128,128,19,128,1
FIELD,Jupiter_Temple_Boss_2,jupiter,20,20,128,128,20,128,1
FIELD,Jupiter_Temple_Boss_3,jupiter,21,21,128,128,21,128,1
FIELD,Jupiter_Temple_B,jupiter,22,22,128,128,22,128,1
FIELD,Mirror_Dimension,,200,214,84,100,200,84,255
TOWN,CHINA_SYSTEM,,94,189,94,189,94,94,10
FIELD,Constantinople_Fortress,,91,94,60,63,91,60,10
FIELD,Eastern_Europe,,76,77,100,102,76,100,3
FIELD,Styria_Clash,,241,242,124,125,241,124,4
FIELD,Baghdad_Dungeon,,82,86,91,94,82,91,20
FIELD,Kirk,,82,87,86,89,82,86,24
FIELD,Phantom_Desert,,79,82,73,81,79,73,36
FIELD,Baghdad,,88,94,85,89,88,85,26
FIELD,Arabia_Desert,,85,95,73,84,85,73,120
FIELD,Kalia_Hideout,arabia,25,25,128,128,25,128,1
FIELD,Petra_Dungeon,,77,85,83,89,77,83,30
FIELD,Gods_Garden,,246,248,123,125,246,123,9
FIELD,Survival_Colosseum,,235,237,98,100,235,98,9
FIELD,Survival_Desert,,239,242,97,100,239,97,16
FIELD,Survival_China,,244,247,97,100,244,97,16
FIELD,BattlefieldOfInfinity,,211,212,105,105,211,105,2
FIELD,OTHER_SKYTEMPLE_A,,217,224,92,100,217,92,72
FIELD,OTHER_SKYTEMPLE_B,,226,233,92,100,226,92,72
FIELD,OTHER_SKYTEMPLE_C,,217,224,82,90,217,82,72
FIELD,OTHER_SKYTEMPLE_D,,226,233,82,90,226,82,72
FIELD,GM_EVENT,jinsi,23,23,128,128,23,128,1
FIELD,PRISON,flame_dungeon,24,24,128,128,24,128,1
FIELD,BOSS_DUNGEON,jupiter,26,26,128,128,26,128,1
