1933	MOB_CH_MANGNYANG	mob\china\mangnyang.bsr
1934	MOB_CH_BIGEYEGHOST_CLON	xxx
1935	MOB_CH_BIGEYEGHOST	mob\china\bigeyeghost.bsr
1936	MOB_CH_GYO_CLON	xxx
1937	MOB_CH_GYO	mob\china\gyo.bsr
1938	MOB_CH_WATERGHOST_CLON	xxx
1939	MOB_CH_WATERGHOST	mob\china\waterghost.bsr
1940	MOB_CH_STONEGHOST_CLON	xxx
1941	MOB_CH_STONEGHOST	mob\china\stoneghost.bsr
1942	MOB_CH_YEOHA_CLON	xxx
1943	MOB_CH_YEOHA	mob\china\yeoha.bsr
1944	MOB_CH_BANDITARCHER_CLON	xxx
1945	MOB_CH_BANDITARCHER	mob\china\banditarcher.bsr
1946	MOB_CH_TIGER_CLON	xxx
1947	MOB_CH_TIGER	mob\china\tiger.bsr
1948	MOB_CH_BANDIT_CLON	xxx
1949	MOB_CH_BANDIT	mob\china\bandit.bsr
1950	MOB_CH_TOMBSTONE_CLON	xxx
1951	MOB_CH_TOMBSTONE	mob\china\tombstone.bsr
1952	MOB_CH_WHITETIGER_CLON	xxx
1953	MOB_CH_WHITETIGER	mob\china\whitetiger.bsr
1954	MOB_CH_TIGERWOMAN	mob\china\tigerwoman.bsr
1955	MOB_CH_CHAKJI_CLON	xxx
1956	MOB_CH_CHAKJI	mob\china\chakji.bsr
1958	MOB_WC_GHOSTBUG	mob\wchina\ghostbug.bsr
1960	MOB_WC_DEVILBUG	mob\wchina\devilbug.bsr
1962	MOB_WC_EARTHGHOST_CLON	xxx
1963	MOB_WC_EARTHGHOST	mob\wchina\earthghost.bsr
1964	MOB_WC_GUNPOWDERGHOST_CLON	xxx
1965	MOB_WC_GUNPOWDERGHOST	mob\wchina\gunpowderghost.bsr
1966	MOB_WC_EARTHKING	mob\wchina\earthking.bsr
1967	MOB_WC_DEMONHORSE_CLON	xxx
1968	MOB_WC_DEMONHORSE	mob\wchina\demonhorse.bsr
1969	MOB_WC_HYEONGCHEON_CLON	xxx
1970	MOB_WC_HYEONGCHEON	mob\wchina\hyeongcheon.bsr
1971	MOB_DH_BUGGHOST	mob\dunhuang\bugghost.bsr
1972	MOB_DH_WORKEARTHGHOST	mob\dunhuang\workearthghost.bsr
1973	MOB_DH_SOLDIEREARTHGHOST	mob\dunhuang\soldierearthghost.bsr
1974	MOB_DH_BLINDMON	mob\dunhuang\blindmon.bsr
1975	MOB_DH_YACHA	mob\dunhuang\yacha.bsr
1976	MOB_DH_NACHAL	mob\dunhuang\nachal.bsr
1977	MOB_OA_SCORPION	mob\oasis\scorpion.bsr
1978	MOB_OA_ONG	mob\oasis\ong.bsr
1979	MOB_OA_DESERTTRUNKZ	mob\oasis\deserttrunkz.bsr
1980	MOB_OA_BLACKROBBER	mob\oasis\blackrobber.bsr
1981	MOB_OA_BLACKROBBERARCHER	mob\oasis\blackrobberarcher.bsr
1982	MOB_OA_URUCHI	mob\oasis\uruchi.bsr
1983	MOB_OA_REDEYEGHOST	mob\oasis\redeyeghost.bsr
1984	MOB_OA_REDSCORPION	mob\oasis\redscorpion.bsr
1985	MOB_KT_BUNWANG_CLON	xxx
1987	MOB_KT_BUNWANG	mob\khotan\bunwang.bsr
1990	MOB_KT_WHITESPIDER	mob\khotan\whitespider.bsr
1991	MOB_KT_MUJIGI	mob\khotan\mujigi.bsr
1994	MOB_KT_WHITESPIDER_CLON	xxx
1995	MOB_KK_GWHITESPIDER	mob\karakoram\gwhitespider.bsr
1996	MOB_KK_YETI	mob\karakoram\yeti.bsr
2000	MOB_KK_PLANAR_CLON	xxx
2002	MOB_KK_ISYUTARU	mob\karakoram\isyutaru.bsr
2003	NPC_CH_SMITH	npc\npc\chinashop_smith.bsr
2004	NPC_CH_ARMOR	npc\npc\chinashop_dignifiedgirl.bsr
2005	NPC_CH_POTION	npc\npc\chinashop_herbalistman.bsr
2008	NPC_CH_ACCESSORY	npc\npc\chinashop_accessoryshopgirl.bsr
2009	NPC_CH_HORSE	npc\npc\chinashop_stableman.bsr
2010	NPC_CH_SPECIAL	npc\npc\chinashop_spacialmerchant.bsr
2011	NPC_CH_FERRY	npc\npc\chinasystem_boatman1.bsr
2013	NPC_CH_WAREHOUSE_M	npc\npc\chinasystem_warehousekeeper.bsr
2014	NPC_CH_WAREHOUSE_W	npc\npc\chinasystem_warehousekeeper_woman.bsr
2015	NPC_CH_TICKET	npc\npc\chinasystem_bookmakergirl.bsr
2016	NPC_CH_LOTTERY	npc\npc\chinasystem_bookmakerman.bsr
2017	NPC_CH_SHAMAN	npc\npc\chinasystem_shaman.bsr
2018	NPC_CH_CHEF	npc\npc\chinaquest_villageheadman.bsr
2019	NPC_CH_GENARAL	npc\npc\chinaquest_merchant.bsr
2020	NPC_CH_GENARAL_SW	npc\npc\chinaquest_merchant_sword.bsr
2021	NPC_CH_GENARAL_SP	npc\npc\chinaquest_merchant_spear.bsr
2022	NPC_CH_GENARAL_BO	npc\npc\chinaquest_merchant_bow.bsr
2023	NPC_CH_PRIEST	npc\npc\chinaquest_priest.bsr
2027	NPC_CH_DOCTOR	npc\npc\chinaquest_doctor.bsr
2028	NPC_CH_ISLAM	npc\npc\chinaetc_islamman.bsr
2029	NPC_CH_EUROPE	npc\npc\chinaetc_europegirl.bsr
2030	NPC_CH_INDIA	npc\npc\chinaetc_indiapriest.bsr
2031	NPC_CH_SOLDIER_EM1	npc\npc\chinaetc_soldierpalace1.bsr
2032	NPC_CH_SOLDIER_EM2	npc\npc\chinaetc_soldierpalace2.bsr
2033	NPC_CH_SOLDIER_EA1	npc\npc\chinaetc_soldiereast1.bsr
2034	NPC_CH_SOLDIER_EA2	npc\npc\chinaetc_soldiereast2.bsr
2035	NPC_CH_SOLDIER_WE1	npc\npc\chinaetc_soldierwest1.bsr
2036	NPC_CH_SOLDIER_WE2	npc\npc\chinaetc_soldierwest2.bsr
2037	NPC_CH_SOLDIER_SO1	npc\npc\chinaetc_soldiersouth1.bsr
2038	NPC_CH_SOLDIER_SO2	npc\npc\chinaetc_soldiersouth2.bsr
2039	NPC_CH_BEGGARBOY	npc\npc\chinaetc_slumboy.bsr
2040	NPC_CH_BIGMAN	npc\npc\chinaetc_gamblingplaceman.bsr
2041	NPC_CH_KISAENG1	npc\npc\chinaetc_kisaeng1.bsr
2042	NPC_CH_KISAENG2	npc\npc\chinaetc_kisaeng2.bsr
2043	NPC_CH_KISAENG3	npc\npc\chinaetc_kisaeng3.bsr
2044	NPC_CH_KISAENG4	npc\npc\chinaetc_kisaeng4.bsr
2045	NPC_CH_KISAENG5	npc\npc\chinaetc_kisaeng5.bsr
2046	NPC_CH_KISAENG6	npc\npc\chinaetc_kisaeng6.bsr
2051	NPC_WC_SMITH	npc\npc\westchinashop_smith.bsr
2052	NPC_WC_ARMOR	npc\npc\westchinashop_armorshopgirl.bsr
2053	NPC_WC_POTION	npc\npc\westchinashop_herbalistman.bsr
2054	NPC_WC_ACCESSORY	npc\npc\westchinashop_accessoryshopgirl.bsr
2055	NPC_WC_HORSE	npc\npc\westchinashop_stableman.bsr
2056	NPC_WC_FERRY	npc\npc\westchinasystem_boatman1.bsr
2057	NPC_WC_WAREHOUSE_M	npc\npc\westchinasystem_warehousekeeper.bsr
2058	NPC_WC_WAREHOUSE_W	npc\npc\westchinasystem_warehousekeeper_woman.bsr
2059	NPC_WC_SPECIAL	npc\npc\westchinaquest_oldman.bsr
2060	NPC_WC_PRIEST1	npc\npc\westchinaquest_priest.bsr
2061	NPC_WC_PRIEST2	npc\npc\westchinaquest_hyunjang.bsr
2062	NPC_WC_GENARAL_SW	npc\npc\westchinaquest_merchant_sword.bsr
2063	NPC_WC_GENARAL_SP	npc\npc\westchinaquest_merchant_spear.bsr
2064	NPC_WC_GENARAL_BO	npc\npc\westchinaquest_merchant_bow.bsr
2065	NPC_WC_DOCTOR	npc\npc\westchinaquest_doctor.bsr
2066	NPC_WC_SOLDIER_EA1	npc\npc\westchinaetc_soldiereast1.bsr
2067	NPC_WC_SOLDIER_EA2	npc\npc\westchinaetc_soldiereast2.bsr
2068	NPC_WC_SOLDIER_WE1	npc\npc\westchinaetc_soldierwest1.bsr
2069	NPC_WC_SOLDIER_WE2	npc\npc\westchinaetc_soldierwest2.bsr
2070	NPC_WC_SOLDIER_SO	npc\npc\westchinaetc_soldiersouth1.bsr
2071	NPC_WC_PRIEST3	npc\npc\westchinaetc_maintemplepriest.bsr
2072	NPC_KT_SMITH	npc\npc\khotanshop_smith.bsr
2073	NPC_KT_ARMOR	npc\npc\khotanshop_armor.bsr
2074	NPC_KT_POTION	npc\npc\khotanshop_veilgirl.bsr
2075	NPC_KT_ACCESSORY	npc\npc\khotanshop_craftsman.bsr
2076	NPC_KT_HORSE	npc\npc\khotanshop_stableman.bsr
2077	NPC_KT_SPECIAL	npc\npc\khotanshop_spacialmerchant.bsr
2078	NPC_KT_DESIGNER	npc\npc\khotanshop_designer.bsr
2079	NPC_KT_FERRY	npc\npc\khotansystem_turtleshipticketagent.bsr
2083	NPC_KT_WAREHOUSE	npc\npc\khotansystem_warehousekeeper.bsr
2084	NPC_KT_MANAGER	npc\npc\khotanquest_refiner.bsr
2085	NPC_KT_MINISTER	npc\npc\khotanquest_minister.bsr
2086	NPC_KT_SOLDIER_EM1	npc\npc\khotanetc_soldierpalace.bsr
2087	NPC_KT_SOLDIER_EM2	npc\npc\khotanetc_soldierpalace2.bsr
2088	NPC_KT_SOLDIER_EA1	npc\npc\khotanetc_soldiereast.bsr
2089	NPC_KT_SOLDIER_EA2	npc\npc\khotanetc_soldiereast2.bsr
2090	NPC_KT_SOLDIER_SO1	npc\npc\khotanetc_soldierwest.bsr
2091	NPC_KT_SOLDIER_SO2	npc\npc\khotanetc_soldierwest2.bsr
2092	NPC_KT_SOLDIER_WE1	npc\npc\khotanetc_soldiersouth.bsr
2093	NPC_KT_SOLDIER_WE2	npc\npc\khotanetc_soldiersouth2.bsr
2097	MOB_WC_HYUNGNO	mob\wchina\hyungno.bsr
2098	MOB_WC_HYUNGNO_CLON	xxx
2099	MOB_WC_EARTHKING_CLON	xxx
2100	MOB_OA_SCORPION_CLON	xxx
2101	MOB_OA_DESERTTRUNKZ_CLON2	xxx
2102	MOB_OA_ONG_CLON	xxx
2103	MOB_OA_BLACKROBBER_CLON	xxx
2104	MOB_OA_YEOWA_CLON	xxx
