refid	key	variant	status	spawn_count
10364	res_npc_npc_khotanquest_minister	0	PROVEN	4
14926	res_mob_asiam_crab	0	PROVEN	65
14927	res_mob_asiam_rogue	0	PROVEN	52
14929	res_mob_asiam_wolf	0	PROVEN	144
14931	res_mob_asiam_archer	0	PROVEN	95
14933	res_mob_asiam_soldier	0	PROVEN	103
14935	res_mob_asiam_punisher	0	PROVEN	113
14936	res_mob_asiam_ivy	0	PROVEN	8
14938	res_mob_casia_peryton	0	PROVEN	113
14943	res_mob_casia_hunarcher	0	PROVEN	170
14944	res_mob_casia_hunlancer	0	PROVEN	169
14946	res_mob_casia_monkey	0	PROVEN	119
14948	res_mob_casia_golem	0	PROVEN	100
14949	res_mob_qinshi_tombsoldier	0	PROVEN	39
14950	res_mob_qinshi_qinshitombstone	0	PROVEN	19
14951	res_mob_qinshi_tombsoldier	0	PROVEN	39
14952	res_mob_qinshi_qinshitombstone	0	PROVEN	19
14953	res_mob_qinshi_tombsoldier	0	PROVEN	39
14954	res_mob_qinshi_tombarcher	0	PROVEN	53
14955	res_mob_qinshi_qinshitombstone	0	PROVEN	19
14956	res_mob_qinshi_tombarcher	0	PROVEN	53
14957	res_mob_qinshi_tombstoneghost	0	PROVEN	130
14958	res_mob_qinshi_tombarcher	0	PROVEN	53
14959	res_mob_qinshi_tombstoneghost	0	PROVEN	130
14960	res_mob_qinshi_royalsoldier	0	PROVEN	68
14961	res_mob_qinshi_tombstoneghost	0	PROVEN	130
14962	res_mob_qinshi_royalsoldier	0	PROVEN	68
14963	res_mob_qinshi_royalsoldier	0	PROVEN	68
14964	res_mob_qinshi_tombbugghost	0	PROVEN	160
14965	res_mob_qinshi_snakeslave	0	PROVEN	90
14966	res_mob_qinshi_tombbugghost	0	PROVEN	160
14967	res_mob_qinshi_snakewoman	0	PROVEN	197
14968	res_mob_qinshi_tombbugghost	0	PROVEN	160
14969	res_mob_qinshi_snakeslave	0	PROVEN	90
14970	res_mob_qinshi_snakewoman	0	PROVEN	197
14971	res_mob_qinshi_snakedemon	0	PROVEN	111
14972	res_mob_qinshi_snakeslave	0	PROVEN	90
14973	res_mob_qinshi_snakedemon	0	PROVEN	111
14974	res_mob_qinshi_snakeman	0	PROVEN	176
14975	res_mob_qinshi_snakewoman	0	PROVEN	197
14976	res_mob_qinshi_snakeman	0	PROVEN	176
14977	res_mob_qinshi_snakedemon	0	PROVEN	111
14978	res_mob_qinshi_snakeman	0	PROVEN	176
14983	res_mob_qinshi_tombgeneral	0	PROVEN	4
14984	res_mob_qinshi_tombgeneral	0	PROVEN	4
14985	res_mob_qinshi_tombgeneral	0	PROVEN	4
14986	res_mob_qinshi_tombgeneral	0	PROVEN	4
14987	res_mob_qinshi_snakegeneral	0	PROVEN	5
14988	res_mob_qinshi_snakegeneral	0	PROVEN	5
14989	res_mob_qinshi_snakegeneral	0	PROVEN	5
14990	res_mob_qinshi_snakegeneral	0	PROVEN	5
14991	res_mob_qinshi_northguardian	0	PROVEN	1
14992	res_mob_qinshi_southguardian	0	PROVEN	1
14993	res_mob_qinshi_westguardian	0	PROVEN	1
14994	res_mob_qinshi_eastguardian	0	PROVEN	1
14995	res_mob_qinshi_blacksnake	0	PROVEN	1
14997	res_mob_qinshi_whitesnake	0	PROVEN	1
14998	res_mob_qinshi_qinshitrap	0	PROVEN	216
14999	res_mob_qinshi_qinshitrap	0	PROVEN	216
15000	res_mob_qinshi_qinshitrap	0	PROVEN	216
15001	res_mob_qinshi_qinshitrap	0	PROVEN	216
15002	res_mob_qinshi_qinshitrap	0	PROVEN	216
15003	res_mob_qinshi_qinshitrap	0	PROVEN	216
15004	res_mob_qinshi_snaketrap	0	PROVEN	336
15005	res_mob_qinshi_snaketrap	0	PROVEN	336
