refid	region	sector	local_x	local_z	world_x	world_z	height
36123	31971	227x124	656.99	1193.14	136976.99	68393.14	779.47
36123	31719	231x123	851.42	1781.71	144851.42	67061.71	691.54
36124	31971	227x124	656.99	1193.14	136976.99	68393.14	779.47
36124	31719	231x123	851.42	1781.71	144851.42	67061.71	691.54
36125	31971	227x124	656.99	1193.14	136976.99	68393.14	779.47
36125	31719	231x123	851.42	1781.71	144851.42	67061.71	691.54
36126	31971	227x124	656.99	1193.14	136976.99	68393.14	779.47
36126	31719	231x123	851.42	1781.71	144851.42	67061.71	691.54
36127	31971	227x124	656.99	1193.14	136976.99	68393.14	779.47
36127	31719	231x123	851.42	1781.71	144851.42	67061.71	691.54
36128	31971	227x124	656.99	1193.14	136976.99	68393.14	779.47
36128	31719	231x123	851.42	1781.71	144851.42	67061.71	691.54
36315	28642	226x111	34.52	1738.33	134434.52	43978.33	-300
36313	27890	242x108	1731.01	239.48	166851.01	36719.48	-800
36313	29430	246x114	1025.05	1288.34	173825.05	49288.34	-800
36314	27890	242x108	1731.01	239.48	166851.01	36719.48	-800
36314	29430	246x114	1025.05	1288.34	173825.05	49288.34	-800
36317	27890	242x108	1731.01	239.48	166851.01	36719.48	-800
36317	29430	246x114	1025.05	1288.34	173825.05	49288.34	-800
36318	27890	242x108	1731.01	239.48	166851.01	36719.48	-800
36318	29430	246x114	1025.05	1288.34	173825.05	49288.34	-800
36217	-32750	18x-128	-40.55	-13015.76	-265000.55	-429655.76	103.97
36217	-32750	18x-128	658.12	11807.36	-264301.88	-404832.64	152.57
36218	-32750	18x-128	-40.55	-13015.76	-265000.55	-429655.76	103.97
36218	-32750	18x-128	658.12	11807.36	-264301.88	-404832.64	152.57
36219	-32750	18x-128	-40.55	-13015.76	-265000.55	-429655.76	103.97
36219	-32750	18x-128	658.12	11807.36	-264301.88	-404832.64	152.57
36220	-32750	18x-128	-40.55	-13015.76	-265000.55	-429655.76	103.97
36220	-32750	18x-128	658.12	11807.36	-264301.88	-404832.64	152.57
36221	-32750	18x-128	-40.55	-13015.76	-265000.55	-429655.76	103.97
36221	-32750	18x-128	658.12	11807.36	-264301.88	-404832.64	152.57
36222	-32750	18x-128	-40.55	-13015.76	-265000.55	-429655.76	103.97
36222	-32750	18x-128	658.12	11807.36	-264301.88	-404832.64	152.57
36223	-32750	18x-128	-40.55	-13015.76	-265000.55	-429655.76	103.97
36223	-32750	18x-128	658.12	11807.36	-264301.88	-404832.64	152.57
36224	-32750	18x-128	-40.55	-13015.76	-265000.55	-429655.76	103.97
36224	-32750	18x-128	658.12	11807.36	-264301.88	-404832.64	152.57
36316	28642	226x111	34.52	1738.33	134434.52	43978.33	-300
36319	28642	226x111	34.52	1738.33	134434.52	43978.33	-300
36320	28642	226x111	34.52	1738.33	134434.52	43978.33	-300
36315	27876	228x108	70.28	1151.99	138310.28	37631.99	-300
36316	27876	228x108	70.28	1151.99	138310.28	37631.99	-300
36319	27876	228x108	70.28	1151.99	138310.28	37631.99	-300
36320	27876	228x108	70.28	1151.99	138310.28	37631.99	-300
