refid	region	sector	local_x	local_z	world_x	world_z	height
43835	24146	82x94	1893.44	338.17	-140186.56	9938.17	-431.19
43835	24147	83x94	366.74	615.57	-139793.26	10215.57	-430.72
43835	24147	83x94	837.43	1097.34	-139322.57	10697.34	-403.69
43836	22869	85x89	390.68	1413.33	-135929.32	1413.33	45.8
43836	22869	85x89	673.78	967.59	-135646.22	967.59	45.18
43836	22869	85x89	1104.24	1355.78	-135215.76	1355.78	50.81
43836	22869	85x89	1695.9	1025.01	-134624.1	1025.01	10.17
43836	22870	86x89	396.58	1568.47	-134003.42	1568.47	26.13
43836	22870	86x89	940.84	1173.38	-133459.16	1173.38	22.47
43836	22870	86x89	253.83	355.39	-134146.17	355.39	69.22
43836	22614	86x88	246.86	1424.27	-134153.14	-495.73	40.46
43836	22614	86x88	708.49	1189.92	-133691.51	-730.08	32.93
43836	22870	86x89	1761.17	1248.94	-132638.83	1248.94	74.01
43836	22614	86x88	1829.84	1377.27	-132570.16	-542.73	77.51
43836	22871	87x89	250.3	519.83	-132229.7	519.83	46.18
43836	22872	88x89	182.32	1139.68	-130377.68	1139.68	14.46
43836	22871	87x89	1346.84	1326.37	-131133.16	1326.37	38.51
43836	22871	87x89	1044.73	330.59	-131435.27	330.59	36.83
43836	22615	87x88	1320.65	1778.58	-131159.35	-141.42	61.25
43836	22615	87x88	1504.59	1291.06	-130975.41	-628.94	51.37
43836	22614	86x88	1920.0	955.59	-132480.0	-964.41	70.15
43836	22615	87x88	275.43	1150.84	-132204.57	-769.16	96.87
43836	22615	87x88	1382.2	412.88	-131097.8	-1507.12	275.5
43836	22613	85x88	1896.04	44.52	-134423.96	-1875.48	35.12
43836	22357	85x87	1676.86	1635.4	-134643.14	-2204.6	-2.27
43836	22358	86x87	286.13	1604.44	-134113.87	-2235.56	-1.92
43836	22615	87x88	320.98	223.31	-132159.02	-1696.69	70.42
43836	22614	86x88	702.92	551.11	-133697.08	-1368.89	43.39
43836	22615	87x88	65.42	298.69	-132414.58	-1621.31	70.53
43836	22613	85x88	1545.77	941.5	-134774.23	-978.5	20.55
43836	22868	84x89	1413.39	1035.38	-136826.61	1035.38	37.69
43836	22869	85x89	119.05	937.97	-136200.95	937.97	15.19
43836	22869	85x89	1543.72	177.27	-134776.28	177.27	60.9
43836	22357	85x87	1546.1	1920.0	-134773.9	-1920.0	20.42
43836	22872	88x89	410.99	38.82	-130149.01	38.82	-26.21
43836	22872	88x89	354.18	755.63	-130205.82	755.63	3.19
43836	22616	88x88	289.58	1506.01	-130270.42	-413.99	1.6
43836	22871	87x89	1716.42	214.43	-130763.58	214.43	13.39
43836	22872	88x89	50.77	809.58	-130509.23	809.58	10.05
43836	22615	87x88	1603.14	1669.96	-130876.86	-250.04	23.52
43836	22870	86x89	1352.95	175.84	-133047.05	175.84	89.76
43836	22870	86x89	1571.82	889.06	-132828.18	889.06	95.75
43836	22614	86x88	1692.91	1873.66	-132707.09	-46.34	78.03
43836	22871	87x89	32.99	464.4	-132447.01	464.4	66.77
43836	22614	86x88	1537.2	1443.6	-132862.8	-476.4	66.15
