refid	region	sector	local_x	local_z	world_x	world_z	height
43866	23891	83x93	1301.23	112.75	-138858.77	7792.75	-236.59
43866	23637	85x92	95.73	863.31	-136224.27	6623.31	-401.78
43866	23637	85x92	51.39	876.6	-136268.61	6636.6	-405.57
43866	23379	83x91	932.55	964.2	-139227.45	4804.2	-406.04
43866	23380	84x91	1204.29	1353.92	-137035.71	5193.92	-402.21
43866	23379	83x91	1107.44	1909.9	-139052.56	5749.9	-406.81
43866	23635	83x92	699.96	540.34	-139460.04	6300.34	-433.28
43866	23635	83x92	615.17	315.04	-139544.83	6075.04	-433.28
43866	23635	83x92	461.07	682.05	-139698.93	6442.05	-433.28
43866	23635	83x92	318.13	558.5	-139841.87	6318.5	-433.28
43866	23635	83x92	3.23	818.28	-140156.77	6578.28	-404.73
43866	23634	82x92	1050.66	1186.8	-141029.34	6946.8	-433.06
43866	23890	82x93	1519.8	1917.0	-140560.2	9597.0	-432.59
43866	23890	82x93	1790.9	1424.5	-140289.1	9104.5	-432.5
43866	24146	82x94	1022.0	354.89	-141058.0	9954.89	-432.56
43866	23890	82x93	689.0	1664.75	-141391.0	9344.75	-432.62
43866	23890	82x93	871.94	1574.47	-141208.06	9254.47	-432.63
43866	23890	82x93	726.58	1793.28	-141353.42	9473.28	-432.62
43866	23890	82x93	401.71	876.7	-141678.29	8556.7	-431.51
43866	23890	82x93	548.77	872.67	-141531.23	8552.67	-431.51
43866	23890	82x93	718.0	808.21	-141362.0	8488.21	-431.55
43866	23890	82x93	832.77	638.96	-141247.23	8318.96	-431.22
43866	23890	82x93	838.8	467.75	-141241.2	8147.75	-431.12
43866	23890	82x93	818.72	304.57	-141261.28	7984.57	-431.5
43866	23890	82x93	649.51	203.83	-141430.49	7883.83	-431.59
43866	23890	82x93	403.72	236.04	-141676.28	7916.04	-431.88
43866	23890	82x93	630.15	1398.51	-141449.85	9078.51	-432.37
43866	23634	82x92	720.01	1559.46	-141359.99	7319.46	-431.94
43866	23634	82x92	429.86	1631.99	-141650.14	7391.99	-431.92
43866	23634	82x92	512.23	1248.72	-141567.77	7008.72	-432.2
43866	23634	82x92	746.22	1204.82	-141333.78	6964.82	-432.05
43866	23634	82x92	1614.94	1377.52	-140465.06	7137.52	-411.89
43866	23637	85x92	508.85	1445.25	-135811.15	7205.25	-430.5
43866	23893	85x93	102.72	460.03	-136217.28	8140.03	-430.5
43866	23636	84x92	1876.71	1388.71	-136363.29	7148.71	-430.49
43866	23893	85x93	41.73	10.29	-136278.27	7690.29	-430.5
43866	23892	84x93	1041.89	562.93	-137198.11	8242.93	-290.59
43866	23636	84x92	937.2	1492.17	-137302.8	7252.17	-319.92
43866	23636	84x92	172.1	1243.26	-138067.9	7003.26	-319.92
43866	23636	84x92	448.75	874.29	-137791.25	6634.29	-319.96
43866	23891	83x93	460.55	193.18	-139699.45	7873.18	-320.72
43866	23891	83x93	449.28	190.47	-139710.72	7870.47	-320.76
43866	23893	85x93	1683.94	599.26	-134636.06	8279.26	-432.9
43866	23894	86x93	434.97	1826.83	-133965.03	9506.83	-432.9
43866	23638	86x92	469.03	1655.95	-133930.97	7415.95	-432.9
43866	23637	85x92	1583.11	1514.08	-134736.89	7274.08	-432.9
43866	23637	85x92	1069.53	1321.91	-135250.47	7081.91	-432.9
43866	23637	85x92	1303.11	878.37	-135016.89	6638.37	-432.9
43866	23893	85x93	1903.55	191.11	-134416.45	7871.11	-432.9
43866	23894	86x93	251.56	1084.54	-134148.44	8764.54	-432.9
43866	24147	83x94	1178.09	767.52	-138981.91	10367.52	-431
43866	23893	85x93	1717.09	1208.25	-134602.91	8888.25	-432.91
43866	23893	85x93	1153.25	1871.18	-135166.75	9551.18	-432.9
43866	24149	85x94	212.18	263.11	-136107.82	9863.11	-432.95
43866	24149	85x94	830.35	453.14	-135489.65	10053.14	-432.95
43866	24148	84x94	472.4	629.24	-137767.6	10229.24	-430.62
43866	24148	84x94	1086.83	362.19	-137153.17	9962.19	-430.51
43866	23892	84x93	1537.67	1863.44	-136702.33	9543.44	-430.5
43866	24147	83x94	532.96	8.77	-139627.04	9608.77	-430.72
43866	24146	82x94	1669.09	177.2	-140410.91	9777.2	-432.55
43866	24146	82x94	1721.61	875.41	-140358.39	10475.41	-430.73
