refid	region	sector	local_x	local_z	world_x	world_z	height
43846	22866	82x89	1177.09	861.0	-140902.91	861.0	86.43
43846	22866	82x89	947.5	577.93	-141132.5	577.93	47.13
43846	22610	82x88	1532.34	1331.73	-140547.66	-588.27	223.09
43846	22610	82x88	1776.23	1663.03	-140303.77	-256.97	179.16
43846	22610	82x88	1330.42	1701.55	-140749.58	-218.45	168.05
43846	22867	83x89	132.61	50.82	-140027.39	50.82	183.64
43846	22867	83x89	532.24	280.62	-139627.76	280.62	192.46
43846	22867	83x89	615.64	1233.96	-139544.36	1233.96	234.99
43846	22867	83x89	354.08	756.17	-139805.92	756.17	193.97
43846	22610	82x88	715.51	1706.8	-141364.49	-213.2	169.09
43846	22610	82x88	1024.26	1691.65	-141055.74	-228.35	151.97
43846	22867	83x89	234.76	376.73	-139925.24	376.73	151.26
43846	22867	83x89	368.23	1053.43	-139791.77	1053.43	176.55
43846	22866	82x89	1056.02	1023.27	-141023.98	1023.27	67.37
43846	22866	82x89	1548.03	494.37	-140531.97	494.37	26.4
43846	22866	82x89	1486.07	1016.87	-140593.93	1016.87	41.93
