refid	region	sector	local_x	local_z	world_x	world_z	height
43847	19535	79x76	1805.92	1109.12	-146034.08	-23850.88	-1027.81
43847	19535	79x76	1178.34	708.27	-146661.66	-24251.73	-1001.06
43847	19279	79x75	1482.47	1474.49	-146357.53	-25405.51	-970.89
43847	19536	80x76	4.84	355.77	-145915.16	-24604.23	-995.48
43847	19280	80x75	79.94	1513.29	-145840.06	-25366.71	-1005.29
43847	19538	82x76	346.99	290.86	-141733.01	-24669.14	-992.43
43847	19282	82x75	927.36	1901.5	-141152.64	-24978.5	-940.61
43847	19282	82x75	450.09	1552.24	-141629.91	-25327.76	-990.84
43847	19538	82x76	280.41	974.36	-141799.59	-23985.64	-989.03
43847	19538	82x76	904.41	657.3	-141175.59	-24302.7	-987.17
43847	20817	81x81	274.38	948.17	-143725.62	-14411.83	-95.78
43847	20817	81x81	534.64	635.84	-143465.36	-14724.16	-218.74
43847	20561	81x80	959.29	1678.07	-143040.71	-15601.93	-317.05
43847	20817	81x81	840.06	234.11	-143159.94	-15125.89	-279.81
43847	20817	81x81	507.84	122.59	-143492.16	-15237.41	-316.87
43847	20561	81x80	1387.14	756.16	-142612.86	-16523.84	-501.06
43847	20562	82x80	1198.86	1428.26	-140881.14	-15851.74	-196.34
43847	20562	82x80	1411.78	1591.76	-140668.22	-15688.24	-59.83
43847	20562	82x80	1109.89	1810.09	-140970.11	-15469.91	-19.56
43847	20818	82x81	932.91	64.16	-141147.09	-15295.84	-23.49
43847	20818	82x81	781.71	422.24	-141298.29	-14937.76	-17.71
43847	20818	82x81	952.18	642.51	-141127.82	-14717.49	59.58
43847	20818	82x81	1168.15	650.62	-140911.85	-14709.38	66.51
43847	20818	82x81	651.4	693.55	-141428.6	-14666.45	73.18
43847	20818	82x81	359.34	792.9	-141720.66	-14567.1	19.83
43847	20818	82x81	179.77	853.49	-141900.23	-14506.51	-1.33
43847	20818	82x81	218.37	566.38	-141861.63	-14793.62	-42.14
43847	20818	82x81	77.74	303.89	-142002.26	-15056.11	-181.92
43847	20818	82x81	491.43	364.5	-141588.57	-14995.5	-23.48
43847	20561	81x80	1495.78	1409.79	-142504.22	-15870.21	-398.21
43847	20561	81x80	1524.86	1765.76	-142475.14	-15514.24	-292.88
43847	20306	82x79	780.47	1867.22	-141299.53	-17332.78	-326.32
43847	20562	82x80	1179.63	7.9	-140900.37	-17272.1	-315.93
43847	20306	82x79	1226.08	1601.49	-140853.92	-17598.51	-363.46
43847	20306	82x79	1326.55	1378.24	-140753.45	-17821.76	-364.69
43847	20306	82x79	715.25	1587.55	-141364.75	-17612.45	-365.49
43847	20306	82x79	678.46	1226.05	-141401.54	-17973.95	-436.02
43847	20306	82x79	867.96	1004.41	-141212.04	-18195.59	-398.08
43847	20306	82x79	1113.72	786.75	-140966.28	-18413.25	-384.41
43847	20306	82x79	437.36	1698.25	-141642.64	-17501.75	-399.85
43847	20305	81x79	1078.46	590.38	-142921.54	-18609.62	-687.48
43847	20305	81x79	1430.67	583.88	-142569.33	-18616.12	-697.93
43847	20306	82x79	526.93	932.4	-141553.07	-18267.6	-493.49
43847	20305	81x79	610.22	1118.99	-143389.78	-18081.01	-562.56
43847	20305	81x79	551.8	1545.82	-143448.2	-17654.18	-577.98
43847	20305	81x79	590.6	743.22	-143409.4	-18456.78	-599.68
43847	20305	81x79	674.44	484.79	-143325.56	-18715.21	-661.73
43847	20561	81x80	1660.56	444.24	-142339.44	-16835.76	-443.87
43847	20562	82x80	438.89	393.94	-141641.11	-16886.06	-384.1
43847	20306	82x79	209.36	272.81	-141870.64	-18927.19	-605.26
43847	20306	82x79	605.27	538.46	-141474.73	-18661.54	-459.48
43847	20049	81x78	1570.31	1836.49	-142429.69	-19283.51	-713.21
43847	20049	81x78	1220.4	1686.2	-142779.6	-19433.8	-718.9
43847	20306	82x79	69.58	410.33	-142010.42	-18789.67	-630.67
43847	20562	82x80	288.26	1462.48	-141791.74	-15817.52	-218.33
43847	20305	81x79	1581.49	1509.18	-142418.51	-17690.82	-639.08
43847	20561	81x80	969.21	209.13	-143030.79	-17070.87	-555.14
43847	20306	82x79	512.02	1465.07	-141567.98	-17734.93	-505.65
43847	20306	82x79	421.56	1159.05	-141658.44	-18040.95	-567.88
43847	20306	82x79	264.31	868.34	-141815.69	-18331.66	-624.27
43847	20305	81x79	1529.5	399.57	-142470.5	-18800.43	-759.49
43847	20305	81x79	839.21	903.03	-143160.79	-18296.97	-659.37
43847	20304	80x79	1397.71	798.89	-144522.29	-18401.11	-723.22
43847	20304	80x79	362.34	1734.49	-145557.66	-17465.51	-513.59
