refid	region	sector	local_x	local_z	world_x	world_z	height
43868	23891	83x93	1177.58	216.31	-138982.42	7896.31	-236.59
43868	23636	84x92	484.46	759.82	-137755.54	6519.82	-319.96
43868	23635	83x92	1318.56	1319.7	-138841.44	7079.7	-320.94
43868	23635	83x92	1011.67	1592.96	-139148.33	7352.96	-320.92
43868	23891	83x93	477.64	272.73	-139682.36	7952.73	-320.72
43868	24150	86x94	303.36	85.89	-134096.64	9685.89	-432.9
43868	23638	86x92	574.67	1753.55	-133825.33	7513.55	-432.9
43868	23894	86x93	772.92	1075.03	-133627.08	8755.03	-432.9
43868	23894	86x93	315.32	1111.34	-134084.68	8791.34	-432.9
43868	23893	85x93	1768.24	703.03	-134551.76	8383.03	-432.9
43868	23893	85x93	1593.13	1312.33	-134726.87	8992.33	-433.01
43868	23893	85x93	1857.51	23.59	-134462.49	7703.59	-432.92
43868	23893	85x93	1144.07	1845.16	-135175.93	9525.16	-432.9
43868	23893	85x93	750.49	1645.76	-135569.51	9325.76	-432.9
43868	24149	85x94	1206.23	364.47	-135113.77	9964.47	-407.67
43868	24149	85x94	851.77	436.3	-135468.23	10036.3	-432.95
43868	24149	85x94	229.01	246.27	-136090.99	9846.27	-432.95
43868	23892	84x93	1199.06	1839.19	-137040.94	9519.19	-398.45
43868	24148	84x94	561.61	367.11	-137678.39	9967.11	-403.94
43868	24148	84x94	447.95	646.05	-137792.05	10246.05	-430.64
43868	24147	83x94	1149.02	767.52	-139010.98	10367.52	-430.82
43868	24147	83x94	572.7	196.77	-139587.3	9796.77	-430.72
43868	24148	84x94	234.21	971.88	-138005.79	10571.88	-407.7
43868	23892	84x93	1557.54	1868.02	-136682.46	9548.02	-430.5
43868	24148	84x94	1096.0	380.53	-137144.0	9980.53	-430.52
43868	24147	83x94	902.69	1097.35	-139257.31	10697.35	-403.75
43868	24147	83x94	24.77	780.65	-140135.23	10380.65	-430.72
43868	24147	83x94	493.28	11.9	-139666.72	9611.9	-431.21
43868	23891	83x93	746.96	1885.98	-139413.04	9565.98	-430.76
43868	23891	83x93	487.11	1731.6	-139672.89	9411.6	-430.72
43868	23891	83x93	279.26	1808.24	-139880.74	9488.24	-433.23
43868	24147	83x94	319.05	117.81	-139840.95	9717.81	-433.1
43868	24146	82x94	1850.69	1137.16	-140229.31	10737.16	-430.72
43868	24146	82x94	1466.35	957.95	-140613.65	10557.95	-430.78
43868	24146	82x94	1702.26	149.47	-140377.74	9749.47	-432.55
43868	24146	82x94	1684.55	893.06	-140395.45	10493.06	-430.73
