refid	region	sector	local_x	local_z	world_x	world_z	height
43852	19535	79x76	1209.46	711.65	-146630.54	-24248.35	-1001.94
43852	19279	79x75	1441.01	1489.89	-146398.99	-25390.11	-962.93
43852	19536	80x76	4.84	259.25	-145915.16	-24700.75	-995.63
43852	19280	80x75	62.67	1520.23	-145857.33	-25359.77	-1004.91
43852	19538	82x76	883.86	702.0	-141196.14	-24258.0	-987.73
43852	19538	82x76	346.98	397.6	-141733.02	-24562.4	-993.11
43852	19282	82x75	937.42	1915.25	-141142.58	-24964.75	-939.55
43852	19282	82x75	409.18	1551.46	-141670.82	-25328.54	-995.75
43852	19538	82x76	307.94	970.92	-141772.06	-23989.08	-989
43852	19791	79x77	1468.53	1508.49	-146371.47	-21531.51	-830.23
43852	19792	80x77	1056.2	1485.87	-144863.8	-21554.13	-898.19
43852	20048	80x78	961.47	508.19	-144958.53	-20611.81	-833.17
43852	20048	80x78	628.44	350.67	-145291.56	-20769.33	-859.81
43852	20048	80x78	412.36	194.12	-145507.64	-20925.88	-882.02
43852	19793	81x77	1768.06	1918.31	-142231.94	-21121.69	-861.27
43852	19793	81x77	111.36	1170.97	-143888.64	-21869.03	-989
43852	19793	81x77	1016.89	774.64	-142983.11	-22265.36	-1019.66
43852	19793	81x77	1856.39	68.13	-142143.61	-22971.87	-1003.7
43852	19538	82x76	431.69	357.03	-141648.31	-24602.97	-988.72
43852	19792	80x77	381.42	52.74	-145538.58	-22987.26	-1010
43852	19535	79x76	1275.96	1350.14	-146564.04	-23609.86	-1012.33
43852	19535	79x76	1720.02	351.26	-146119.98	-24608.74	-989
43852	19538	82x76	350.57	1276.09	-141729.43	-23683.91	-989.54
43852	19538	82x76	1053.71	484.51	-141026.29	-24475.49	-966.65
43852	19538	82x76	1051.88	1339.26	-141028.12	-23620.74	-943.56
43852	19794	82x77	551.63	444.22	-141528.37	-22595.78	-982.64
43852	19794	82x77	1359.56	1140.2	-140720.44	-21899.8	-672.06
43852	19791	79x77	1325.16	159.42	-146514.84	-22880.58	-967.57
43852	19536	80x76	42.58	1206.55	-145877.42	-23753.45	-1034.56
43852	19279	79x75	1787.66	1324.8	-146052.34	-25555.2	-1014.52
43852	19538	82x76	658.02	1789.51	-141421.98	-23170.49	-975.94
43852	19794	82x77	1280.95	294.85	-140799.05	-22745.15	-787.13
43852	19794	82x77	1447.67	1870.31	-140632.33	-21169.69	-679.32
