refid	region	sector	local_x	local_z	world_x	world_z	height
43867	24146	82x94	1481.64	948.78	-140598.36	10548.78	-430.78
43867	23890	82x93	1603.83	1350.05	-140476.17	9030.05	-431.11
43867	23890	82x93	1741.58	1222.1	-140338.42	8902.1	-430.97
43867	23890	82x93	1889.65	1308.54	-140190.35	8988.54	-430.97
43867	23891	83x93	75.08	1483.96	-140084.92	9163.96	-430.88
43867	24147	83x94	323.64	99.45	-139836.36	9699.45	-433.14
43867	23891	83x93	291.5	1795.99	-139868.5	9475.99	-433.24
43867	23891	83x93	506.98	1727.01	-139653.02	9407.01	-430.72
43867	24147	83x94	359.09	640.03	-139800.91	10240.03	-430.72
43867	24146	82x94	1857.38	1158.81	-140222.62	10758.81	-430.72
43867	24147	83x94	12.54	792.88	-140147.46	10392.88	-430.72
43867	24146	82x94	1867.08	362.02	-140212.92	9962.02	-431.14
43867	23891	83x93	763.77	1884.45	-139396.23	9564.45	-430.76
43867	24147	83x94	594.1	189.13	-139565.9	9789.13	-430.72
43867	24147	83x94	1004.8	778.0	-139155.2	10378.0	-430.71
43867	24147	83x94	1346.32	920.83	-138813.68	10520.83	-430.84
43867	24147	83x94	1201.05	588.96	-138958.95	10188.96	-430.71
43867	24147	83x94	1413.03	684.4	-138746.97	10284.4	-430.84
43867	24147	83x94	1516.99	888.12	-138643.01	10488.12	-430.89
43867	23893	85x93	1899.21	1208.25	-134420.79	8888.25	-432.91
43867	23894	86x93	240.45	540.7	-134159.55	8220.7	-432.9
43867	23894	86x93	274.83	982.12	-134125.17	8662.12	-432.9
43867	23894	86x93	117.78	112.01	-134282.22	7792.01	-432.9
43867	23637	85x92	1069.53	1373.58	-135250.47	7133.58	-432.9
43867	23637	85x92	1565.89	1540.02	-134754.11	7300.02	-432.9
43867	23894	86x93	935.14	1009.22	-133464.86	8689.22	-432.9
43867	23638	86x92	574.67	1582.46	-133825.33	7342.46	-432.9
43867	23891	83x93	458.73	224.09	-139701.27	7904.09	-320.73
43867	23891	83x93	460.55	220.5	-139699.45	7900.5	-320.72
43867	23636	84x92	1216.03	1736.8	-137023.97	7496.8	-319.92
43867	23636	84x92	641.89	1242.95	-137598.11	7002.95	-319.92
43867	23635	83x92	1633.26	1166.56	-138526.74	6926.56	-319.92
43867	23636	84x92	270.62	921.39	-137969.38	6681.39	-319.96
43867	23892	84x93	1010.76	588.95	-137229.24	8268.95	-286.33
43867	23637	85x92	488.0	1450.45	-135832.0	7210.45	-430.5
43867	23636	84x92	1861.81	1395.59	-136378.19	7155.59	-430.49
43867	23893	85x93	23.69	0.37	-136296.31	7680.37	-430.5
43867	23634	82x92	1620.17	1394.96	-140459.83	7154.96	-404.87
43867	23634	82x92	1421.2	1484.62	-140658.8	7244.62	-432.4
43867	23890	82x93	519.04	537.05	-141560.96	8217.05	-431.93
43867	24146	82x94	781.78	25.92	-141298.22	9625.92	-432.6
43867	24146	82x94	1015.17	532.66	-141064.83	10132.66	-432.07
43867	24146	82x94	1248.45	295.21	-140831.55	9895.21	-432.55
43867	24146	82x94	1049.55	122.32	-141030.45	9722.32	-432.57
43867	24146	82x94	790.96	267.67	-141289.04	9867.67	-432.56
43867	23890	82x93	1794.85	1622.02	-140285.15	9302.02	-430.88
43867	23634	82x92	550.76	1450.65	-141529.24	7210.65	-432
43867	24146	82x94	1472.87	26.07	-140607.13	9626.07	-432.59
43867	23634	82x92	1461.13	1058.92	-140618.87	6818.92	-432.57
43867	23635	83x92	21.98	826.12	-140138.02	6586.12	-404.73
43867	23635	83x92	511.76	511.21	-139648.24	6271.21	-433.28
43867	23634	82x92	1665.12	731.49	-140414.88	6491.49	-432.39
43867	23635	83x92	117.29	376.99	-140042.71	6136.99	-433.28
43867	23635	83x92	1043.44	295.62	-139116.56	6055.62	-433.28
43867	23380	84x91	237.18	1553.49	-138002.82	5393.49	-433.28
43867	23380	84x91	1220.44	1376.55	-137019.56	5216.55	-403.42
43867	23379	83x91	1733.49	644.61	-138426.51	4484.61	-432.22
43867	23379	83x91	1685.43	962.68	-138474.57	4802.68	-432.13
43867	23637	85x92	94.5	842.49	-136225.5	6602.49	-405.55
43867	23379	83x91	961.6	950.72	-139198.4	4790.72	-406.04
43867	23379	83x91	739.98	1338.2	-139420.02	5178.2	-432.13
43867	23379	83x91	735.19	1816.38	-139424.81	5656.38	-432.45
43867	23379	83x91	737.24	674.86	-139422.76	4514.86	-432.13
43867	23636	84x92	1578.03	996.48	-136661.97	6756.48	-430.46
43867	23636	84x92	1366.55	714.81	-136873.45	6474.81	-410.14
43867	23380	84x91	835.65	1848.08	-137404.35	5688.08	-431.24
43867	23636	84x92	1073.79	406.39	-137166.21	6166.39	-430.33
43867	23891	83x93	1201.51	152.84	-138958.49	7832.84	-236.59
