refid	region	sector	local_x	local_z	world_x	world_z	height
43849	19536	80x76	4.84	441.94	-145915.16	-24518.06	-994.95
43849	19279	79x75	1447.85	1510.39	-146392.15	-25369.61	-962.99
43849	19535	79x76	1192.2	687.48	-146647.8	-24272.52	-1001.95
43849	19535	79x76	1785.05	1123.07	-146054.95	-23836.93	-1029.91
43849	19538	82x76	870.12	719.2	-141209.88	-24240.8	-987.91
43849	19538	82x76	259.76	970.92	-141820.24	-23989.08	-989.12
43849	19282	82x75	375.02	1564.6	-141704.98	-25315.4	-1000
43849	19538	82x76	921.38	18.05	-141158.62	-24941.95	-946.83
43849	19538	82x76	357.3	476.81	-141722.7	-24483.19	-994.55
43849	20817	81x81	148.73	1032.5	-143851.27	-14327.5	-120.12
43849	20817	81x81	528.91	617.53	-143471.09	-14742.47	-220.64
43849	20561	81x80	967.4	1681.33	-143032.6	-15598.67	-316.19
43849	20817	81x81	779.27	210.26	-143220.73	-15149.74	-287.74
43849	20817	81x81	603.18	138.49	-143396.82	-15221.51	-311.67
43849	20561	81x80	1524.13	1750.71	-142475.87	-15529.29	-341.56
43849	20818	82x81	78.98	316.44	-142001.02	-15043.56	-177.55
43849	20818	82x81	250.44	558.09	-141829.56	-14801.91	-29.78
43849	20818	82x81	387.91	812.24	-141692.09	-14547.76	52.07
43849	20818	82x81	697.85	667.06	-141382.15	-14692.94	65.58
43849	20818	82x81	943.47	669.16	-141136.53	-14690.84	66.87
43849	20818	82x81	1196.22	626.38	-140883.78	-14733.62	64.7
43849	20818	82x81	801.07	406.85	-141278.93	-14953.15	-18.42
43849	20818	82x81	482.16	460.6	-141597.84	-14899.4	-18.9
43849	20818	82x81	974.75	108.76	-141105.25	-15251.24	-24.6
43849	20562	82x80	1182.96	1780.97	-140897.04	-15499.03	-33.61
43849	20562	82x80	1397.92	1566.36	-140682.08	-15713.64	-60.89
43849	20562	82x80	1079.41	1350.63	-141000.59	-15929.37	-238.31
43849	20561	81x80	1501.12	1379.71	-142498.88	-15900.29	-407.7
43849	20561	81x80	1505.21	737.88	-142494.79	-16542.12	-496.59
43849	20818	82x81	170.73	878.29	-141909.27	-14481.71	168.06
43849	20561	81x80	1423.17	384.55	-142576.83	-16895.45	-466.08
43849	20562	82x80	595.95	15.63	-141484.05	-17264.37	-340.84
43849	20306	82x79	1008.46	1838.45	-141071.54	-17361.55	-306.24
43849	20562	82x80	1370.26	34.72	-140709.74	-17245.28	-305.97
43849	20306	82x79	1243.86	1516.0	-140836.14	-17684.0	-356.23
43849	20306	82x79	746.71	1562.42	-141333.29	-17637.58	-359.96
43849	20306	82x79	721.09	1191.85	-141358.91	-18008.15	-421.14
43849	20306	82x79	898.92	920.51	-141181.08	-18279.49	-394.02
43849	20306	82x79	1136.29	737.49	-140943.71	-18462.51	-382.6
43849	20306	82x79	537.14	680.82	-141542.86	-18519.18	-501.18
43849	20305	81x79	486.01	1482.76	-143513.99	-17717.24	-577.78
43849	20305	81x79	489.3	1115.46	-143510.7	-18084.54	-566.22
43849	20305	81x79	524.52	823.88	-143475.48	-18376.12	-576.02
43849	20305	81x79	548.17	426.21	-143451.83	-18773.79	-660.07
43849	20305	81x79	870.21	488.15	-143129.79	-18711.85	-675.41
43849	20305	81x79	1259.64	406.49	-142740.36	-18793.51	-704.54
43849	20305	81x79	1314.95	73.19	-142685.05	-19126.81	-694.36
43849	20305	81x79	1857.1	372.16	-142142.9	-18827.84	-649.33
43849	20305	81x79	1582.9	162.38	-142417.1	-19037.62	-690.65
43849	20049	81x78	1590.97	1604.49	-142409.03	-19515.51	-722.26
43849	20049	81x78	1035.85	1490.31	-142964.15	-19629.69	-728.25
43849	20562	82x80	279.56	1465.0	-141800.44	-15815.0	-232.62
