refid	region	sector	local_x	local_z	world_x	world_z	height
43859	22354	82x87	1500.43	821.73	-140579.57	-3018.27	310.58
43859	22355	83x87	996.94	810.26	-139163.06	-3029.74	267.74
43859	22099	83x86	1086.87	794.91	-139073.13	-4965.09	263.89
43859	22099	83x86	1163.63	1094.06	-138996.37	-4665.94	387.18
43859	22099	83x86	732.08	964.0	-139427.92	-4796.0	280.38
43859	22100	84x86	1321.85	689.08	-136918.15	-5070.92	158.35
43859	22100	84x86	1814.43	471.39	-136425.57	-5288.61	147.87
43859	22356	84x87	774.82	1652.89	-137465.18	-2187.11	0.48
43859	22611	83x88	1920.0	134.21	-138240.0	-1785.79	6.3
43859	22355	83x87	1200.46	981.83	-138959.54	-2858.17	251.03
43859	22355	83x87	1195.95	597.45	-138964.05	-3242.55	252.7
43859	22355	83x87	1231.52	121.28	-138928.48	-3718.72	274.91
43859	22099	83x86	1472.91	1669.74	-138687.09	-4090.26	267.2
43859	22099	83x86	1541.92	1194.16	-138618.08	-4565.84	264.18
43859	22099	83x86	1314.72	860.9	-138845.28	-4899.1	261.48
43859	22099	83x86	1289.3	1076.97	-138870.7	-4683.03	268.64
43859	22099	83x86	1288.9	1814.52	-138871.1	-3945.48	298.35
43859	22099	83x86	953.71	1016.34	-139206.29	-4743.66	268.23
43859	22099	83x86	1681.35	1679.46	-138478.65	-4080.54	266.79
43859	22099	83x86	1111.05	1775.09	-139048.95	-3984.91	299.4
43859	22099	83x86	958.49	1654.58	-139201.51	-4105.42	295.49
43859	22099	83x86	878.99	1472.92	-139281.01	-4287.08	293.44
43859	22099	83x86	831.74	1295.44	-139328.26	-4464.56	286.06
43860	19279	79x75	1857.6	0.0	-145982.4	-26880.0	-971.13
43860	19282	82x75	285.83	1165.3	-141794.17	-25714.7	-981.79
