refid	region	sector	local_x	local_z	world_x	world_z	height
43857	22099	83x86	743.87	963.84	-139416.13	-4796.16	279.58
43857	22099	83x86	241.68	1601.1	-139918.32	-4158.9	300.5
43857	22098	82x86	1840.73	1587.95	-140239.27	-4172.05	313.41
43857	22355	83x87	786.44	1025.59	-139373.56	-2814.41	250.19
43857	22355	83x87	426.68	1082.91	-139733.32	-2757.09	246.63
43857	22099	83x86	560.93	994.63	-139599.07	-4765.37	280.51
43857	22099	83x86	256.19	1086.12	-139903.81	-4673.88	290.1
43857	22099	83x86	42.97	1367.99	-140117.03	-4392.01	292.39
43857	22099	83x86	65.14	1698.96	-140094.86	-4061.04	311.06
43857	22355	83x87	396.91	0.0	-139763.09	-3840.0	320.42
43857	22099	83x86	271.67	1703.0	-139888.33	-4057.0	300.23
43857	22099	83x86	8.26	1537.42	-140151.74	-4222.58	297.35
43857	22355	83x87	74.45	1094.17	-140085.55	-2745.83	265.69
43857	22354	82x87	1641.78	1086.85	-140438.22	-2753.15	285.88
43857	22354	82x87	1740.3	1285.72	-140339.7	-2554.28	247.96
43857	22354	82x87	1835.55	1180.1	-140244.45	-2659.9	258.37
43858	20815	79x81	952.27	810.34	-146887.73	-14549.66	158.56
43858	20815	79x81	791.35	1140.23	-147048.65	-14219.77	216.36
43858	20815	79x81	1360.14	919.33	-146479.86	-14440.67	118.87
43858	20815	79x81	1858.23	678.64	-145981.77	-14681.36	22.94
43858	20816	80x81	1004.53	891.19	-144915.47	-14468.81	-93.36
43858	20816	80x81	1329.92	868.01	-144590.08	-14491.99	-102.67
43858	20816	80x81	1328.61	560.35	-144591.39	-14799.65	-143.57
43858	20816	80x81	954.24	468.59	-144965.76	-14891.41	-158.99
43858	20559	79x80	661.53	1089.73	-147178.47	-16190.27	-82.59
43858	20559	79x80	903.32	1256.87	-146936.68	-16023.13	-89.73
43858	20559	79x80	823.37	825.5	-147016.63	-16454.5	-210.67
43858	20560	80x80	1698.84	1045.52	-144221.16	-16234.48	-383.44
43858	20560	80x80	1492.01	865.07	-144427.99	-16414.93	-363.1
43858	20560	80x80	1284.95	1189.01	-144635.05	-16090.99	-329.21
43858	20561	81x80	337.03	1502.72	-143662.97	-15777.28	-336.39
43858	20561	81x80	164.43	1783.54	-143835.57	-15496.46	-337.88
43858	20817	81x81	47.83	178.16	-143952.17	-15181.84	-120.26
43858	20816	80x81	86.36	45.72	-145833.64	-15314.28	-136.16
43858	20560	80x80	1415.29	1779.38	-144504.71	-15500.62	-210.87
43858	20559	79x80	1920.0	865.77	-145920.0	-16414.23	-272.61
43858	20559	79x80	1101.96	1032.79	-146738.04	-16247.21	-206.5
43858	20559	79x80	1119.92	680.14	-146720.08	-16599.86	-296.4
43858	20559	79x80	911.34	396.16	-146928.66	-16883.84	-266.87
43858	20559	79x80	1293.11	364.3	-146546.89	-16915.7	-353.98
43858	20815	79x81	1245.88	349.81	-146594.12	-15010.19	-21.94
43858	20560	80x80	731.0	1804.53	-145189.0	-15475.47	-226.39
43858	20560	80x80	699.62	1306.7	-145220.38	-15973.3	-279.93
43858	20561	81x80	141.1	1195.74	-143858.9	-16084.26	-389.47
43858	20561	81x80	772.7	740.02	-143227.3	-16539.98	-482.45
43858	20561	81x80	483.53	1074.47	-143516.47	-16205.53	-444.58
43858	20561	81x80	1067.76	1109.69	-142932.24	-16170.31	-462.73
43858	20561	81x80	101.87	643.72	-143898.13	-16636.28	-495.28
43858	20561	81x80	524.99	24.64	-143475.01	-17255.36	-567.22
43858	20561	81x80	1129.86	563.53	-142870.14	-16716.47	-500.8
43858	20559	79x80	1019.85	1.42	-146820.15	-17278.58	-368.52
43858	20559	79x80	1423.55	24.43	-146416.45	-17255.57	-417.65
43858	20560	80x80	787.15	140.43	-145132.85	-17139.57	-504.46
43858	20560	80x80	327.39	116.42	-145592.61	-17163.58	-435.23
43858	20816	80x81	1793.27	554.06	-144126.73	-14805.94	-211.71
43858	20561	81x80	571.59	445.51	-143428.41	-16834.49	-503.55
43858	20815	79x81	1903.54	82.79	-145936.46	-15277.21	-136.36
43858	20816	80x81	15.88	91.06	-145904.12	-15268.94	-135.01
43858	20815	79x81	1365.61	129.92	-146474.39	-15230.08	-41.33
43858	20815	79x81	1383.68	146.87	-146456.32	-15213.13	-48.45
43858	20815	79x81	1879.47	577.3	-145960.53	-14782.7	-15.69
43858	20815	79x81	1887.11	563.97	-145952.89	-14796.03	-19.97
43858	20815	79x81	1385.58	447.12	-146454.42	-14912.88	-34.16
43858	20815	79x81	1377.14	468.25	-146462.86	-14891.75	-30.32
43858	20559	79x80	1857.77	1480.48	-145982.23	-15799.52	-176.12
43858	20559	79x80	1880.19	1476.45	-145959.81	-15803.55	-182.84
43858	20816	80x81	473.52	330.86	-145446.48	-15029.14	-79.39
43858	20816	80x81	485.8	312.25	-145434.2	-15047.75	-87.59
