refid	region	sector	local_x	local_z	world_x	world_z	height
43882	19542	86x76	1890.47	415.73	-132509.53	-24544.27	-696.99
43882	19543	87x76	1110.93	735.79	-131369.07	-24224.21	-619.96
43882	19542	86x76	1640.15	1230.66	-132759.85	-23729.34	-603.32
43882	19799	87x77	312.2	170.32	-132167.8	-22869.68	-613.34
43882	19542	86x76	916.21	1554.48	-133483.79	-23405.52	-609.58
43882	19544	88x76	423.18	1321.13	-130136.82	-23638.87	-643.83
43882	19543	87x76	1120.92	1503.96	-131359.08	-23456.04	-636.33
43882	19544	88x76	279.54	102.38	-130280.46	-24857.62	-787.14
43882	19544	88x76	1462.3	778.16	-129097.7	-24181.84	-683.32
43882	19545	89x76	814.2	1317.73	-127825.8	-23642.27	-567.26
43882	19544	88x76	1832.65	1688.59	-128727.35	-23271.41	-572.17
43882	19545	89x76	1783.29	333.58	-126856.71	-24626.42	-636.29
43882	19545	89x76	601.04	189.63	-128038.96	-24770.37	-673.26
43882	19289	89x75	951.1	839.36	-127688.9	-26040.64	-1007.44
43882	19288	88x75	1462.92	852.63	-129097.08	-26027.37	-1036.68
43882	19289	89x75	322.27	534.83	-128317.73	-26345.17	-1026.85
43882	19288	88x75	499.32	785.13	-130060.68	-26094.87	-1007.48
43882	19543	87x76	1219.36	164.76	-131260.64	-24795.24	-665.49
43882	19287	87x75	1763.28	1095.11	-130716.72	-25784.89	-977.82
43882	19288	88x75	1875.77	1789.94	-128684.23	-25090.06	-867.25
43882	19289	89x75	1332.65	1669.41	-127307.35	-25210.59	-722.85
43882	19289	89x75	1823.11	562.19	-126816.89	-26317.81	-992.15
43882	19289	89x75	1168.67	278.07	-127471.33	-26601.93	-1047.53
43882	19290	90x75	759.86	464.42	-125960.14	-26415.58	-999.75
43882	19290	90x75	751.47	1422.77	-125968.53	-25457.23	-821.18
43882	19290	90x75	1435.73	1140.76	-125284.27	-25739.24	-928.14
43882	19290	90x75	1358.64	1819.9	-125361.36	-25060.1	-723.9
43882	19546	90x76	1059.04	1172.68	-125660.96	-23787.32	-561.24
43882	19547	91x76	97.21	791.94	-124702.79	-24168.06	-534.86
43882	19547	91x76	185.18	191.47	-124614.82	-24768.53	-705.01
43882	19291	91x75	393.64	1064.4	-124406.36	-25815.6	-955.23
43882	19291	91x75	1217.64	1397.3	-123582.36	-25482.7	-921.14
43882	19291	91x75	16.46	1406.52	-124783.54	-25473.48	-875.49
43882	19288	88x75	962.52	1647.18	-129597.48	-25232.82	-709.17
43882	19287	87x75	7.93	1424.41	-132472.07	-25455.59	-922.99
43882	19287	87x75	787.89	1189.06	-131692.11	-25690.94	-921.07
