refid	region	sector	local_x	local_z	world_x	world_z	height
43894	19801	89x77	1186.67	79.29	-127453.33	-22960.71	-609.01
43894	20315	91x79	455.78	111.71	-124344.22	-19088.29	-299.44
43894	20059	91x78	98.55	1549.29	-124701.45	-19570.71	-521.92
43894	20059	91x78	88.71	548.05	-124711.29	-20571.95	-535.52
43894	19803	91x77	615.42	1770.07	-124184.58	-21269.93	-545.73
43894	20059	91x78	864.14	1197.95	-123935.86	-19922.05	-473.77
43894	20314	90x79	1415.26	266.94	-125304.74	-18933.06	-614.58
43894	20058	90x78	1347.19	1466.07	-125372.81	-19653.93	-549.81
43894	20315	91x79	451.61	966.38	-124348.39	-18233.62	-322.94
43894	20315	91x79	1193.94	863.27	-123606.06	-18336.73	-267.02
43894	20059	91x78	943.15	1846.76	-123856.85	-19273.24	-350.36
43894	20315	91x79	1122.86	1166.32	-123677.14	-18033.68	-457.29
43894	20314	90x79	1865.46	761.78	-124854.54	-18438.22	-418.43
43894	20315	91x79	847.1	599.67	-123952.9	-18600.33	-268.87
43894	20059	91x78	1047.83	421.91	-123752.17	-20698.09	-391.59
43895	21839	79x85	635.02	1168.85	-147204.98	-6511.15	75.67
43895	21839	79x85	34.94	1278.89	-147805.06	-6401.11	23.66
43895	22095	79x86	587.12	686.93	-147252.88	-5073.07	97.85
43895	21839	79x85	877.1	1902.66	-146962.9	-5777.34	82.49
43895	22350	78x87	1650.8	1154.27	-148109.2	-2685.73	152.57
43895	22350	78x87	1308.95	1111.72	-148451.05	-2728.28	167.32
43895	22606	78x88	320.33	37.74	-149439.67	-1882.26	24.92
43895	22351	79x87	473.25	1830.08	-147366.75	-2009.92	26.79
43895	22351	79x87	524.54	1802.92	-147315.46	-2037.08	26.19
43895	22351	79x87	373.9	1584.61	-147466.1	-2255.39	50.39
43895	22351	79x87	481.49	1568.79	-147358.51	-2271.21	52.25
43895	22351	79x87	424.61	1496.11	-147415.39	-2343.89	52.62
43893	32247	247x125	1627.0	741.0	176347.0	69861.0	0
43893	31990	246x124	584.0	1730.0	173384.0	68930.0	-23
43893	31990	246x124	584.0	1730.0	173384.0	68930.0	-23
43893	31990	246x124	584.0	1730.0	173384.0	68930.0	-23
43893	31991	247x124	1803.0	1049.0	176523.0	68249.0	4
