refid	region	sector	local_x	local_z	world_x	world_z	height
43897	20315	91x79	1700.97	183.38	-123099.03	-19016.62	-337.64
43897	20059	91x78	1528.62	1616.9	-123271.38	-19503.1	-381.84
43897	20059	91x78	325.35	1064.75	-124474.65	-20055.25	-504.9
43897	20059	91x78	536.69	640.28	-124263.31	-20479.72	-500.6
43897	19802	90x77	1846.08	1836.94	-124873.92	-21203.06	-522.86
43897	20058	90x78	1151.01	157.71	-125568.99	-20962.29	-556.01
43897	20315	91x79	998.38	860.35	-123801.62	-18339.65	-274.09
43897	20316	92x79	522.21	1714.34	-122357.79	-17485.66	-353.66
43897	20572	92x80	97.06	244.46	-122782.94	-17035.54	-347.17
43897	20316	92x79	127.68	1050.79	-122752.32	-18149.21	-395.93
43897	20316	92x79	102.66	1548.1	-122777.34	-17651.9	-401.23
43897	20316	92x79	347.6	399.97	-122532.4	-18800.03	-410.84
43897	20315	91x79	1834.89	511.29	-122965.11	-18688.71	-339.57
43897	20060	92x78	351.65	1289.88	-122528.35	-19830.12	-410.33
43897	20059	91x78	1659.81	1140.26	-123140.19	-19979.74	-444.9
43897	20059	91x78	1608.97	108.13	-123191.03	-21011.87	-384.05
43897	20059	91x78	990.27	980.84	-123809.73	-20139.16	-452.47
43897	20315	91x79	1300.75	209.4	-123499.25	-18990.6	-313.19
43897	20572	92x80	769.82	795.52	-122110.18	-16484.48	-379.89
43897	20316	92x79	1100.28	1609.51	-121779.72	-17590.49	-406.79
43897	20316	92x79	1295.56	322.62	-121584.44	-18877.38	-114.9
43897	20060	92x78	989.02	1159.95	-121890.98	-19960.05	-358.12
43897	20060	92x78	554.75	541.62	-122325.25	-20578.38	-452.28
43897	20059	91x78	1909.44	686.47	-122890.56	-20433.53	-335.09
43897	19804	92x77	877.66	1793.44	-122002.34	-21246.56	-444.47
43897	19804	92x77	362.73	1213.5	-122517.27	-21826.5	-499.68
43897	20316	92x79	1043.88	743.94	-121836.12	-18456.06	-107.63
43896	31991	247x124	1171.0	1845.0	175891.0	69045.0	0
43896	31735	247x123	1740.0	551.0	176460.0	65831.0	-22
43896	31735	247x123	1740.0	551.0	176460.0	65831.0	-22
43896	31735	247x123	1740.0	551.0	176460.0	65831.0	-22
43896	32247	247x125	1209.0	394.0	175929.0	69514.0	0
