refid	region	sector	local_x	local_z	world_x	world_z	height
43854	22354	82x87	1440.59	1431.95	-140639.41	-2408.05	248.8
43854	22354	82x87	1195.23	1386.33	-140884.77	-2453.67	266.28
43854	22354	82x87	904.09	1215.36	-141175.91	-2624.64	285.57
43854	22354	82x87	1002.33	890.5	-141077.67	-2949.5	293.14
43854	22354	82x87	1404.04	723.12	-140675.96	-3116.88	298.62
43854	22354	82x87	1063.58	548.9	-141016.42	-3291.1	286.6
43854	22354	82x87	1464.88	412.51	-140615.12	-3427.49	303.61
43854	22355	83x87	235.02	408.9	-139924.98	-3431.1	325.22
43854	22354	82x87	1796.68	382.96	-140283.32	-3457.04	332.55
43854	22354	82x87	1073.73	228.76	-141006.27	-3611.24	289.31
43854	22098	82x86	1001.83	1830.1	-141078.17	-3929.9	312.75
43854	22098	82x86	1220.17	1497.51	-140859.83	-4262.49	322.92
43854	22098	82x86	1204.04	1196.07	-140875.96	-4563.93	320.73
43854	22098	82x86	1299.14	880.06	-140780.86	-4879.94	312.3
43854	22354	82x87	956.07	1058.36	-141123.93	-2781.64	290.94
43854	22354	82x87	1162.22	736.38	-140917.78	-3103.62	290.36
43854	22354	82x87	1236.95	421.27	-140843.05	-3418.73	285.32
43854	22354	82x87	1597.42	398.8	-140482.58	-3441.2	314.6
43854	22354	82x87	1395.28	567.95	-140684.72	-3272.05	287.44
43854	22355	83x87	46.35	385.55	-140113.65	-3454.45	333.36
43854	22354	82x87	1043.31	64.08	-141036.69	-3775.92	299.25
43854	22354	82x87	890.11	377.19	-141189.89	-3462.81	287.55
43854	22098	82x86	1125.71	1684.34	-140954.29	-4075.66	319.7
43854	22098	82x86	1192.81	1344.95	-140887.19	-4415.05	321.31
43854	22098	82x86	1233.6	1035.21	-140846.4	-4724.79	317.16
43854	22098	82x86	1312.39	691.81	-140767.61	-5068.19	315.97
43854	22354	82x87	1228.94	590.14	-140851.06	-3249.86	282.36
43854	22354	82x87	1587.34	936.0	-140492.66	-2904.0	299.22
43854	22354	82x87	1064.83	375.13	-141015.17	-3464.87	282.24
43854	22354	82x87	1201.9	284.29	-140878.1	-3555.71	297.07
43854	22354	82x87	1685.59	327.26	-140394.41	-3512.74	328.71
43855	19279	79x75	1864.62	0.0	-145975.38	-26880.0	-963.45
43855	19282	82x75	285.01	1165.51	-141794.99	-25714.49	-976.15
43856	19025	81x74	1156.77	59.45	-142843.23	-28740.55	-702.79
43856	19024	80x74	1920.0	1097.08	-144000.0	-27702.92	-819.47
43856	19025	81x74	1644.51	1392.19	-142355.49	-27407.81	-878.93
43856	19025	81x74	1580.78	1110.7	-142419.22	-27689.3	-813.79
43856	19025	81x74	998.32	897.14	-143001.68	-27902.86	-739.77
43856	19025	81x74	1570.28	817.67	-142429.72	-27982.33	-746.12
43856	19025	81x74	1122.71	672.96	-142877.29	-28127.04	-727.75
43856	19025	81x74	719.89	868.88	-143280.11	-27931.12	-712.36
