refid	region	sector	local_x	local_z	world_x	world_z	height
43876	22862	78x89	859.12	990.71	-148900.88	990.71	62.12
43876	22861	77x89	1065.17	695.98	-150614.83	695.98	48.02
43876	22863	79x89	1523.9	581.84	-146316.1	581.84	32.02
43876	22863	79x89	80.4	877.95	-147759.6	877.95	27.19
43876	22864	80x89	354.11	639.24	-145565.89	639.24	10.94
43876	22864	80x89	91.66	125.8	-145828.34	125.8	8.54
43876	22608	80x88	72.54	1861.22	-145847.46	-58.78	36.14
43876	22607	79x88	1879.68	1743.0	-145960.32	-177.0	68.26
43876	22350	78x87	1306.91	1073.71	-148453.09	-2766.29	168
43876	22606	78x88	311.72	63.2	-149448.28	-1856.8	23.08
43876	22861	77x89	1147.27	176.93	-150532.73	176.93	29.84
43876	22605	77x88	1287.24	1551.33	-150392.76	-368.67	40.73
43876	22606	78x88	482.18	1557.06	-149277.82	-362.94	-41.99
43876	22862	78x89	1487.24	45.63	-148272.76	45.63	-45.85
43876	22863	79x89	619.29	158.26	-147220.71	158.26	37.37
43877	20823	87x81	1253.75	1785.13	-131226.25	-13574.87	-468.74
43877	20823	87x81	686.85	679.33	-131793.15	-14680.67	-368.38
43877	20824	88x81	53.68	557.53	-130506.32	-14802.47	-345.33
43877	21080	88x82	315.26	438.35	-130244.74	-13001.65	-587.09
43877	20824	88x81	1276.09	1488.0	-129283.91	-13872.0	-527.35
43877	20824	88x81	1458.72	396.25	-129101.28	-14963.75	-462.85
43877	20569	89x80	718.82	1785.42	-127921.18	-15494.58	-281.5
43877	20825	89x81	1626.78	938.53	-127013.22	-14421.47	-511.55
43877	20825	89x81	411.1	1022.43	-128228.9	-14337.57	-424.97
43877	21081	89x82	1041.2	395.82	-127598.8	-13044.18	-682.8
43877	20826	90x81	443.29	1347.14	-126276.71	-14012.86	-689.15
43877	21082	90x82	1342.65	216.63	-125377.35	-13223.37	-870.71
43877	20570	90x80	476.63	1912.75	-126243.37	-15367.25	-425.71
43877	20827	91x81	292.27	105.01	-124507.73	-15254.99	-641.5
43877	20826	90x81	1190.39	389.08	-125529.61	-14970.92	-351.6
43877	20570	90x80	1154.39	940.64	-125565.61	-16339.36	-312.41
43877	20314	90x79	965.19	1884.48	-125754.81	-17315.52	-334.58
43877	20315	91x79	450.36	1600.98	-124349.64	-17599.02	-550.8
43877	20314	90x79	1149.02	907.8	-125570.98	-18292.2	-389.61
43877	20827	91x81	845.73	1533.77	-123954.27	-13826.23	-412.64
43877	21083	91x82	760.31	738.82	-124039.69	-12701.18	-390.78
43877	21083	91x82	88.74	1015.23	-124711.26	-12424.77	-406.22
43877	21082	90x82	1346.41	1338.82	-125373.59	-12101.18	-351.46
43877	21082	90x82	878.65	868.86	-125841.35	-12571.14	-640.2
43877	21083	91x82	1116.0	1198.29	-123684.0	-12241.71	-355.39
43877	21083	91x82	1580.98	95.12	-123219.02	-13344.88	-369.72
43877	21083	91x82	1206.51	310.02	-123593.49	-13129.98	-387.93
43877	20828	92x81	99.7	1054.1	-122780.3	-14305.9	-377.24
43877	20827	91x81	1419.59	886.93	-123380.41	-14473.07	-407.33
43877	20827	91x81	1725.8	23.24	-123074.2	-15336.76	-452.65
43877	20828	92x81	576.5	79.74	-122303.5	-15280.26	-323.94
43877	20571	91x80	1169.39	794.46	-123630.61	-16485.54	-444.08
43877	20571	91x80	1138.81	105.61	-123661.19	-17174.39	-451.69
43877	20314	90x79	1529.59	1629.5	-125190.41	-17570.5	-412.96
43877	19802	90x77	1378.69	1317.17	-125341.31	-21722.83	-569.41
43877	19802	90x77	901.61	1477.65	-125818.39	-21562.35	-597.91
43877	19801	89x77	1600.46	1798.78	-127039.54	-21241.22	-525.1
43877	19801	89x77	1828.29	532.85	-126811.71	-22507.15	-554.96
43877	19801	89x77	830.48	657.01	-127809.52	-22382.99	-714.64
43877	19801	89x77	446.82	1485.08	-128193.18	-21554.92	-822.68
43877	20057	89x78	114.38	369.12	-128525.62	-20750.88	-366.31
43877	19800	88x77	1068.23	1796.72	-129491.77	-21243.28	-448.65
