refid	region	sector	local_x	local_z	world_x	world_z	height
43878	22607	79x88	1623.95	1488.74	-146216.05	-431.26	30.24
43878	22608	80x88	1119.11	1068.72	-144800.89	-851.28	75.37
43878	22352	80x87	1125.87	1713.02	-144794.13	-2126.98	43.39
43878	22863	79x89	893.77	931.23	-146946.23	931.23	71.15
43878	22862	78x89	1457.52	928.11	-148302.48	928.11	39.06
43878	22861	77x89	1900.67	1107.2	-149779.33	1107.2	80.09
43878	22861	77x89	1145.53	176.93	-150534.47	176.93	29.8
43878	22608	80x88	553.08	248.24	-145366.92	-1671.76	22.77
43878	22608	80x88	167.4	919.08	-145752.6	-1000.92	45.54
43878	22864	80x89	536.58	858.21	-145383.42	858.21	10.94
43878	22863	79x89	141.79	145.07	-147698.21	145.07	13.82
43878	22607	79x88	767.24	1667.7	-147072.76	-252.3	11.18
43878	22607	79x88	1003.06	530.28	-146836.94	-1389.72	23.57
43878	22605	77x88	1846.84	1560.86	-149833.16	-359.14	-2.61
43878	22606	78x88	935.29	1708.1	-148824.71	-211.9	-61.79
43878	22351	79x87	438.25	1629.53	-147401.75	-2210.47	39.34
43878	22351	79x87	370.54	1114.13	-147469.46	-2725.87	94.04
43878	22352	80x87	676.98	1124.06	-145243.02	-2715.94	80.37
43878	22349	77x87	1810.95	1818.43	-149869.05	-2021.57	27.42
43878	22350	78x87	1650.19	1153.27	-148109.81	-2686.73	152.57
43878	22096	80x86	1191.06	1274.66	-144728.94	-4485.34	70.63
43878	22095	79x86	1376.98	570.52	-146463.02	-5189.48	-75.31
43878	22351	79x87	1067.91	515.37	-146772.09	-3324.63	84.22
43878	22351	79x87	19.15	67.15	-147820.85	-3772.85	82.7
43878	22094	78x86	1510.71	1100.06	-148249.29	-4659.94	57.85
43878	22094	78x86	1627.53	1039.7	-148132.47	-4720.3	62.7
43878	22094	78x86	1469.38	950.32	-148290.62	-4809.68	21.86
43878	22094	78x86	1506.53	986.0	-148253.47	-4774.0	34.79
43878	22094	78x86	1182.83	632.34	-148577.17	-5127.66	-30.62
43878	21837	77x85	653.91	84.04	-151026.09	-7595.96	31.03
43878	21838	78x85	1002.6	763.88	-148757.4	-6916.12	33.45
43878	21837	77x85	427.93	1778.35	-151252.07	-5901.65	39.21
43878	21837	77x85	506.53	863.27	-151173.47	-6816.73	80.81
43878	21583	79x84	881.52	1655.2	-146958.48	-7944.8	12.79
43878	21838	78x85	1914.22	320.78	-147845.78	-7359.22	-45.33
43878	21583	79x84	1671.11	1187.45	-146168.89	-8412.55	-70.96
43878	21583	79x84	973.42	952.7	-146866.58	-8647.3	-33.95
43878	22093	77x86	1435.22	771.36	-150244.78	-4988.64	69.71
43878	22094	78x86	482.64	952.84	-149277.36	-4807.16	-37.13
43878	21838	78x85	443.06	1738.52	-149316.94	-5941.48	-71.71
43878	21837	77x85	1692.89	913.97	-149987.11	-6766.03	5.06
43878	21837	77x85	1545.67	392.76	-150134.33	-7287.24	19.81
43878	21837	77x85	1156.67	1745.55	-150523.33	-5934.45	41.09
43878	22093	77x86	427.03	1392.62	-151252.97	-4367.38	-4.98
43878	22093	77x86	497.41	594.1	-151182.59	-5165.9	64.55
43878	22349	77x87	446.57	381.92	-151233.43	-3458.08	45.43
43878	22349	77x87	1205.12	306.41	-150474.88	-3533.59	78.18
43878	22094	78x86	681.51	1795.68	-149078.49	-3964.32	102.75
43878	22350	78x87	37.31	361.64	-149722.69	-3478.36	27.36
43878	22095	79x86	625.64	300.72	-147214.36	-5459.28	104.81
43878	21839	79x85	1369.15	1062.88	-146470.85	-6617.12	60.67
43878	21839	79x85	324.04	1143.29	-147515.96	-6536.71	70.89
43878	22094	78x86	1593.18	18.51	-148166.82	-5741.49	-49.75
43878	21582	78x84	1253.58	1584.63	-148506.42	-8015.37	73.6
43878	21838	78x85	498.58	97.07	-149261.42	-7582.93	49.4
43878	21581	77x84	1534.29	841.2	-150145.71	-8758.8	-2.72
43878	21583	79x84	129.04	1136.59	-147710.96	-8463.41	-37.93
43878	21325	77x83	1545.34	1201.2	-150134.66	-10318.8	-64.14
43879	21080	88x82	1580.95	292.92	-128979.05	-13147.08	-519.98
43879	20824	88x81	423.8	1338.66	-130136.2	-14021.34	-341.84
43879	20823	87x81	630.64	1352.92	-131849.36	-14007.08	-476.48
43879	20823	87x81	1808.55	1590.56	-130671.45	-13769.44	-440.78
43879	20823	87x81	1108.01	30.13	-131371.99	-15329.87	-201
43879	20568	88x80	0.95	1435.32	-130559.05	-15844.68	-436.36
43879	20567	87x80	1219.65	1538.94	-131260.35	-15741.06	-285.34
43879	20567	87x80	220.88	461.15	-132259.12	-16818.85	-344.09
43879	20566	86x80	778.35	765.4	-133621.65	-16514.6	-506.17
43879	20822	86x81	820.87	241.5	-133579.13	-15118.5	-474.84
43879	20311	87x79	1213.29	1402.36	-131266.71	-17797.64	-365.05
43879	20311	87x79	378.9	853.96	-132101.1	-18346.04	-468.24
43879	20310	86x79	1360.49	224.88	-133039.51	-18975.12	-670.9
43879	20054	86x78	350.79	1442.09	-134049.21	-19677.91	-446.78
43879	20053	85x78	1503.18	1640.35	-134816.82	-19479.65	-318.55
43879	20054	86x78	1245.14	1075.92	-133154.86	-20044.08	-662.63
43879	20054	86x78	1787.83	1695.0	-132612.17	-19425.0	-598.6
43879	20055	87x78	1707.96	1362.08	-130772.04	-19757.92	-370.38
43879	20567	87x80	1129.62	130.13	-131350.38	-17149.87	-354.19
43879	20567	87x80	1694.44	965.21	-130785.56	-16314.79	-285.38
43879	20569	89x80	1697.57	1311.11	-126942.43	-15968.89	-261.32
43879	20825	89x81	1642.57	130.07	-126997.43	-15229.93	-385.19
43879	21082	90x82	55.43	411.56	-126664.57	-13028.44	-594.02
43879	21082	90x82	27.69	1032.95	-126692.31	-12407.05	-567.02
43879	20827	91x81	148.73	1841.09	-124651.27	-13518.91	-615.4
43879	20826	90x81	1794.77	1115.0	-124925.23	-14245.0	-649.26
43879	20827	91x81	522.2	763.05	-124277.8	-14596.95	-554.62
43879	20827	91x81	1037.98	62.05	-123762.02	-15297.95	-472.6
43879	20571	91x80	348.3	1293.91	-124451.7	-15986.09	-626.87
43879	20571	91x80	1899.05	1132.33	-122900.95	-16147.67	-414.07
43879	20571	91x80	71.97	379.46	-124728.03	-16900.54	-389.18
43879	20314	90x79	16.78	444.53	-126703.22	-18755.47	-189.69
