refid	region	sector	local_x	local_z	world_x	world_z	height
43889	20574	94x80	1837.35	67.21	-117202.65	-17212.79	396.33
43889	20318	94x79	780.22	1043.41	-118259.78	-18156.59	368.85
43889	20317	93x79	1862.71	982.01	-119097.29	-18217.99	351.83
43889	20317	93x79	582.04	1083.42	-120377.96	-18116.58	272.59
43889	20573	93x80	1299.69	405.18	-119660.31	-16874.82	187.22
43889	20574	94x80	453.79	166.68	-118586.21	-17113.32	323.57
43889	20061	93x78	605.27	1476.51	-120354.73	-19643.49	180.04
43889	20061	93x78	553.03	337.51	-120406.97	-20782.49	-48.43
43889	19804	92x77	1829.64	1595.53	-121050.36	-21444.47	-131.72
43889	20061	93x78	1201.56	6.95	-119758.44	-21113.05	165.07
43889	20062	94x78	497.57	973.3	-118542.43	-20146.7	300.44
43889	20062	94x78	1484.22	27.59	-117555.78	-21092.41	408.71
43889	20063	95x78	356.38	1199.81	-116763.62	-19920.19	473.91
43889	20318	94x79	1683.61	374.38	-117356.39	-18825.62	440.87
43889	20062	94x78	4.65	1777.08	-119035.35	-19342.92	309.87
43888	22864	80x89	400.0	798.0	-145520.0	798.0	18
43888	21838	78x85	281.0	1697.0	-149479.0	-5983.0	-75
43888	22607	79x88	887.0	561.0	-146953.0	-1359.0	2
43888	22094	78x86	1870.0	1720.0	-147890.0	-4040.0	80
43888	22094	78x86	1870.0	1720.0	-147890.0	-4040.0	80
43888	31991	247x124	1352.0	1396.0	176072.0	68596.0	0
43888	31991	247x124	1171.0	1845.0	175891.0	69045.0	0
43888	32247	247x125	1209.0	394.0	175929.0	69514.0	0
43888	31991	247x124	1803.0	1049.0	176523.0	68249.0	4
