refid	region	sector	local_x	local_z	world_x	world_z	height
43891	20319	95x79	894.22	911.75	-116225.78	-18288.25	398.44
43891	20318	94x79	1823.58	1085.97	-117216.42	-18114.03	371.21
43891	20062	94x78	959.57	1845.44	-118080.43	-19274.56	358.35
43891	20062	94x78	1520.09	786.82	-117519.91	-20333.18	400.86
43891	20063	95x78	423.08	208.79	-116696.92	-20911.21	476.5
43891	20062	94x78	298.74	144.7	-118741.26	-20975.3	418.92
43891	20061	93x78	1419.58	1091.43	-119540.42	-20028.57	160.12
43891	20060	92x78	1558.82	1191.03	-121321.18	-19928.97	-46.79
43891	19804	92x77	956.03	1071.28	-121923.97	-21968.72	-305.18
43891	20316	92x79	1621.05	1048.16	-121258.95	-18151.84	-103.8
43891	20572	92x80	1540.34	922.74	-121339.66	-16357.26	-337.06
43891	20573	93x80	479.3	926.27	-120480.7	-16353.73	-50.61
43891	20317	93x79	1351.35	1384.2	-119608.65	-17815.8	246.67
43891	20317	93x79	1235.38	380.09	-119724.62	-18819.91	293.92
43891	20062	94x78	1345.97	1461.26	-117694.03	-19658.74	410.24
43891	20319	95x79	822.14	76.41	-116297.86	-19123.59	399.08
43891	20063	95x78	824.91	751.4	-116295.09	-20368.6	405.79
43891	19805	93x77	625.23	1235.14	-120334.77	-21804.86	74.2
43891	20574	94x80	760.67	721.14	-118279.33	-16558.86	392.54
43891	20318	94x79	896.6	1290.25	-118143.4	-17909.75	417.44
43891	20318	94x79	573.37	111.59	-118466.63	-19088.41	378.37
