refid	region	sector	local_x	local_z	world_x	world_z	height
43864	19025	81x74	1149.77	53.73	-142850.23	-28746.27	-703.77
43864	19024	80x74	1920.0	1093.57	-144000.0	-27706.43	-818.99
43874	22607	79x88	71.98	357.39	-147768.02	-1562.61	17.21
43874	22350	78x87	172.27	1370.59	-149587.73	-2469.41	28.27
43874	22351	79x87	1128.21	1605.0	-146711.79	-2235.0	57.49
43874	22096	80x86	998.7	757.87	-144921.3	-5002.13	79.54
43874	22352	80x87	1039.92	841.77	-144880.08	-2998.23	121.15
43874	21583	79x84	563.34	903.65	-147276.66	-8696.35	-28.12
43874	21583	79x84	517.43	876.55	-147322.57	-8723.45	-22.72
43874	21583	79x84	1356.9	832.33	-146483.1	-8767.67	-57.82
43874	21839	79x85	621.29	13.48	-147218.71	-7666.52	-3.07
43874	21583	79x84	1353.68	1326.24	-146486.32	-8273.76	-33.28
43874	21583	79x84	1366.3	1386.65	-146473.7	-8213.35	-36.61
43874	21838	78x85	1429.92	624.22	-148330.08	-7055.78	32.72
43874	21838	78x85	1531.05	530.83	-148228.95	-7149.17	33.27
43874	21838	78x85	568.67	730.31	-149191.33	-6949.69	-18.93
43874	22095	79x86	1270.75	1033.07	-146569.25	-4726.93	-46.95
43874	21582	78x84	840.8	1778.92	-148919.2	-7821.08	89.78
43874	21582	78x84	893.47	1743.93	-148866.53	-7856.07	95.47
43874	21582	78x84	1527.9	1361.13	-148232.1	-8238.87	-12.4
43874	22864	80x89	437.05	748.72	-145482.95	748.72	10.94
43874	22608	80x88	957.07	1765.28	-144962.93	-154.72	80.28
43874	22608	80x88	1196.53	451.62	-144723.47	-1468.38	63.35
43874	22861	77x89	1919.33	1103.84	-149760.67	1103.84	80.81
43874	22352	80x87	628.29	1728.59	-145291.71	-2111.41	82.25
43874	22608	80x88	356.81	521.17	-145563.19	-1398.83	64.24
43875	21079	87x82	1060.6	753.25	-131419.4	-12686.75	-297.58
43875	21077	85x82	1429.19	1728.87	-134890.81	-11711.13	-263.88
43875	21077	85x82	1187.2	1221.56	-135132.8	-12218.44	-158.64
43875	21078	86x82	17.79	986.4	-134382.21	-12453.6	-285.01
43875	21077	85x82	1643.41	1110.86	-134676.59	-12329.14	-237.71
