refid	region	sector	local_x	local_z	world_x	world_z	height
43906	22479	207x87	336.68	1578.83	98256.68	-2261.17	-192.27
43906	22480	208x87	151.19	1904.58	99991.19	-1935.42	-98.92
43906	22478	206x87	1334.91	1906.48	97334.91	-1933.52	-16.49
43906	22478	206x87	868.9	671.92	96868.9	-3168.08	-6.71
43906	22477	205x87	843.37	1117.91	94923.37	-2722.09	0
43906	22222	206x86	1438.19	1509.72	97438.19	-4250.28	-90.59
43906	22734	206x88	13.94	154.76	96013.94	-1765.24	-5.62
43906	22735	207x88	855.81	1452.6	98775.81	-467.4	0
43906	22990	206x89	310.11	489.96	96310.11	489.96	0
43906	22732	204x88	1492.94	1554.19	93652.94	-365.81	0
43906	22733	205x88	1053.92	1327.55	95133.92	-592.45	0
