refid	region	sector	local_x	local_z	world_x	world_z	height
43839	23635	83x92	490.41	464.15	-139669.59	6224.15	-433.28
43839	23379	83x91	743.49	1795.47	-139416.51	5635.47	-432.91
43839	23635	83x92	1054.34	275.03	-139105.66	6035.03	-433.28
43839	23380	84x91	826.47	1806.66	-137413.53	5646.66	-433.28
43839	23380	84x91	221.16	1560.36	-138018.84	5400.36	-433.28
43839	23379	83x91	1657.09	973.69	-138502.91	4813.69	-432.13
43839	23379	83x91	1723.94	637.95	-138436.06	4477.95	-432.24
43839	23379	83x91	700.38	651.49	-139459.62	4491.49	-432.13
43839	23379	83x91	739.98	1306.74	-139420.02	5146.74	-432.13
43839	23636	84x92	1553.04	964.32	-136686.96	6724.32	-430.32
43839	23636	84x92	1373.52	658.52	-136866.48	6418.52	-410.14
43839	23636	84x92	1069.21	356.09	-137170.79	6116.09	-430.33
43840	22359	87x87	1632.64	1585.15	-130847.36	-2254.85	45.93
43840	22359	87x87	1047.33	1116.3	-131432.67	-2723.7	75.64
43840	22359	87x87	360.34	741.07	-132119.66	-3098.93	46.66
43840	22359	87x87	695.7	1070.32	-131784.3	-2769.68	75.56
43840	22359	87x87	541.22	1507.83	-131938.78	-2332.17	67.81
43840	22359	87x87	78.04	1449.5	-132401.96	-2390.5	41.54
43840	22359	87x87	468.86	1432.54	-132011.14	-2407.46	43.8
43840	22358	86x87	1566.1	1162.81	-132833.9	-2677.19	30.5
43840	22358	86x87	574.02	766.83	-133825.98	-3073.17	1.35
43840	22357	85x87	843.93	743.66	-135476.07	-3096.34	0.32
43840	22357	85x87	1310.35	782.99	-135009.65	-3057.01	-0.08
43840	22357	85x87	1319.24	460.72	-135000.76	-3379.28	-9.53
43840	22357	85x87	1845.5	581.47	-134474.5	-3258.53	-9.75
43840	22358	86x87	295.59	87.48	-134104.41	-3752.52	-10.29
43840	22358	86x87	552.96	162.76	-133847.04	-3677.24	-10.14
43840	22102	86x86	261.21	1757.56	-134138.79	-4002.44	-10.43
43840	22357	85x87	1372.75	0.0	-134947.25	-3840.0	-10.78
43840	22101	85x86	774.9	416.55	-135545.1	-5343.45	0
43840	22101	85x86	642.66	1110.83	-135677.34	-4649.17	0
43840	22101	85x86	1103.58	410.75	-135216.42	-5349.25	0.16
43840	22101	85x86	852.71	892.55	-135467.29	-4867.45	-10.93
43840	22101	85x86	967.01	1439.06	-135352.99	-4320.94	-10.77
43840	22102	86x86	100.66	755.81	-134299.34	-5004.19	-18.66
43840	22101	85x86	1606.73	1462.78	-134713.27	-4297.22	8.77
43840	22101	85x86	1145.8	1139.6	-135174.2	-4620.4	-10.89
43840	22101	85x86	1732.01	919.06	-134587.99	-4840.94	-18.55
43840	22102	86x86	740.36	323.95	-133659.64	-5436.05	-18.69
43840	22102	86x86	329.53	861.92	-134070.47	-4898.08	-18.69
43840	22103	87x86	1109.18	663.86	-131370.82	-5096.14	87.14
43840	22103	87x86	592.79	1279.82	-131887.21	-4480.18	50.87
43840	22103	87x86	1522.67	1551.57	-130957.33	-4208.43	29.67
43840	22103	87x86	1811.35	895.25	-130668.65	-4864.75	49.88
43840	22103	87x86	476.66	746.89	-132003.34	-5013.11	76.17
43840	22103	87x86	879.52	1798.04	-131600.48	-3961.96	35.58
43840	22103	87x86	1149.53	1189.48	-131330.47	-4570.52	45.47
