refid	region	sector	local_x	local_z	world_x	world_z	height
43904	19024	80x74	1076.33	1680.43	-144843.67	-27119.57	-892.53
43904	19281	81x75	960.24	1.75	-143039.76	-26878.25	-895.76
43904	20049	81x78	1037.99	440.77	-142962.01	-20679.23	-828.2
43904	19792	80x77	456.16	1787.54	-145463.84	-21252.46	-940.02
43904	20048	80x78	1728.99	1747.89	-144191.01	-19372.11	-833.53
43904	20561	81x80	923.57	705.28	-143076.43	-16574.72	-481.71
43904	20816	80x81	1723.96	34.84	-144196.04	-15325.16	-289.69
43904	20559	79x80	1602.46	379.65	-146237.54	-16900.35	-389.54
43904	20048	80x78	343.24	146.83	-145576.76	-20973.17	-885.2
43904	20305	81x79	1665.04	807.85	-142334.96	-18392.15	-715.65
43904	19024	80x74	191.34	60.01	-145728.66	-28739.99	-657.67
