refid	region	sector	local_x	local_z	world_x	world_z	height
43863	19280	80x75	709.7	921.97	-145210.3	-25958.03	-887.07
43863	19280	80x75	1175.99	505.69	-144744.01	-26374.31	-979.06
43863	19280	80x75	1803.61	635.3	-144116.39	-26244.7	-973.3
43863	19281	81x75	443.73	575.84	-143556.27	-26304.16	-966.06
43863	19281	81x75	1090.35	711.88	-142909.65	-26168.12	-969.93
43863	19281	81x75	1554.01	857.1	-142445.99	-26022.9	-956.62
43872	22352	80x87	674.62	1811.85	-145245.38	-2028.15	85.14
43872	22608	80x88	266.65	495.5	-145653.35	-1424.5	70.35
43872	22863	79x89	908.94	916.72	-146931.06	916.72	73.31
43872	22608	80x88	742.84	1710.66	-145177.16	-209.34	57.54
43872	22608	80x88	937.0	382.19	-144983.0	-1537.81	97.86
43872	22864	80x89	377.33	728.82	-145542.67	728.82	10.94
43872	22864	80x89	177.46	76.61	-145742.54	76.61	13.26
43872	22863	79x89	1897.48	23.92	-145942.52	23.92	34
43872	22607	79x88	1788.9	1802.55	-146051.1	-117.45	63.36
43872	22350	78x87	144.65	1366.34	-149615.35	-2473.66	28.23
43872	22351	79x87	444.7	1651.71	-147395.3	-2188.29	36.92
43872	22607	79x88	63.73	382.97	-147776.27	-1537.03	15.75
43873	20573	93x80	35.54	106.06	-120924.46	-17173.94	-13.01
43873	21594	90x84	15.46	601.56	-126704.54	-8998.44	-278.32
43873	21338	90x83	842.79	1661.56	-125877.21	-9858.44	-279.11
43873	21338	90x83	1123.38	1199.61	-125596.62	-10320.39	-292.64
43873	21338	90x83	354.65	1142.58	-126365.35	-10377.42	-337.67
43873	21338	90x83	362.58	1620.01	-126357.42	-9899.99	-307.92
43873	21338	90x83	772.69	1099.53	-125947.31	-10420.47	-299.54
43873	21337	89x83	1694.62	1024.0	-126945.38	-10496.0	-396.23
43873	21337	89x83	1893.2	1390.25	-126746.8	-10129.75	-329.34
43873	21337	89x83	1366.28	1893.01	-127273.72	-9626.99	-297.23
43873	21593	89x84	1566.11	118.51	-127073.89	-9481.49	-275.15
43873	21594	90x84	1420.95	388.8	-125299.05	-9211.2	-244.08
43873	21594	90x84	1397.94	696.16	-125322.06	-8903.84	-247.12
43873	21595	91x84	70.23	552.84	-124729.77	-9047.16	-208.61
43873	21595	91x84	185.91	36.4	-124614.09	-9563.6	-229.07
43873	21594	90x84	1880.46	136.35	-124839.54	-9463.65	-217.26
43873	21595	91x84	573.25	482.67	-124226.75	-9117.33	-148.54
43873	21595	91x84	607.92	106.58	-124192.08	-9493.42	-223.69
43873	21339	91x83	510.86	1618.36	-124289.14	-9901.64	-232.91
43873	21338	90x83	1481.48	1331.1	-125238.52	-10188.9	-303.66
43873	21338	90x83	1495.26	779.25	-125224.74	-10740.75	-264.42
43873	21338	90x83	845.53	710.34	-125874.47	-10809.66	-315.74
43873	21339	91x83	114.23	994.0	-124685.77	-10526.0	-251.78
43873	21339	91x83	934.6	1278.81	-123865.4	-10241.19	-176.47
