refid	region	sector	local_x	local_z	world_x	world_z	height
43861	19025	81x74	1155.4	53.73	-142844.6	-28746.27	-703.62
43861	19024	80x74	1920.0	1098.7	-144000.0	-27701.3	-819.88
43870	22864	80x89	393.92	679.05	-145526.08	679.05	10.94
43870	22608	80x88	1029.8	1482.19	-144890.2	-437.81	108.65
43870	22608	80x88	1112.19	622.91	-144807.81	-1297.09	71.66
43870	22352	80x87	619.85	1802.54	-145300.15	-2037.46	76.78
43870	22608	80x88	359.52	467.37	-145560.48	-1452.63	58.72
43870	22351	79x87	1105.12	1579.83	-146734.88	-2260.17	57.63
43870	22352	80x87	1104.35	844.98	-144815.65	-2995.02	111.54
43870	22096	80x86	1015.38	722.48	-144904.62	-5037.52	79.12
43870	22094	78x86	1570.35	1201.75	-148189.65	-4558.25	79.82
43870	22094	78x86	1676.02	1153.93	-148083.98	-4606.07	82.97
43870	22094	78x86	1520.39	1012.24	-148239.61	-4747.76	41.71
43870	22094	78x86	1348.53	912.88	-148411.47	-4847.12	-0.58
43870	22094	78x86	1442.91	853.88	-148317.09	-4906.12	8.86
43870	22095	79x86	1312.6	1031.33	-146527.4	-4728.67	-56.21
43870	22095	79x86	371.94	1112.3	-147468.06	-4647.7	101.58
43870	21839	79x85	1103.23	1605.14	-146736.77	-6074.86	63.59
43870	21839	79x85	857.04	1024.11	-146982.96	-6655.89	72.92
43870	21838	78x85	1789.72	1439.29	-147970.28	-6240.71	1.76
43870	22094	78x86	1106.85	1628.13	-148653.15	-4131.87	97.89
43870	22350	78x87	261.66	18.39	-149498.34	-3821.61	53.73
43870	22349	77x87	1450.8	170.73	-150229.2	-3669.27	46.51
43870	22349	77x87	932.41	273.6	-150747.59	-3566.4	87.68
43870	22093	77x86	448.96	1822.59	-151231.04	-3937.41	59.66
43870	22093	77x86	462.32	940.97	-151217.68	-4819.03	56.13
43870	22093	77x86	969.92	739.91	-150710.08	-5020.09	76.13
43870	22093	77x86	1829.25	843.33	-149850.75	-4916.67	47.99
43870	21837	77x85	1654.96	955.91	-150025.04	-6724.09	-4.51
43870	21837	77x85	1826.12	1101.2	-149853.88	-6578.8	-42.46
43870	21837	77x85	1536.69	816.12	-150143.31	-6863.88	26.87
43870	21838	78x85	425.24	884.43	-149334.76	-6795.57	-55.91
43870	21838	78x85	1397.3	530.32	-148362.7	-7149.68	51.97
43870	21838	78x85	533.52	793.34	-149226.48	-6886.66	-32.69
43870	21583	79x84	543.98	1886.33	-147296.02	-7713.67	1.49
43870	21583	79x84	1274.29	1398.71	-146565.71	-8201.29	-22.52
43870	21839	79x85	445.16	77.42	-147394.84	-7602.58	-28.5
43870	21583	79x84	1431.43	826.23	-146408.57	-8773.77	-55.34
43870	21583	79x84	1328.22	802.72	-146511.78	-8797.28	-55.76
43870	21583	79x84	506.15	932.68	-147333.85	-8667.32	-29.56
43870	21582	78x84	1471.98	1325.04	-148288.02	-8274.96	6.27
43870	21582	78x84	1597.52	1330.62	-148162.48	-8269.38	-28.06
43870	21582	78x84	828.64	1717.85	-148931.36	-7882.15	101.63
43871	19547	91x76	611.6	1535.48	-124188.4	-23424.52	-507.24
43871	19803	91x77	536.63	230.27	-124263.37	-22809.73	-506.8
43871	19803	91x77	1018.51	815.01	-123781.49	-22224.99	-542.13
43871	19803	91x77	1532.82	405.34	-123267.18	-22634.66	-559.22
43871	19803	91x77	1238.6	154.98	-123561.4	-22885.02	-580.63
43871	19547	91x76	1225.58	1503.35	-123574.42	-23456.65	-554.41
43871	19547	91x76	1598.92	1766.86	-123201.08	-23193.14	-588.1
43871	19547	91x76	1200.27	841.01	-123599.73	-24118.99	-665.77
43871	19547	91x76	691.46	997.7	-124108.54	-23962.3	-540.79
43871	19547	91x76	1001.79	329.25	-123798.21	-24630.75	-777.75
43871	19547	91x76	0.79	1450.64	-124799.21	-23509.36	-501.74
43871	19803	91x77	189.05	5.06	-124610.95	-23034.94	-499.4
43871	19803	91x77	911.6	18.03	-123888.4	-23021.97	-534.05
43871	19803	91x77	729.65	476.15	-124070.35	-22563.85	-520.9
43871	19803	91x77	462.97	958.27	-124337.03	-22081.73	-553.91
43871	19803	91x77	1225.11	1468.38	-123574.89	-21571.62	-450.15
43871	19802	90x77	1810.28	672.39	-124909.72	-22367.61	-559.25
43871	19802	90x77	1466.27	117.42	-125253.73	-22922.58	-530.74
43871	19802	90x77	981.41	172.95	-125738.59	-22867.05	-490.94
43871	19546	90x76	715.23	1651.01	-126004.77	-23308.99	-513.94
43871	19546	90x76	330.74	1294.03	-126389.26	-23665.97	-593.92
43871	19546	90x76	676.83	468.36	-126043.17	-24491.64	-628.74
43871	19545	89x76	1639.1	1101.87	-127000.9	-23858.13	-566.71
43871	19545	89x76	1564.78	1560.61	-127075.22	-23399.39	-588.54
43871	19545	89x76	1146.4	737.37	-127493.6	-24222.63	-577.74
43871	19545	89x76	213.89	942.56	-128426.11	-24017.44	-569.8
43871	19544	88x76	1261.65	1397.29	-129298.35	-23562.71	-594.08
43871	19544	88x76	737.01	895.49	-129822.99	-24064.51	-645.59
43871	19544	88x76	904.96	1716.75	-129655.04	-23243.25	-606.25
43871	19800	88x77	611.9	430.62	-129948.1	-22609.38	-633.54
43871	19543	87x76	1901.08	1774.06	-130578.92	-23185.94	-594.07
43871	19543	87x76	464.93	1236.63	-132015.07	-23723.37	-626.17
43871	19543	87x76	537.65	1585.17	-131942.35	-23374.83	-608.14
43871	19543	87x76	687.41	703.58	-131792.59	-24256.42	-637.15
43871	19543	87x76	69.06	930.85	-132410.94	-24029.15	-627.8
43871	19542	86x76	1548.76	1707.28	-132851.24	-23252.72	-614.08
43871	19542	86x76	477.59	1188.58	-133922.41	-23771.42	-556.51
43871	19542	86x76	873.0	815.27	-133527.0	-24144.73	-580.59
43871	19542	86x76	1438.38	577.93	-132961.62	-24382.07	-632.5
43871	19542	86x76	218.21	1454.44	-134181.79	-23505.56	-507.27
43871	19543	87x76	558.69	230.05	-131921.31	-24729.95	-640.02
43871	19287	87x75	1788.21	1700.87	-130691.79	-25179.13	-866.35
43871	19543	87x76	1856.78	748.67	-130623.22	-24211.33	-649.54
43871	19544	88x76	857.12	491.94	-129702.88	-24468.06	-628.75
43871	19287	87x75	141.26	810.08	-132338.74	-26069.92	-1025.99
43871	19288	88x75	275.77	1451.7	-130284.23	-25428.3	-917.14
43871	19544	88x76	1433.34	203.05	-129126.66	-24756.95	-748.81
43871	19545	89x76	156.29	582.4	-128483.71	-24377.6	-615.77
43871	19545	89x76	361.75	1317.09	-128278.25	-23642.91	-570.46
43871	19545	89x76	1175.54	401.31	-127464.46	-24558.69	-624.97
43871	19289	89x75	463.33	1368.53	-128176.67	-25511.47	-915.73
43871	19290	90x75	279.47	998.62	-126440.53	-25881.38	-936.91
43871	19290	90x75	102.9	1405.53	-126617.1	-25474.47	-780.14
43871	19290	90x75	346.09	48.22	-126373.91	-26831.78	-1033.17
43871	19546	90x76	395.82	16.66	-126324.18	-24943.34	-713.23
43871	19546	90x76	248.51	922.99	-126471.49	-24037.01	-563.85
43871	19546	90x76	1384.61	591.08	-125335.39	-24368.92	-568.84
43871	19546	90x76	1561.37	1243.18	-125158.63	-23716.82	-542.67
43871	19546	90x76	1253.22	1775.03	-125466.78	-23184.97	-508.73
43871	19802	90x77	1771.8	263.69	-124948.2	-22776.31	-524.53
43871	19546	90x76	243.87	1904.99	-126476.13	-23055.01	-642.17
