refid	region	sector	local_x	local_z	world_x	world_z	height
43862	23893	85x93	785.33	1659.97	-135534.67	9339.97	-432.9
43862	24149	85x94	1215.92	338.48	-135104.08	9938.48	-407.67
43862	23893	85x93	1792.08	1205.19	-134527.92	8885.19	-432.91
43862	23894	86x93	290.03	1127.02	-134109.97	8807.02	-432.9
43862	23893	85x93	1854.17	204.89	-134465.83	7884.89	-432.9
43862	23893	85x93	1917.46	710.71	-134402.54	8390.71	-432.9
43862	24150	86x94	483.94	7.84	-133916.06	9607.84	-432.9
43862	23894	86x93	835.66	921.99	-133564.34	8601.99	-432.9
43862	23637	85x92	1507.49	698.1	-134812.51	6458.1	-432.9
43862	23893	85x93	85.53	443.99	-136234.47	8123.99	-430.5
