refid	region	sector	local_x	local_z	world_x	world_z	height
43869	23893	85x93	1813.51	1379.66	-134506.49	9059.66	-432.95
43869	23894	86x93	152.51	701.88	-134247.49	8381.88	-432.9
43869	23894	86x93	180.93	191.23	-134219.07	7871.23	-432.9
43869	23894	86x93	370.55	1044.45	-134029.45	8724.45	-432.9
43869	23894	86x93	826.48	1055.14	-133573.52	8735.14	-432.9
43869	23638	86x92	630.93	1677.76	-133769.07	7437.76	-432.9
43869	23894	86x93	289.58	1884.99	-134110.42	9564.99	-432.9
43869	23891	83x93	451.01	194.68	-139708.99	7874.68	-320.72
43869	23636	84x92	234.52	759.82	-138005.48	6519.82	-319.96
43869	23635	83x92	1031.64	1581.4	-139128.36	7341.4	-320.94
43869	23635	83x92	841.25	1333.58	-139318.75	7093.58	-292.11
43869	23635	83x92	876.95	1309.69	-139283.05	7069.69	-292.65
43869	23635	83x92	1313.3	1295.53	-138846.7	7055.53	-320.94
43869	23892	84x93	1012.82	539.0	-137227.18	8219.0	-297.07
43869	23891	83x93	1239.18	217.68	-138920.82	7897.68	-236.59
43869	23891	83x93	1118.42	428.63	-139041.58	8108.63	-236.59
43869	23891	83x93	1187.84	423.74	-138972.16	8103.74	-236.59
