refid	region	sector	local_x	local_z	world_x	world_z	height
43880	22864	80x89	496.77	811.76	-145423.23	811.76	10.94
43880	21581	77x84	1534.29	920.83	-150145.71	-8679.17	-2.72
43880	21582	78x84	1214.57	1559.6	-148545.43	-8040.4	78.94
43880	21837	77x85	1308.47	1820.28	-150371.53	-5859.72	-1.31
43880	21837	77x85	979.65	1837.51	-150700.35	-5842.49	77.47
43880	21837	77x85	968.12	1757.19	-150711.88	-5922.81	76.03
43880	21837	77x85	1313.03	1693.42	-150366.97	-5986.58	11.68
43880	21583	79x84	954.48	917.96	-146885.52	-8682.04	-29.75
43880	21583	79x84	879.51	1600.45	-146960.49	-7999.55	13.15
43880	21837	77x85	468.33	997.14	-151211.67	-6682.86	73.05
43880	21837	77x85	606.51	1110.25	-151073.49	-6569.75	70.3
43880	21837	77x85	418.11	683.31	-151261.89	-6996.69	94.13
43880	21837	77x85	548.85	542.09	-151131.15	-7137.91	88.52
43880	21838	78x85	1004.86	711.35	-148755.14	-6968.65	29.94
43880	22094	78x86	1601.66	1133.95	-148158.34	-4626.05	67.43
43880	22094	78x86	1444.36	927.19	-148315.64	-4832.81	13.71
43880	22094	78x86	1316.34	886.82	-148443.66	-4873.18	-2.88
43880	22094	78x86	1436.2	817.29	-148323.8	-4942.71	7.38
43880	22350	78x87	729.57	1169.18	-149030.43	-2670.82	78.72
43880	22606	78x88	1156.46	318.86	-148603.54	-1601.14	76.77
43881	22352	80x87	262.71	1246.34	-145657.29	-2593.66	106.68
43881	22095	79x86	1840.92	654.16	-145999.08	-5105.84	-57.08
43881	22096	80x86	1206.99	1760.58	-144713.01	-3999.42	103.51
43881	22351	79x87	1182.52	112.93	-146657.48	-3727.07	82.81
43881	21837	77x85	509.61	1325.82	-151170.39	-6354.18	53.99
43881	21837	77x85	554.09	388.51	-151125.91	-7291.49	72.07
43881	21837	77x85	429.51	576.22	-151250.49	-7103.78	98.38
43881	21837	77x85	599.7	1031.9	-151080.3	-6648.1	65.07
43881	21837	77x85	1536.49	1729.41	-150143.51	-5950.59	-60.4
43881	21837	77x85	1161.95	1821.34	-150518.05	-5858.66	47.49
43881	21837	77x85	1149.0	1666.81	-150531.0	-6013.19	64.14
43881	21837	77x85	798.22	1780.82	-150881.78	-5899.18	72.71
43881	21837	77x85	1734.57	1155.22	-149945.43	-6524.78	-48.09
43881	21837	77x85	1640.02	763.67	-150039.98	-6916.33	28.05
43880	32247	247x125	1627.0	741.0	176347.0	69861.0	0
43880	31991	247x124	1803.0	1049.0	176523.0	68249.0	4
43880	31734	246x123	1522.0	1518.0	174322.0	66798.0	-22
43880	31734	246x123	1522.0	1518.0	174322.0	66798.0	-22
43880	31734	246x123	1522.0	1518.0	174322.0	66798.0	-22
