refid	region	sector	local_x	local_z	world_x	world_z	height
43843	22868	84x89	1468.58	538.21	-136771.42	538.21	0
43843	22612	84x88	1450.37	1905.76	-136789.63	-14.24	0
43843	22613	85x88	213.25	1694.56	-136106.75	-225.44	9.18
43843	22613	85x88	236.99	1365.79	-136083.01	-554.21	0
43843	22613	85x88	631.96	690.88	-135688.04	-1229.12	0.04
43843	22613	85x88	866.96	335.57	-135453.04	-1584.43	0
43843	22357	85x87	799.14	1812.83	-135520.86	-2027.17	-2.67
43843	22613	85x88	725.77	1362.62	-135594.23	-557.38	-7.8
43843	22613	85x88	985.1	813.35	-135334.9	-1106.65	27.95
43843	22357	85x87	1154.44	1870.41	-135165.56	-1969.59	12.55
43843	22357	85x87	941.97	1515.01	-135378.03	-2324.99	-1.31
43843	22357	85x87	1315.87	1545.32	-135004.13	-2294.68	8.57
43843	22357	85x87	911.36	1192.24	-135408.64	-2647.76	12.27
43843	22357	85x87	1291.57	1195.02	-135028.43	-2644.98	11.41
43843	22868	84x89	1794.51	218.59	-136445.49	218.59	0.36
43843	22612	84x88	1854.8	1883.82	-136385.2	-36.18	0.3
43843	22613	85x88	347.77	1121.78	-135972.23	-798.22	-6.79
43843	22613	85x88	729.39	568.69	-135590.61	-1351.31	6
43843	22613	85x88	903.71	117.98	-135416.29	-1802.02	2.63
43844	22612	84x88	393.98	0.0	-137846.02	-1920.0	0.42
43844	22611	83x88	1615.61	390.82	-138544.39	-1529.18	15.43
43844	22611	83x88	1375.55	805.1	-138784.45	-1114.9	12.37
