refid	region	sector	local_x	local_z	world_x	world_z	height
43887	21336	88x83	532.06	909.25	-130027.94	-10610.75	-266.77
43887	21079	87x82	1266.42	1177.02	-131213.58	-12262.98	-236.06
43887	21079	87x82	864.33	1757.51	-131615.67	-11682.49	-230.32
43887	21078	86x82	1795.0	768.91	-132605.0	-12671.09	-322.04
43887	21078	86x82	975.12	869.26	-133424.88	-12570.74	-369.85
43887	21078	86x82	258.58	449.97	-134141.42	-12990.03	-340.35
43887	21077	85x82	1511.27	425.04	-134808.73	-13014.96	-230.75
43887	21077	85x82	1409.84	1021.37	-134910.16	-12418.63	-187.93
43887	21078	86x82	530.72	1292.68	-133869.28	-12147.32	-316.13
43887	21079	87x82	241.72	1892.33	-132238.28	-11547.67	-276.89
43887	21079	87x82	182.84	1331.21	-132297.16	-12108.79	-245.08
43887	21079	87x82	608.97	1661.53	-131871.03	-11778.47	-234.43
43887	21079	87x82	1147.35	1844.15	-131332.65	-11595.85	-228.76
43887	21080	88x82	462.98	1798.54	-130097.02	-11641.46	-278.37
43887	21336	88x83	60.79	590.11	-130499.21	-10929.89	-260.68
43887	21079	87x82	1484.24	1478.73	-130995.76	-11961.27	-210.13
43887	21079	87x82	740.4	1085.89	-131739.6	-12354.11	-248.16
43887	21080	88x82	841.13	1720.52	-129718.87	-11719.48	-301.26
43887	21080	88x82	237.15	1663.05	-130322.85	-11776.95	-261.07
43887	21336	88x83	1142.67	849.47	-129417.33	-10670.53	-285.36
43887	21336	88x83	1394.78	267.32	-129165.22	-11252.68	-310.86
43887	21080	88x82	1840.8	1144.29	-128719.2	-12295.71	-433.31
43887	21081	89x82	450.07	1309.91	-128189.93	-12130.09	-366.7
43887	21081	89x82	1040.84	1454.84	-127599.16	-11985.16	-448.87
43887	21081	89x82	940.82	1748.1	-127699.18	-11691.9	-407.12
43887	21337	89x83	812.7	302.34	-127827.3	-11217.66	-385.7
43887	21081	89x82	1616.37	1668.81	-127023.63	-11771.19	-480.94
43887	21337	89x83	1756.77	111.04	-126883.23	-11408.96	-464.53
43887	21338	90x83	40.13	445.39	-126679.87	-11074.61	-405.71
43887	21082	90x82	326.19	1910.73	-126393.81	-11529.27	-330.42
43887	21082	90x82	675.68	1742.85	-126044.32	-11697.15	-328.11
43887	21338	90x83	898.7	298.11	-125821.3	-11221.89	-294.38
43887	21338	90x83	1143.95	617.21	-125576.05	-10902.79	-280.71
43887	21338	90x83	1592.91	987.16	-125127.09	-10532.84	-269.93
43887	21338	90x83	1153.49	910.75	-125566.51	-10609.25	-294.95
43887	21338	90x83	1432.46	94.92	-125287.54	-11425.08	-246.9
43887	21338	90x83	1780.05	573.38	-124939.95	-10946.62	-248.98
43887	21340	92x83	64.65	667.6	-122815.35	-10852.4	-90.54
43887	21339	91x83	1269.86	598.39	-123530.14	-10921.61	-200.96
43887	21339	91x83	692.9	57.46	-124107.1	-11462.54	-282.59
43887	21339	91x83	238.12	170.56	-124561.88	-11349.44	-248.67
43887	21339	91x83	495.24	1104.17	-124304.76	-10415.83	-248.2
43887	21339	91x83	1211.45	1150.44	-123588.55	-10369.56	-155.21
43887	21340	92x83	308.25	663.27	-122571.75	-10856.73	-116.38
43887	21340	92x83	39.89	181.43	-122840.11	-11338.57	-171.2
43887	21083	91x82	1679.17	1600.94	-123120.83	-11839.06	-215.36
43887	21083	91x82	1909.46	1245.61	-122890.54	-12194.39	-198.84
43887	21084	92x82	102.67	1464.85	-122777.33	-11975.15	-179.07
43887	21084	92x82	504.2	1752.06	-122375.8	-11687.94	-124.62
43887	21084	92x82	840.04	1785.87	-122039.96	-11654.13	-120.64
43887	21084	92x82	201.6	754.39	-122678.4	-12685.61	-216.1
43887	21084	92x82	214.18	1025.61	-122665.82	-12414.39	-196.31
43887	21084	92x82	514.71	845.26	-122365.29	-12594.74	-196.71
43887	21084	92x82	832.04	954.23	-122047.96	-12485.77	-168.02
43887	21084	92x82	924.7	1237.36	-121955.3	-12202.64	-128.21
43887	21084	92x82	1088.39	873.06	-121791.61	-12566.94	-156.16
43887	21084	92x82	658.79	491.56	-122221.21	-12948.44	-175.75
43887	21084	92x82	322.05	406.74	-122557.95	-13033.26	-216.77
43887	21077	85x82	1124.18	1467.41	-135195.82	-11972.59	-129.11
43887	21077	85x82	914.27	402.69	-135405.73	-13037.31	-200.7
43887	21077	85x82	742.34	142.4	-135577.66	-13297.6	-199.48
43887	20821	85x81	701.18	1697.58	-135618.82	-13662.42	-193.99
43887	20821	85x81	1015.13	1702.65	-135304.87	-13657.35	-203.37
43887	20821	85x81	850.36	1276.43	-135469.64	-14083.57	-212.55
43887	20821	85x81	1455.68	1674.92	-134864.32	-13685.08	-243.91
43887	20822	86x81	194.49	1787.3	-134205.51	-13572.7	-354.1
43887	21078	86x82	594.81	8.19	-133805.19	-13431.81	-360.37
43887	21078	86x82	1057.78	124.65	-133342.22	-13315.35	-386.6
43886	21581	77x84	1459.0	426.0	-150221.0	-9174.0	-1
43886	22864	80x89	400.0	798.0	-145520.0	798.0	18
43886	21325	77x83	1521.0	1207.0	-150159.0	-10313.0	-56
