refid	region	sector	local_x	local_z	world_x	world_z	height
43884	21333	85x83	1774.03	1264.27	-134545.97	-10255.73	-351.34
43884	21334	86x83	108.46	540.53	-134291.54	-10979.47	-350.81
43884	21333	85x83	1585.21	594.83	-134734.79	-10925.17	-337.12
43884	21333	85x83	1449.72	817.3	-134870.28	-10702.7	-338.78
43884	21333	85x83	1100.89	512.26	-135219.11	-11007.74	-343.35
43884	21333	85x83	1258.14	50.39	-135061.86	-11469.61	-256.28
43884	21333	85x83	1561.95	217.02	-134758.05	-11302.98	-299.34
43884	21334	86x83	323.57	1001.29	-134076.43	-10518.71	-343.01
43884	21333	85x83	1335.36	1139.66	-134984.64	-10380.34	-348.63
43884	21333	85x83	1533.04	1532.5	-134786.96	-9987.5	-334.51
43884	21333	85x83	1162.62	1684.9	-135157.38	-9835.1	-245.53
43884	21589	85x84	1718.81	255.97	-134601.19	-9344.03	-298.72
43884	21589	85x84	977.19	216.61	-135342.81	-9383.39	-127.69
43884	21334	86x83	273.55	1677.98	-134126.45	-9842.02	-353.48
43884	21590	86x84	672.4	109.43	-133727.6	-9490.57	-297.61
43884	21334	86x83	734.24	1488.89	-133665.76	-10031.11	-363.49
43884	21334	86x83	782.27	978.45	-133617.73	-10541.55	-314.01
43884	21334	86x83	1358.97	1139.07	-133041.03	-10380.93	-296.53
43884	21334	86x83	825.41	484.65	-133574.59	-11035.35	-308.53
43884	21334	86x83	380.71	123.91	-134019.29	-11396.09	-355.41
43884	21334	86x83	510.76	578.97	-133889.24	-10941.03	-324.25
43884	21078	86x82	822.91	1800.61	-133577.09	-11639.39	-365.37
43884	21077	85x82	1767.07	1666.93	-134552.93	-11773.07	-305.93
43884	21078	86x82	973.48	1161.08	-133426.52	-12278.92	-370.6
43884	21335	87x83	722.18	560.22	-131757.82	-10959.78	-257.24
43884	21335	87x83	211.55	398.1	-132268.45	-11121.9	-278.64
43884	21334	86x83	1374.92	134.71	-133025.08	-11385.29	-326.77
43884	21334	86x83	1898.21	1358.4	-132501.79	-10161.6	-279.53
43884	21335	87x83	1570.55	627.75	-130909.45	-10892.25	-263.81
43884	21335	87x83	1527.69	1122.95	-130952.31	-10397.05	-197.84
43884	21336	88x83	255.46	829.8	-130304.54	-10690.2	-254.38
43884	21592	88x84	737.71	89.02	-129822.29	-9510.98	-255.74
43884	21336	88x83	1802.97	871.65	-128757.03	-10648.35	-303.67
43884	21337	89x83	1139.58	605.81	-127500.42	-10914.19	-385.24
43884	21337	89x83	1079.24	1874.19	-127560.76	-9645.81	-302.77
43884	21593	89x84	1633.43	531.54	-127006.57	-9068.46	-246.2
43884	21593	89x84	1872.7	949.9	-126767.3	-8650.1	-256.32
43884	21338	90x83	655.9	1422.95	-126064.1	-10097.05	-288.48
43884	21338	90x83	66.65	848.03	-126653.35	-10671.97	-398.13
43884	21339	91x83	1122.32	907.65	-123677.68	-10612.35	-192.91
43884	21339	91x83	1507.72	1109.26	-123292.28	-10410.74	-136.12
43884	21339	91x83	1368.11	1439.97	-123431.89	-10080.03	-133.77
43884	21339	91x83	1386.91	1803.13	-123413.09	-9716.87	-120.86
43884	21595	91x84	1488.02	253.69	-123311.98	-9346.31	-124.43
43884	21595	91x84	1842.53	471.22	-122957.47	-9128.78	-77.79
43884	21595	91x84	1099.41	537.13	-123700.59	-9062.87	-133.44
43884	21596	92x84	458.18	539.77	-122421.82	-9060.23	-34.37
43884	21596	92x84	448.79	886.63	-122431.21	-8713.37	-28.18
43884	21596	92x84	757.67	1103.61	-122122.33	-8496.39	25.27
43884	21596	92x84	864.22	683.1	-122015.78	-8916.9	2.63
43884	21596	92x84	909.21	213.57	-121970.79	-9386.43	19.23
43884	21596	92x84	413.16	147.93	-122466.84	-9452.07	-42.33
43884	21340	92x83	160.09	1754.54	-122719.91	-9765.46	-57.31
43884	21339	91x83	1743.07	1407.67	-123056.93	-10112.33	-104.14
43884	21340	92x83	1042.92	1455.56	-121837.08	-10064.44	-20.81
43884	21340	92x83	1116.02	1724.12	-121763.98	-9795.88	-23.85
43884	21340	92x83	642.42	1318.22	-122237.58	-10201.78	-33.59
43884	21340	92x83	89.77	898.0	-122790.23	-10622.0	-101.11
43884	21339	91x83	1509.03	751.14	-123290.97	-10768.86	-129.06
43884	21339	91x83	211.46	783.2	-124588.54	-10736.8	-254.5
43884	21337	89x83	1354.42	840.68	-127285.58	-10679.32	-379.52
43884	21337	89x83	271.26	488.12	-128368.74	-11031.88	-353.67
43884	21336	88x83	1231.88	1216.26	-129328.12	-10303.74	-273.22
43884	21335	87x83	1885.85	1663.99	-130594.15	-9856.01	-169.55
43884	21334	86x83	364.85	1313.67	-134035.15	-10206.33	-365.55
43884	21333	85x83	1010.63	894.71	-135309.37	-10625.29	-342.11
43884	21333	85x83	1409.84	1827.45	-134910.16	-9692.55	-281.03
43884	21590	86x84	89.36	84.99	-134310.64	-9515.01	-306.28
43884	21333	85x83	1865.65	1638.2	-134454.35	-9881.8	-334.94
43884	21334	86x83	58.46	60.64	-134341.54	-11459.36	-336.8
43884	21078	86x82	391.78	1623.49	-134008.22	-11816.51	-350.18
43884	21589	85x84	653.56	306.75	-135666.44	-9293.25	-84.38
43884	21333	85x83	848.37	1501.77	-135471.63	-10018.23	-222.09
43884	21589	85x84	1605.31	592.68	-134714.69	-9007.32	-252.57
43884	21589	85x84	1283.26	392.1	-135036.74	-9207.9	-187.4
43884	21590	86x84	569.34	391.52	-133830.66	-9208.48	-262.95
43884	21590	86x84	942.24	101.2	-133457.76	-9498.8	-280.18
43884	21334	86x83	1173.82	1690.72	-133226.18	-9829.28	-303.74
43884	21590	86x84	1397.23	621.04	-133002.77	-8978.96	-265.85
43884	21590	86x84	1268.48	219.23	-133131.52	-9380.77	-248.62
43884	21334	86x83	1120.86	1295.53	-133279.14	-10224.47	-314.31
43884	21334	86x83	1181.48	767.63	-133218.52	-10752.37	-287.99
43884	21334	86x83	720.97	168.44	-133679.03	-11351.56	-356.44
43884	21334	86x83	1695.89	516.0	-132704.11	-11004.0	-196.83
43884	21335	87x83	812.91	907.24	-131667.09	-10612.76	-170.32
43884	21335	87x83	1462.78	211.17	-131017.22	-11308.83	-244.64
43884	21336	88x83	265.63	151.62	-130294.37	-11368.38	-269.08
43884	21336	88x83	800.09	783.62	-129759.91	-10736.38	-250.3
43884	21336	88x83	1662.14	105.83	-128897.86	-11414.17	-354.16
43883	22607	79x88	887.0	561.0	-146953.0	-1359.0	2
43883	21581	77x84	1459.0	426.0	-150221.0	-9174.0	-1
43883	21838	78x85	281.0	1697.0	-149479.0	-5983.0	-75
43883	22864	80x89	400.0	798.0	-145520.0	798.0	18
