refid	region	sector	local_x	local_z	world_x	world_z	height
14931	27233	97x106	162.07	1687.06	-113117.93	34327.06	242.84
14931	27489	97x107	1116.98	159.73	-112163.02	34719.73	60.86
14931	27234	98x106	135.05	1658.05	-111224.95	34298.05	170.71
14931	27234	98x106	1211.59	1327.48	-110148.41	33967.48	180
14931	27234	98x106	1373.29	368.21	-109986.71	33008.21	180
14931	27234	98x106	165.67	526.85	-111194.33	33166.85	219.9
14931	27233	97x106	1194.16	1177.69	-112085.84	33817.69	192.01
14931	27233	97x106	1041.74	96.4	-112238.26	32736.4	276.31
14931	26978	98x105	15.27	1362.47	-111344.73	32082.47	171.66
14931	26978	98x105	1134.21	1218.85	-110225.79	31938.85	181.51
14931	26978	98x105	556.11	501.63	-110803.89	31221.63	180
14931	26978	98x105	1594.78	254.46	-109765.22	30974.46	222.31
14931	27489	97x107	1757.7	230.92	-111522.3	34790.92	89.73
14931	27233	97x106	287.84	18.32	-112992.16	32658.32	194.39
14931	27488	96x107	1505.36	210.5	-113694.64	34770.5	141.44
14931	26979	99x105	45.22	1613.12	-109394.78	32333.12	191.66
14931	26979	99x105	328.91	829.59	-109111.09	31549.59	261.7
14931	26979	99x105	960.31	1414.97	-108479.69	32134.97	250.29
14931	26979	99x105	1307.79	573.93	-108132.21	31293.93	250.31
14931	26979	99x105	1820.28	1255.7	-107619.72	31975.7	237.45
14931	26980	100x105	299.83	514.82	-107220.17	31234.82	187.33
14931	26722	98x104	688.43	990.81	-110671.57	29790.81	180
14931	26722	98x104	1453.81	430.32	-109906.19	29230.32	197.56
14931	26723	99x104	495.16	395.29	-108944.84	29195.29	286.18
14931	26723	99x104	1411.85	748.66	-108028.15	29548.66	244.38
14931	26723	99x104	1759.61	38.05	-107680.39	28838.05	303.42
14931	26467	99x103	1051.27	1395.5	-108388.73	28275.5	302.69
14931	26467	99x103	49.84	1274.75	-109390.16	28154.75	456.86
14931	26466	98x103	829.07	1467.68	-110530.93	28347.68	188.62
14931	26466	98x103	1396.01	602.24	-109963.99	27482.24	288.87
14931	26211	99x102	299.85	1860.18	-109140.15	26820.18	220.79
14931	26210	98x102	766.73	1635.73	-110593.27	26595.73	192.59
14931	26210	98x102	1623.56	827.6	-109736.44	25787.6	195.75
14931	26211	99x102	736.36	163.65	-108703.64	25123.65	180
14931	25954	98x101	834.72	1902.62	-110525.28	24942.62	180
14931	25954	98x101	1718.87	1428.72	-109641.13	24468.72	180
14931	25954	98x101	1710.64	605.22	-109649.36	23645.22	180
14931	25955	99x101	1860.33	1865.03	-107579.67	24905.03	180
14931	25956	100x101	712.7	999.54	-106807.3	24039.54	180.25
14931	25955	99x101	1508.07	806.54	-107931.93	23846.54	180
14931	25955	99x101	699.9	517.92	-108740.1	23557.92	180
14931	25954	98x101	672.33	580.18	-110687.67	23620.18	180
14931	25698	98x100	1727.32	1636.84	-109632.68	22756.84	180
14931	25698	98x100	1747.04	970.47	-109612.96	22090.47	180
14931	25698	98x100	1024.16	1471.32	-110335.84	22591.32	180
14931	25699	99x100	364.56	1343.83	-109075.44	22463.83	180
14931	25698	98x100	669.49	944.06	-110690.51	22064.06	182.4
14931	25698	98x100	1177.22	674.83	-110182.78	21794.83	180
14931	26467	99x103	434.13	688.01	-109005.87	27568.01	345.32
14931	26211	99x102	458.36	853.61	-108981.64	25813.61	180
14931	26721	97x104	1670.69	1497.12	-111609.31	30297.12	180
14931	26721	97x104	1619.69	473.42	-111660.31	29273.42	179.99
14931	26465	97x103	1663.72	1360.89	-111616.28	28240.89	180
14931	26465	97x103	1395.21	24.14	-111884.79	26904.14	180
14931	26210	98x102	371.84	745.97	-110988.16	25705.97	180
14931	26212	100x102	623.18	95.91	-106896.82	25055.91	180
14931	25956	100x101	134.68	1247.56	-107385.32	24287.56	180
14931	25955	99x101	1313.91	1511.57	-108126.09	24551.57	180.28
14931	26211	99x102	1411.3	472.41	-108028.7	25432.41	187.57
14931	25954	98x101	1724.29	1034.43	-109635.71	24074.43	180
14931	25954	98x101	1220.52	848.06	-110139.48	23888.06	180
14931	25955	99x101	576.76	1242.91	-108863.24	24282.91	180
14931	25954	98x101	886.97	1451.26	-110473.03	24491.26	180
14931	25955	99x101	463.77	304.1	-108976.23	23344.1	180
14931	25699	99x100	1442.98	1815.17	-107997.02	22935.17	180.33
14931	25956	100x101	234.17	376.42	-107285.83	23416.42	197.01
14931	25956	100x101	1415.38	1271.32	-106104.62	24311.32	226.07
14931	25699	99x100	1107.96	1251.59	-108332.04	22371.59	180
14931	25699	99x100	257.61	418.66	-109182.39	21538.66	181.71
14931	25953	97x101	1533.9	1778.82	-111746.1	24818.82	180
14931	25953	97x101	1444.75	793.31	-111835.25	23833.31	180
14931	25697	97x100	1322.5	1646.99	-111957.5	22766.99	180
14931	25698	98x100	208.48	1797.54	-111151.52	22917.54	180
14931	25697	97x100	1041.94	689.87	-112238.06	21809.87	180
14931	25697	97x100	1765.97	346.81	-111514.03	21466.81	178.7
14931	26724	100x104	594.59	800.9	-106925.41	29600.9	200.29
14931	26723	99x104	1298.94	261.86	-108141.06	29061.86	286.14
14931	26724	100x104	25.6	1203.59	-107494.4	30003.59	186.15
14931	26724	100x104	805.92	1531.07	-106714.08	30331.07	175.16
14931	26723	99x104	1607.09	1810.39	-107832.91	30610.39	171.63
14931	25184	96x98	168.4	1789.06	-115031.6	19069.06	-182.43
14931	25183	95x98	1182.35	1496.06	-115937.65	18776.06	-147
14931	25184	96x98	823.42	1228.55	-114376.58	18508.55	-175.21
14931	25184	96x98	812.37	525.38	-114387.63	17805.38	-162.19
14931	24928	96x97	62.72	1847.89	-115137.28	17207.89	-146.65
14931	24927	95x97	1437.78	1308.39	-115682.22	16668.39	-146.35
14931	25439	95x99	264.18	67.07	-116855.82	19267.07	-92.49
14931	24926	94x97	1553.89	1816.03	-117486.11	17176.03	-101.65
14931	25182	94x98	1385.49	1407.72	-117654.51	18687.72	11.41
14931	25183	95x98	365.4	1262.02	-116754.6	18542.02	-168.71
14931	25184	96x98	1660.01	1080.65	-113539.99	18360.65	-175.52
14931	24927	95x97	882.72	1726.67	-116237.28	17086.67	-187.19
14931	25185	97x98	257.97	581.05	-113022.03	17861.05	-117.93
14931	25185	97x98	1049.09	912.46	-112230.91	18192.46	34.13
14931	25185	97x98	1405.04	1624.22	-111874.96	18904.22	155.67
