refid	region	sector	local_x	local_z	world_x	world_z	height
14926	26716	92x104	193.81	69.78	-122686.19	28869.78	83.03
14926	26713	89x104	1888.51	552.88	-126751.49	29352.88	-0.51
14926	26714	90x104	1351.82	112.81	-125368.18	28912.81	23.36
14926	26459	91x103	418.3	1894.34	-124381.7	28774.34	55.04
14926	26715	91x104	1216.87	233.81	-123583.13	29033.81	72.54
14926	26458	90x103	1836.59	1274.54	-124883.41	28154.54	15.38
14926	26459	91x103	579.15	875.79	-124220.85	27755.79	111.53
14926	26458	90x103	1689.54	219.99	-125030.46	27099.99	3.69
14926	26202	90x102	1062.37	1657.19	-125657.63	26617.19	0
14926	26201	89x102	1275.13	1698.43	-127364.87	26658.43	-0.56
14926	26201	89x102	451.63	1668.22	-128188.37	26628.22	-13.02
14926	26201	89x102	877.97	809.53	-127762.03	25769.53	0.34
14926	26202	90x102	52.64	762.51	-126667.36	25722.51	-1.52
14926	26459	91x103	1418.42	1286.94	-123381.58	28166.94	12.88
14926	26459	91x103	1594.48	424.52	-123205.52	27304.52	13.5
14926	26203	91x102	774.11	1912.51	-124025.89	26872.51	43.68
14926	26203	91x102	143.0	1227.25	-124657.0	26187.25	1.9
14926	26202	90x102	1038.42	379.19	-125681.58	25339.19	3.89
14926	26203	91x102	479.83	142.98	-124320.17	25102.98	-33.52
14926	25946	90x101	1450.81	1419.64	-125269.19	24459.64	0.59
14926	25946	90x101	1871.79	539.59	-124848.21	23579.59	1.29
14926	25947	91x101	899.66	1086.56	-123900.34	24126.56	6.53
14926	26203	91x102	1597.09	223.69	-123202.91	25183.69	2.22
14926	26203	91x102	1426.68	1135.37	-123373.32	26095.37	6.36
14926	26460	92x103	293.23	950.81	-122586.77	27830.81	24.37
14926	25945	89x101	354.4	1833.15	-128285.6	24873.15	-17.75
14926	26713	89x104	505.04	827.08	-128134.96	29627.08	8.66
14926	26969	89x105	1117.64	118.79	-127522.36	30838.79	-26.35
14926	26969	89x105	1849.04	1113.96	-126790.96	31833.96	-18.36
14926	26970	90x105	1125.72	1711.77	-125594.28	32431.77	-14.1
14926	27227	91x106	431.71	192.87	-124368.29	32832.87	-10.37
14926	27227	91x106	1609.29	460.06	-123190.71	33100.06	-15.99
14926	27228	92x106	174.04	1395.76	-122705.96	34035.76	-18.36
14926	27228	92x106	1253.71	1558.11	-121626.29	34198.11	-12.82
14926	27229	93x106	711.36	1600.1	-120248.64	34240.1	-14.56
14926	27230	94x106	1220.76	1619.0	-117819.24	34259.0	-6.49
14926	26970	90x105	356.11	135.03	-126363.89	30855.03	-9.96
14926	27231	95x106	890.58	1817.01	-116229.42	34457.01	-10.99
14926	27231	95x106	168.8	1485.98	-116951.2	34125.98	-3.43
14926	25689	89x100	148.4	1028.96	-128491.6	22148.96	-21.59
14926	25433	89x99	1451.91	1212.83	-127188.09	20412.83	-29.86
14926	25434	90x99	1487.79	466.37	-125232.21	19666.37	-23.54
14926	25435	91x99	953.56	580.89	-123846.44	19780.89	-6.13
14926	25180	92x98	474.27	1329.49	-122405.73	18609.49	-22.4
14926	24925	93x97	1133.82	1765.75	-119826.18	17125.75	-23.67
14926	25946	90x101	1129.38	948.52	-125590.62	23988.52	26.06
14926	25946	90x101	848.14	150.79	-125871.86	23190.79	1.49
14926	25690	90x100	191.49	1629.84	-126528.51	22749.84	-2.38
14926	25689	89x100	1372.83	1763.04	-127267.17	22883.04	1.2
14926	25689	89x100	545.6	1363.96	-128094.4	22483.96	-23.35
14926	25689	89x100	479.49	517.47	-128160.51	21637.47	-22.55
14926	25689	89x100	1407.72	556.71	-127232.28	21676.71	-18.11
14926	25434	90x99	678.08	505.35	-126041.92	19705.35	-6.94
14926	25434	90x99	1666.72	939.91	-125053.28	20139.91	-1.87
14926	25435	91x99	653.9	884.2	-124146.1	20084.2	1.17
14926	25435	91x99	1634.89	559.06	-123165.11	19759.06	-16.36
14926	25181	93x98	262.97	768.46	-120697.03	18048.46	-10.97
14926	25435	91x99	1427.07	858.33	-123372.93	20058.33	-5.6
14926	25436	92x99	945.78	244.11	-121934.22	19444.11	0.01
14926	25180	92x98	1276.01	1417.61	-121603.99	18697.61	-2.43
14926	25689	89x100	1415.93	1150.08	-127224.07	22270.08	-3.8
14926	26459	91x103	1056.98	1037.45	-123743.02	27917.45	20.99
14926	26202	90x102	1789.77	233.49	-124930.23	25193.49	0.23
14926	26202	90x102	1411.83	32.74	-125308.17	24992.74	0.03
14926	26457	89x103	1245.95	1376.26	-127394.05	28256.26	-2.12
