refid	region	sector	local_x	local_z	world_x	world_z	height
14935	26727	103x104	1274.15	771.19	-100485.85	29571.19	180
14935	26471	103x103	1487.87	1757.38	-100272.13	28637.38	280.35
14935	26471	103x103	898.69	1102.55	-100861.31	27982.55	180
14935	26727	103x104	661.54	31.51	-101098.46	28831.51	180
14935	26727	103x104	498.42	804.67	-101261.58	29604.67	180
14935	26726	102x104	1759.61	314.62	-101920.39	29114.62	180
14935	26471	103x103	42.98	1302.71	-101717.02	28182.71	180
14935	26470	102x103	1192.58	1595.19	-102487.42	28475.19	146.67
14935	26726	102x104	1644.89	1108.87	-102035.11	29908.87	180
14935	26726	102x104	1018.37	616.92	-102661.63	29416.92	230.51
14935	26726	102x104	390.24	38.33	-103289.76	28838.33	146.99
14935	26726	102x104	358.36	1216.1	-103321.64	30016.1	184.14
14935	26725	101x104	1608.74	566.67	-103991.26	29366.67	241.04
14935	26469	101x103	1289.21	1477.13	-104310.79	28357.13	149.47
14935	26470	102x103	315.25	976.79	-103364.75	27856.79	178.16
14935	26725	101x104	800.27	1069.38	-104799.73	29869.38	255.23
14935	26725	101x104	503.66	155.84	-105096.34	28955.84	255.79
14935	26724	100x104	1552.07	870.99	-105967.93	29670.99	216.46
14935	26469	101x103	344.75	932.9	-105255.25	27812.9	198.57
14935	26468	100x103	1215.19	1616.76	-106304.81	28496.76	266.45
14935	26468	100x103	1266.32	455.55	-106253.68	27335.55	124.82
14935	26468	100x103	215.66	981.35	-107304.34	27861.35	259.76
14935	26727	103x104	1036.99	361.36	-100723.01	29161.36	180
14935	26471	103x103	530.24	1453.98	-101229.76	28333.98	262.21
14935	26726	102x104	1283.24	218.17	-102396.76	29018.17	158.5
14935	26725	101x104	1167.57	200.08	-104432.43	29000.08	247.98
14935	26469	101x103	707.89	1444.48	-104892.11	28324.48	237.15
14935	26470	102x103	1411.16	807.14	-102268.84	27687.14	128.95
14935	26471	103x103	368.51	664.59	-101391.49	27544.59	201.96
14935	26212	100x102	273.97	1791.08	-107246.03	26751.08	171.39
14935	26212	100x102	622.48	777.78	-106897.52	25737.78	180
14935	26212	100x102	1545.23	1338.17	-105974.77	26298.17	180
14935	26212	100x102	1293.79	9.8	-106226.21	24969.8	193.17
14935	26211	99x102	1442.62	1215.07	-107997.38	26175.07	108.37
14935	26215	103x102	1744.26	1326.07	-100015.74	26286.07	219.65
14935	26215	103x102	1595.31	469.6	-100164.69	25429.6	180.28
14935	25959	103x101	1016.35	1717.19	-100743.65	24757.19	186.69
14935	26215	103x102	814.73	1069.07	-100945.27	26029.07	180
14935	26215	103x102	232.83	381.14	-101527.17	25341.14	222.85
14935	26214	102x102	1491.24	1027.97	-102188.76	25987.97	188.54
14935	26214	102x102	1036.2	118.75	-102643.8	25078.75	257.74
14935	26214	102x102	530.81	898.16	-103149.19	25858.16	218.1
14935	26213	101x102	1484.24	978.18	-104115.76	25938.18	180
14935	25958	102x101	37.1	1808.11	-103642.9	24848.11	256.36
14935	26213	101x102	1096.19	192.46	-104503.81	25152.46	220.02
14935	25957	101x101	1257.91	1131.0	-104342.09	24171.0	280.03
14935	25957	101x101	462.09	1502.64	-105137.91	24542.64	255.41
14935	25958	102x101	272.63	1016.08	-103407.37	24056.08	180
14935	26471	103x103	1167.47	469.61	-100592.53	27349.61	180.83
14935	26215	103x102	1129.27	1705.14	-100630.73	26665.14	196.34
14935	26470	102x103	1717.38	16.77	-101962.62	26896.77	180
14935	26470	102x103	552.51	400.58	-103127.49	27280.58	180
14935	26469	101x103	1414.86	46.5	-104185.14	26926.5	180
14935	26213	101x102	83.26	952.86	-105516.74	25912.86	180
14935	26981	101x105	1351.88	216.85	-104248.12	30936.85	212.41
14935	26981	101x105	564.65	426.99	-105035.35	31146.99	181.82
14935	26981	101x105	1188.44	1072.87	-104411.56	31792.87	215.38
14935	26980	100x105	1797.02	1060.38	-105722.98	31780.38	215.66
14935	26980	100x105	1350.53	387.76	-106169.47	31107.76	180
14935	26980	100x105	910.18	1248.27	-106609.82	31968.27	181.89
14935	26980	100x105	1461.21	1826.5	-106058.79	32546.5	216.76
14935	26980	100x105	605.49	1868.81	-106914.51	32588.81	198.34
14935	27236	100x106	1098.37	658.06	-106421.63	33298.06	191.34
14935	27236	100x106	1053.76	1410.65	-106466.24	34050.65	221.44
14935	26981	101x105	776.25	1671.3	-104823.75	32391.3	246.94
14935	27237	101x106	330.71	218.37	-105269.29	32858.37	218.92
14935	27237	101x106	1059.67	478.66	-104540.33	33118.66	217.8
14935	27237	101x106	583.46	980.95	-105016.54	33620.95	218.78
14935	27237	101x106	1451.09	1324.72	-104148.91	33964.72	218.59
14935	27237	101x106	1463.34	1302.67	-104136.66	33942.67	218.56
14935	27237	101x106	1730.43	736.27	-103869.57	33376.27	218.1
14935	27237	101x106	1658.71	56.95	-103941.29	32696.95	220.76
14935	26981	101x105	1784.99	1434.22	-103815.01	32154.22	245.05
14935	27236	100x106	1658.63	1917.19	-105861.37	34557.19	295.11
14935	27237	101x106	538.9	1917.8	-105061.1	34557.8	380.22
14935	27238	102x106	121.77	1797.67	-103558.23	34437.67	295.02
14935	27238	102x106	729.66	1793.77	-102950.34	34433.77	217
14935	27238	102x106	717.56	1094.4	-102962.44	33734.4	219.34
14935	27238	102x106	672.0	536.66	-103008.0	33176.66	217.53
14935	26982	102x105	753.45	1252.11	-102926.55	31972.11	206.91
14935	26982	102x105	69.77	715.5	-103610.23	31435.5	187.63
14935	26982	102x105	717.48	596.65	-102962.52	31316.65	180
14935	26982	102x105	1480.96	1288.22	-102199.04	32008.22	180
14935	26982	102x105	1495.34	697.37	-102184.66	31417.37	180
14935	26983	103x105	269.31	1381.2	-101490.69	32101.2	180
14935	26983	103x105	1025.93	1495.09	-100734.07	32215.09	180
14935	26982	102x105	1230.42	65.73	-102449.58	30785.73	180
14935	26982	102x105	1242.75	82.17	-102437.25	30802.17	180
14935	26983	103x105	241.22	762.46	-101518.78	31482.46	180
14935	26983	103x105	76.49	70.39	-101683.51	30790.39	180
14935	26983	103x105	989.31	776.99	-100770.69	31496.99	180
14935	26983	103x105	780.04	114.23	-100979.96	30834.23	180
14935	26983	103x105	1735.49	1185.82	-100024.51	31905.82	180
14935	26983	103x105	1601.75	349.03	-100158.25	31069.03	180
14935	26980	100x105	1901.23	274.96	-105618.77	30994.96	155.24
14935	26725	101x104	1006.63	1746.27	-104593.37	30546.27	202.68
14935	27237	101x106	124.44	1773.62	-105475.56	34413.62	295.39
14935	27238	102x106	448.49	1454.61	-103231.51	34094.61	216.03
14935	27237	101x106	1101.78	956.62	-104498.22	33596.62	218.69
14935	27237	101x106	1530.02	443.1	-104069.98	33083.1	217.88
14935	27237	101x106	750.62	177.33	-104849.38	32817.33	218
14935	27236	100x106	1845.74	575.51	-105674.26	33215.51	290.69
14935	27237	101x106	991.8	1836.31	-104608.2	34476.31	400.99
14935	26982	102x105	478.71	1805.56	-103201.29	32525.56	217.24
14935	26982	102x105	414.49	713.8	-103265.51	31433.8	192.73
14935	26982	102x105	3.2	129.31	-103676.8	30849.31	236.4
14935	26982	102x105	1163.76	1139.92	-102516.24	31859.92	180
14935	26982	102x105	1867.88	461.0	-101812.12	31181.0	180
14935	26983	103x105	553.94	498.48	-101206.06	31218.48	180
14935	26982	102x105	667.62	38.1	-103012.38	30758.1	216.42
14935	26981	101x105	1706.85	908.11	-103893.15	31628.11	208.43
14935	27237	101x106	1911.79	1198.64	-103688.21	33838.64	216.84
14935	26215	103x102	254.76	403.17	-101505.24	25363.17	212.22
