refid	region	sector	local_x	local_z	world_x	world_z	height
14927	27231	95x106	1284.09	973.44	-115835.91	33613.44	45.92
14927	27230	94x106	443.46	958.81	-118596.54	33598.81	0
14927	27229	93x106	1398.3	725.77	-119561.7	33365.77	2.84
14927	27229	93x106	94.14	720.4	-120865.86	33360.4	0
14927	26973	93x105	694.58	1822.15	-120265.42	32542.15	0
14927	26972	92x105	1581.46	1851.58	-121298.54	32571.58	0
14927	26972	92x105	536.92	1792.2	-122343.08	32512.2	6.55
14927	26971	91x105	1611.05	1311.43	-123188.95	32031.43	102.94
14927	26972	92x105	386.47	850.84	-122493.53	31570.84	0
14927	26971	91x105	812.1	1180.67	-123987.9	31900.67	5.18
14927	26971	91x105	1261.58	259.23	-123538.42	30979.23	0
14927	26970	90x105	1795.26	341.65	-124924.74	31061.65	0
14927	26715	91x104	210.75	1087.11	-124589.25	29887.11	4.39
14927	26714	90x104	1191.87	1317.21	-125528.13	30117.21	-3.88
14927	26970	90x105	1112.4	835.79	-125607.6	31555.79	2.85
14927	27228	92x106	981.02	655.65	-121898.98	33295.65	0
14927	26972	92x105	1176.23	1146.27	-121703.77	31866.27	8.33
14927	26715	91x104	1230.76	1246.71	-123569.24	30046.71	62.89
14927	25181	93x98	878.9	1162.13	-120081.1	18442.13	1.68
14927	25180	92x98	1739.53	1349.68	-121140.47	18629.68	1.86
14927	25180	92x98	823.25	1527.37	-122056.75	18807.37	-9.82
14927	25436	92x99	142.52	861.48	-122737.48	20061.48	-8.11
14927	25435	91x99	1397.89	1439.68	-123402.11	20639.68	0.41
14927	25691	91x100	1412.11	203.88	-123387.89	21323.88	0.07
14927	25435	91x99	307.51	693.81	-124492.49	19893.81	0.16
14927	25434	90x99	1201.29	791.61	-125518.71	19991.61	-2.53
14927	25689	89x100	1123.09	208.62	-127516.91	21328.62	-20.18
14927	25689	89x100	928.79	827.79	-127711.21	21947.79	-9.08
14927	25690	90x100	761.5	723.14	-125958.5	21843.14	126.24
14927	25434	90x99	1234.4	1661.28	-125485.6	20861.28	143.73
14927	25434	90x99	371.67	1742.23	-126348.33	20942.23	123.41
14927	25690	90x100	619.44	1726.53	-126100.56	22846.53	0.99
14927	25947	91x101	1079.52	257.8	-123720.48	23297.8	1.37
14927	25691	91x100	488.09	1750.27	-124311.91	22870.27	1.22
14927	25691	91x100	1249.48	1167.45	-123550.52	22287.45	14.24
14927	25691	91x100	279.39	923.22	-124520.61	22043.22	4.39
14927	25691	91x100	328.67	108.74	-124471.33	21228.74	2.7
14927	25690	90x100	1472.09	1496.15	-125247.91	22616.15	0.09
14927	25689	89x100	1845.45	726.02	-126794.55	21846.02	105.44
14927	25690	90x100	1575.6	502.68	-125144.4	21622.68	147.66
14927	25435	91x99	11.59	1311.38	-124788.41	20511.38	-1.89
14927	25435	91x99	739.89	1416.91	-124060.11	20616.91	6.21
14927	25434	90x99	290.14	972.22	-126429.86	20172.22	3.54
14927	25433	89x99	1530.71	1443.3	-127109.29	20643.3	-25.84
14927	25181	93x98	1446.04	308.31	-119513.96	17588.31	-4.08
14927	26200	88x102	1677.16	904.63	-128882.84	25864.63	-25.98
14927	26200	88x102	1797.04	1427.07	-128762.96	26387.07	-19.76
14927	26457	89x103	279.92	1905.32	-128360.08	28785.32	-21.57
14927	26712	88x104	1818.52	560.98	-128741.48	29360.98	-22.95
14927	26712	88x104	1919.81	1129.43	-128640.19	29929.43	-9.06
14927	26713	89x104	333.27	1635.85	-128306.73	30435.85	-23.25
14927	26971	91x105	829.78	487.53	-123970.22	31207.53	0
