refid	region	sector	local_x	local_z	world_x	world_z	height
14933	25959	103x101	1518.4	550.98	-100241.6	23590.98	216.4
14933	25959	103x101	142.29	1265.64	-101617.71	24305.64	226.11
14933	25958	102x101	1344.06	643.39	-102335.94	23683.39	180.41
14933	25959	103x101	624.13	338.15	-101135.87	23378.15	180
14933	25703	103x100	1618.05	1495.28	-100141.95	22615.28	211.6
14933	25703	103x100	827.26	1417.77	-100932.74	22537.77	180
14933	25703	103x100	1265.76	750.46	-100494.24	21870.46	180
14933	25702	102x100	1825.63	1799.49	-101854.37	22919.49	180
14933	25703	103x100	179.65	930.09	-101580.35	22050.09	181.71
14933	25702	102x100	1454.08	401.35	-102225.92	21521.35	190.3
14933	25702	102x100	1210.71	1230.42	-102469.29	22350.42	180
14933	25957	101x101	1603.24	67.43	-103996.76	23107.43	197.57
14933	25958	102x101	660.95	125.27	-103019.05	23165.27	180
14933	25702	102x100	217.2	1209.13	-103462.8	22329.13	227.01
14933	25957	101x101	545.68	527.0	-105054.32	23567.0	214.81
14933	25701	101x100	749.08	1582.55	-104850.92	22702.55	184.53
14933	25701	101x100	589.93	626.1	-105010.07	21746.1	190.73
14933	25701	101x100	1440.86	1072.69	-104159.14	22192.69	180
14933	25702	102x100	694.23	507.57	-102985.77	21627.57	180.21
14933	25701	101x100	1685.34	200.1	-103914.66	21320.1	180
14933	25445	101x99	867.73	1699.73	-104732.27	20899.73	180
14933	25445	101x99	1590.81	1208.75	-104009.19	20408.75	224.16
14933	25446	102x99	573.3	1620.97	-103106.7	20820.97	180
14933	25445	101x99	781.78	912.71	-104818.22	20112.71	180
14933	25446	102x99	323.03	580.24	-103356.97	19780.24	182.66
14933	25445	101x99	1436.73	289.54	-104163.27	19489.54	180
14933	25445	101x99	619.67	44.3	-104980.33	19244.3	180
14933	25190	102x98	269.76	1745.62	-103410.24	19025.62	180
14933	25189	101x98	1368.85	1401.78	-104231.15	18681.78	180
14933	25190	102x98	178.1	713.58	-103501.9	17993.58	180.69
14933	25189	101x98	1367.94	598.4	-104232.06	17878.4	180
14933	25189	101x98	643.3	1054.92	-104956.7	18334.92	183.26
14933	25189	101x98	661.05	166.41	-104938.95	17446.41	180
14933	25190	102x98	950.5	19.74	-102729.5	17299.74	186.49
14933	24934	102x97	172.51	1908.23	-103507.49	17268.23	186.27
14933	24933	101x97	1453.18	1378.45	-104146.82	16738.45	203.62
14933	24934	102x97	575.32	968.57	-103104.68	16328.57	378.35
14933	24677	101x96	1301.7	1215.62	-104298.3	14655.62	206.39
14933	24678	102x96	1772.4	695.41	-101907.6	14135.41	536.64
14933	24678	102x96	1432.93	668.2	-102247.07	14108.2	390.2
14933	24678	102x96	1171.73	977.96	-102508.27	14417.96	435.26
14933	24678	102x96	795.88	780.13	-102884.12	14220.13	321.77
14933	24930	98x97	485.47	1466.68	-110874.53	16826.68	180
14933	24930	98x97	1299.78	820.29	-110060.22	16180.29	180
14933	25186	98x98	784.48	115.56	-110575.52	17395.56	180
14933	25186	98x98	861.99	1381.79	-110498.01	18661.79	180
14933	25442	98x99	240.48	571.77	-111119.52	19771.77	180
14933	24931	99x97	297.98	1042.92	-109142.02	16402.92	321.19
14933	24931	99x97	1678.6	62.43	-107761.4	15422.43	302.47
14933	24931	99x97	1109.32	532.65	-108330.68	15892.65	309.74
14933	24931	99x97	1242.9	1830.42	-108197.1	17190.42	180
14933	25187	99x98	1512.86	668.4	-107927.14	17948.4	180
14933	25187	99x98	889.29	606.74	-108550.71	17886.74	180
14933	25187	99x98	1268.2	1197.69	-108171.8	18477.69	180
14933	25188	100x98	4.49	1315.53	-107515.51	18595.53	180
14933	25187	99x98	1637.04	1696.22	-107802.96	18976.22	180.03
14933	25187	99x98	873.58	1762.69	-108566.42	19042.69	180
14933	25187	99x98	217.46	793.69	-109222.54	18073.69	180
14933	25187	99x98	191.58	1532.78	-109248.42	18812.78	180
14933	25186	98x98	1388.84	1238.06	-109971.16	18518.06	180
14933	25442	98x99	1514.25	157.62	-109845.75	19357.62	182.17
14933	25443	99x99	367.35	504.01	-109072.65	19704.01	196.74
14933	25443	99x99	1300.0	592.3	-108140.0	19792.3	180
14933	25442	98x99	1777.98	1168.99	-109582.02	20368.99	193.07
14933	25188	100x98	171.62	150.25	-107348.38	17430.25	296.09
14933	24932	100x97	273.08	1439.65	-107246.92	16799.65	306.34
14933	24932	100x97	1089.94	1473.59	-106430.06	16833.59	180
14933	25188	100x98	1649.29	220.25	-105870.71	17500.25	143.71
14933	25188	100x98	952.51	563.51	-106567.49	17843.51	161.67
14933	25188	100x98	1619.2	1100.13	-105900.8	18380.13	106.07
14933	25188	100x98	769.69	1432.72	-106750.31	18712.72	180
14933	25444	100x99	1591.99	193.43	-105928.01	19393.43	176.03
14933	25444	100x99	725.29	554.3	-106794.71	19754.3	180
14933	25444	100x99	146.08	1194.36	-107373.92	20394.36	266.97
14933	25444	100x99	1101.94	1342.19	-106418.06	20542.19	163.74
14933	25700	100x100	1519.0	198.54	-106001.0	21318.54	225.11
14933	25700	100x100	882.74	784.24	-106637.26	21904.24	213.11
14933	25700	100x100	243.25	269.21	-107276.75	21389.21	203.93
14933	24933	101x97	6.86	1072.04	-105593.14	16432.04	179.94
14933	24932	100x97	1300.67	481.29	-106219.33	15841.29	180
14933	24932	100x97	469.18	702.54	-107050.82	16062.54	180
14933	25188	100x98	1356.61	657.4	-106163.39	17937.4	130.39
14933	25444	100x99	151.12	680.22	-107368.88	19880.22	263.55
14933	25187	99x98	814.42	1111.61	-108625.58	18391.61	180
14933	24932	100x97	971.05	923.11	-106548.95	16283.11	197.34
14933	24932	100x97	1516.19	1666.59	-106003.81	17026.59	171.35
14933	24932	100x97	1889.42	436.75	-105630.58	15796.75	180
14933	25956	100x101	1706.61	213.99	-105813.39	23253.99	224.23
14933	25700	100x100	1017.1	1611.08	-106502.9	22731.08	180
14933	25445	101x99	95.04	1774.92	-105504.96	20974.92	249.82
14933	25445	101x99	75.41	730.31	-105524.59	19930.31	218.86
14933	25189	101x98	103.69	696.21	-105496.31	17976.21	148.73
14933	25700	100x100	79.11	1530.07	-107440.89	22650.07	180
14933	25699	99x100	1041.3	219.74	-108398.7	21339.74	179.95
14933	25443	99x99	714.91	1436.13	-108725.09	20636.13	179.69
14933	25442	98x99	1855.63	652.18	-109504.37	19852.18	259.2
