refid	region	sector	local_x	local_z	world_x	world_z	height
14929	27233	97x106	185.28	1692.98	-113094.72	34332.98	241.28
14929	27233	97x106	1201.98	1161.9	-112078.02	33801.9	192.97
14929	27233	97x106	1062.29	77.54	-112217.71	32717.54	274.84
14929	26978	98x105	27.1	1343.68	-111332.9	32063.68	178.4
14929	26978	98x105	549.39	535.24	-110810.61	31255.24	180.48
14929	26978	98x105	1575.03	270.27	-109784.97	30990.27	221.97
14929	26978	98x105	1150.61	1239.02	-110209.39	31959.02	183.1
14929	27234	98x106	1382.77	384.21	-109977.23	33024.21	180
14929	27234	98x106	172.65	545.95	-111187.35	33185.95	227.67
14929	27234	98x106	1186.82	1351.88	-110173.18	33991.88	180
14929	27234	98x106	149.98	1700.01	-111210.02	34340.01	174.03
14929	27489	97x107	1141.54	161.3	-112138.46	34721.3	61.16
14929	27233	97x106	777.61	1575.72	-112502.39	34215.72	171.9
14929	27232	96x106	1614.81	1376.82	-113585.19	34016.82	180
14929	27233	97x106	689.18	697.89	-112590.82	33337.89	184.08
14929	27233	97x106	1666.36	23.2	-111613.64	32663.2	159.26
14929	26978	98x105	565.2	1067.17	-110794.8	31787.17	180
14929	26978	98x105	1117.84	575.4	-110242.16	31295.4	221.6
14929	26978	98x105	18.75	668.07	-111341.25	31388.07	180
14929	26977	97x105	1272.76	1253.42	-112007.24	31973.42	180
14929	27234	98x106	646.02	1245.06	-110713.98	33885.06	180
14929	27234	98x106	922.09	768.59	-110437.91	33408.59	180
14929	26978	98x105	972.9	1896.27	-110387.1	32616.27	180
14929	27233	97x106	1848.29	1046.22	-111431.71	33686.22	181.51
14929	26979	99x105	58.76	1594.42	-109381.24	32314.42	192.32
14929	26979	99x105	302.82	818.19	-109137.18	31538.19	259.27
14929	26979	99x105	942.98	1423.79	-108497.02	32143.79	248.86
14929	26979	99x105	1284.66	559.48	-108155.34	31279.48	250
14929	26979	99x105	1820.29	1273.13	-107619.71	31993.13	237.21
14929	26980	100x105	285.08	538.42	-107234.92	31258.42	187.62
14929	26978	98x105	1814.5	1098.19	-109545.5	31818.19	248.66
14929	26979	99x105	513.39	1354.96	-108926.61	32074.96	266.63
14929	26979	99x105	1441.7	1623.24	-107998.3	32343.24	271.57
14929	26979	99x105	1771.46	765.35	-107668.54	31485.35	261.73
14929	26979	99x105	1234.89	1019.85	-108205.11	31739.85	280.93
14929	26979	99x105	318.61	235.76	-109121.39	30955.76	208.75
14929	26979	99x105	890.89	335.91	-108549.11	31055.91	251.03
14929	26980	100x105	546.88	1673.35	-106973.12	32393.35	185.89
14929	26722	98x104	682.51	961.23	-110677.49	29761.23	180
14929	26722	98x104	1471.52	445.0	-109888.48	29245.0	198.22
14929	26723	99x104	528.24	400.99	-108911.76	29200.99	297.6
14929	26723	99x104	1386.77	735.11	-108053.23	29535.11	246.78
14929	26723	99x104	1782.92	60.15	-107657.08	28860.15	303.95
14929	26467	99x103	1074.73	1394.43	-108365.27	28274.43	301.62
14929	26467	99x103	84.27	1277.4	-109355.73	28157.4	443.24
14929	26466	98x103	832.84	1448.83	-110527.16	28328.83	190.09
