refid	region	sector	local_x	local_z	world_x	world_z	height
14948	26231	119x102	1693.48	534.94	-69346.52	25494.94	183.11
14948	26232	120x102	575.68	808.86	-68544.32	25768.86	232.98
14948	26232	120x102	1001.68	423.49	-68118.32	25383.49	180
14948	26232	120x102	128.19	1450.8	-68991.81	26410.8	181.54
14948	26488	120x103	17.3	546.39	-69102.7	27426.39	168.81
14948	26488	120x103	608.59	1003.52	-68511.41	27883.52	180
14948	26488	120x103	727.4	1797.79	-68392.6	28677.79	181.91
14948	26744	120x104	172.86	166.19	-68947.14	28966.19	210.51
14948	26487	119x103	1890.66	1413.07	-69149.34	28293.07	155.57
14948	26487	119x103	1248.92	1479.84	-69791.08	28359.84	180
14948	26487	119x103	803.84	1895.42	-70236.16	28775.42	188.84
14948	26743	119x104	723.25	586.53	-70316.75	29386.53	207.59
14948	26743	119x104	1396.17	740.21	-69643.83	29540.21	262.12
14948	26743	119x104	1655.53	1158.34	-69384.47	29958.34	353.53
14948	26744	120x104	299.32	858.84	-68820.68	29658.84	267.67
14948	26744	120x104	510.86	1390.83	-68609.14	30190.83	447.52
14948	26744	120x104	305.25	1756.62	-68814.75	30556.62	431.55
14948	26743	119x104	1729.66	1881.97	-69310.34	30681.97	390.54
14948	27000	120x105	416.34	754.82	-68703.66	31474.82	530.11
14948	27000	120x105	39.16	1283.99	-69080.84	32003.99	588.9
14948	27000	120x105	188.28	1844.99	-68931.72	32564.99	587.08
14948	27255	119x106	1846.81	242.0	-69193.19	32882.0	604.35
14948	27256	120x106	280.66	779.55	-68839.34	33419.55	658.17
14948	27256	120x106	579.96	1389.13	-68540.04	34029.13	778.02
14948	27255	119x106	1737.5	1411.17	-69302.5	34051.17	736.33
14948	27255	119x106	1138.17	1396.82	-69901.83	34036.82	684.08
14948	27254	118x106	1620.55	1754.51	-71339.45	34394.51	548.61
14948	27510	118x107	1102.36	303.35	-71857.64	34863.35	241.84
14948	27254	118x106	1110.97	1204.22	-71849.03	33844.22	557.32
14948	27254	118x106	646.96	739.19	-72313.04	33379.19	387.18
14948	27254	118x106	1130.92	289.53	-71829.08	32929.53	485.89
14948	26998	118x105	373.45	1588.89	-72586.55	32308.89	353.12
14948	26997	117x105	1547.74	1278.21	-73332.26	31998.21	191.57
14948	26998	118x105	685.22	610.62	-72274.78	31330.62	292.93
14948	26742	118x104	760.65	1916.68	-72199.35	30716.68	193.14
14948	26741	117x104	1856.52	1494.29	-73023.48	30294.29	199.3
14948	26741	117x104	1011.55	1754.17	-73868.45	30554.17	215.93
14948	26741	117x104	1215.93	1302.94	-73664.07	30102.94	196.79
14948	26741	117x104	630.75	1000.91	-74249.25	29800.91	180
14948	26741	117x104	1172.52	223.34	-73707.48	29023.34	201
14948	26485	117x103	1534.23	1788.12	-73345.77	28668.12	180
14948	26485	117x103	1135.0	1251.62	-73745.0	28131.62	180
14948	26485	117x103	1022.91	9.1	-73857.09	26889.1	178.48
14948	26229	117x102	1145.53	1412.04	-73734.47	26372.04	181
14948	26229	117x102	758.2	937.54	-74121.8	25897.54	180
14948	26229	117x102	366.45	208.04	-74513.55	25168.04	196.97
14948	26229	117x102	1189.17	225.17	-73690.83	25185.17	209.67
14948	26230	118x102	138.58	371.08	-72821.42	25331.08	180
14948	26230	118x102	173.85	1184.44	-72786.15	26144.44	196.24
14948	26230	118x102	1046.79	976.74	-71913.21	25936.74	188.91
14948	26230	118x102	859.64	507.99	-72100.36	25467.99	180
