refid	region	sector	local_x	local_z	world_x	world_z	height
14943	26480	112x103	571.68	1870.04	-83908.32	28750.04	180
14943	26736	112x104	654.96	563.39	-83825.04	29363.39	180
14943	26736	112x104	716.74	1263.67	-83763.26	30063.67	217.52
14943	27249	113x106	321.49	766.82	-82238.51	33406.82	187.28
14943	27249	113x106	893.51	711.36	-81666.49	33351.36	178.61
14943	27249	113x106	1535.12	695.26	-81024.88	33335.26	142.94
14943	27250	114x106	144.23	730.38	-80495.77	33370.38	162.12
14943	27250	114x106	637.35	827.27	-80002.65	33467.27	143.18
14943	27250	114x106	843.7	1178.96	-79796.3	33818.96	180
14943	27250	114x106	1565.26	1392.44	-79074.74	34032.44	180
14943	27250	114x106	1328.82	762.78	-79311.18	33402.78	180
14943	27251	115x106	68.17	1080.26	-78651.83	33720.26	180
14943	27250	114x106	1818.88	543.93	-78821.12	33183.93	180
14943	27251	115x106	682.45	802.14	-78037.55	33442.14	180
14943	27251	115x106	1375.39	732.4	-77344.61	33372.4	180
14943	27251	115x106	1454.26	1217.53	-77265.74	33857.53	247.81
14943	27252	116x106	303.76	1110.43	-76496.24	33750.43	180
14943	27252	116x106	837.55	1284.38	-75962.45	33924.38	182.65
14943	27252	116x106	1338.57	1091.65	-75461.43	33731.65	214.81
14943	27252	116x106	1675.53	795.08	-75124.47	33435.08	180.33
14943	27253	117x106	80.63	855.88	-74799.37	33495.88	185.23
14943	27253	117x106	354.85	360.97	-74525.15	33000.97	181.37
14943	27252	116x106	1639.03	248.07	-75160.97	32888.07	201.78
14943	27252	116x106	872.18	506.38	-75927.82	33146.38	218.1
14943	27252	116x106	337.93	645.43	-76462.07	33285.43	188.06
14943	27251	115x106	1887.28	293.2	-76832.72	32933.2	221.08
14943	27251	115x106	1421.94	142.03	-77298.06	32782.03	185.83
14943	27251	115x106	596.83	294.86	-78123.17	32934.86	199.29
14943	27251	115x106	791.44	1504.35	-77928.56	34144.35	180
14943	27250	114x106	980.96	274.05	-79659.04	32914.05	180
14943	27250	114x106	286.82	152.9	-80353.18	32792.9	180
14943	27250	114x106	1916.61	68.58	-78723.39	32708.58	219.56
14943	26993	113x105	1493.7	1886.78	-81066.3	32606.78	186.87
14943	27249	113x106	863.09	188.44	-81696.91	32828.44	191.24
14943	26993	113x105	456.27	1636.13	-82103.73	32356.13	152.32
14943	27248	112x106	1776.84	264.14	-82703.16	32904.14	204.9
14943	27248	112x106	1433.01	672.42	-83046.99	33312.42	227.89
14943	26992	112x105	1646.93	1630.09	-82833.07	32350.09	225.05
14943	26993	113x105	28.41	1063.99	-82531.59	31783.99	182.36
14943	26992	112x105	1386.25	919.46	-83093.75	31639.46	219.84
14943	26992	112x105	1129.98	1440.53	-83350.02	32160.53	213.91
14943	26992	112x105	670.6	681.63	-83809.4	31401.63	228.64
14943	26992	112x105	1545.68	235.69	-82934.32	30955.69	293.9
14943	26993	113x105	374.21	166.34	-82185.79	30886.34	206.03
14943	26993	113x105	592.61	868.15	-81967.39	31588.15	216.33
14943	26993	113x105	781.22	1377.25	-81778.78	32097.25	215.22
14943	26737	113x104	635.37	726.45	-81924.63	29526.45	180
14943	26737	113x104	84.58	885.64	-82475.42	29685.64	220.96
14943	26737	113x104	216.73	1470.6	-82343.27	30270.6	204.75
14943	26736	112x104	1612.54	1571.5	-82867.46	30371.5	181.1
14943	26736	112x104	1217.87	1147.49	-83262.13	29947.49	188.35
14943	26736	112x104	864.99	1765.08	-83615.01	30565.08	260.9
14943	26736	112x104	947.9	843.84	-83532.1	29643.84	180
14943	26736	112x104	1051.41	368.1	-83428.59	29168.1	180.36
14943	26480	112x103	909.1	1706.93	-83570.9	28586.93	198.57
14943	26480	112x103	421.69	1445.79	-84058.31	28325.79	180
14943	26480	112x103	76.36	909.27	-84403.64	27789.27	236.79
14943	26480	112x103	605.65	282.23	-83874.35	27162.23	127.56
14943	26480	112x103	1397.97	175.67	-83082.03	27055.67	138.48
14943	26480	112x103	1473.97	810.94	-83006.03	27690.94	191.37
14943	26481	113x103	246.26	96.81	-82313.74	26976.81	198.27
14943	26480	112x103	1476.15	1608.84	-83003.85	28488.84	251.01
14943	26737	113x104	257.38	20.86	-82302.62	28820.86	183.69
14943	26736	112x104	1647.23	231.97	-82832.77	29031.97	211.21
14943	26993	113x105	947.08	264.53	-81612.92	30984.53	229.89
14943	27252	116x106	1676.87	1635.33	-75123.13	34275.33	183.84
14943	27250	114x106	131.98	1390.98	-80508.02	34030.98	173.42
14943	27253	117x106	894.96	1214.08	-73985.04	33854.08	204.15
14943	27253	117x106	973.12	1793.62	-73906.88	34433.62	185.29
14943	27509	117x107	1153.62	528.83	-73726.38	35088.83	241.97
14943	27509	117x107	1194.24	1077.26	-73685.76	35637.26	241.76
14943	27509	117x107	1694.47	1529.81	-73185.53	36089.81	249.24
14943	27510	118x107	270.24	1523.67	-72689.76	36083.67	188.47
14943	27509	117x107	1091.18	1797.48	-73788.82	36357.48	192.4
14943	27509	117x107	550.21	1578.35	-74329.79	36138.35	186.87
14943	27509	117x107	493.43	871.62	-74386.57	35431.62	217.65
14943	27509	117x107	216.46	1207.25	-74663.54	35767.25	234.11
14943	27508	116x107	1827.41	614.84	-74972.59	35174.84	244.38
14943	27508	116x107	1179.63	622.74	-75620.37	35182.74	241.99
14943	27508	116x107	1500.2	1205.8	-75299.8	35765.8	232.83
14943	27765	117x108	65.69	22.12	-74814.31	36502.12	195.19
14943	27765	117x108	564.9	306.23	-74315.1	36786.23	264.17
14943	27764	116x108	1214.68	45.81	-75585.32	36525.81	180
14943	27508	116x107	665.25	1760.55	-76134.75	36320.55	156.35
14943	27763	115x108	1904.71	6.82	-76815.29	36486.82	202.82
14943	27763	115x108	1734.05	521.63	-76985.95	37001.63	180
14943	27507	115x107	1301.38	1643.81	-77418.62	36203.81	263.85
14943	27508	116x107	50.44	1312.35	-76749.56	35872.35	232.55
14943	27508	116x107	153.23	568.28	-76646.77	35128.28	209.75
14943	27507	115x107	1249.91	965.39	-77470.09	35525.39	241.82
14943	27507	115x107	1204.35	232.41	-77515.65	34792.41	205.8
14943	27251	115x106	1823.97	1870.44	-76896.03	34510.44	182.02
14943	27507	115x107	624.49	708.04	-78095.51	35268.04	217.65
14943	27507	115x107	176.19	740.02	-78543.81	35300.02	224.32
14943	27507	115x107	673.46	1544.81	-78046.54	36104.81	212.75
14943	27763	115x108	507.54	167.97	-78212.46	36647.97	180
14943	27506	114x107	1516.42	1664.08	-79123.58	36224.08	316.7
14943	27506	114x107	837.33	1497.07	-79802.67	36057.07	219.43
14943	27762	114x108	803.94	148.26	-79836.06	36628.26	180.16
14943	27762	114x108	291.15	223.88	-80348.85	36703.88	195.18
14943	27761	113x108	1318.66	196.36	-81241.34	36676.36	188.9
14943	27505	113x107	509.27	1810.88	-82050.73	36370.88	153.28
14943	27505	113x107	1487.54	1491.31	-81072.46	36051.31	235.36
14943	27505	113x107	1168.03	1318.63	-81391.97	35878.63	261.2
14943	27505	113x107	1324.41	794.32	-81235.59	35354.32	242.06
14943	27505	113x107	544.05	534.38	-82015.95	35094.38	217.8
14943	27505	113x107	145.26	697.38	-82414.74	35257.38	209.3
14943	27505	113x107	190.36	1291.38	-82369.64	35851.38	145.38
14943	27248	112x106	1889.03	1710.93	-82590.97	34350.93	161.72
14943	27249	113x106	541.3	1594.89	-82018.7	34234.89	171.18
14943	27249	113x106	1422.9	1407.8	-81137.1	34047.8	155.22
14943	27250	114x106	687.44	1866.52	-79952.56	34506.52	171.88
14943	27506	114x107	1477.41	142.86	-79162.59	34702.86	187.96
14943	27506	114x107	1312.32	828.68	-79327.68	35388.68	242.04
14943	27507	115x107	158.34	30.78	-78561.66	34590.78	199.18
14943	27506	114x107	591.99	647.96	-80048.01	35207.96	217.44
14943	27506	114x107	138.49	1402.91	-80501.51	35962.91	143.62
14943	27506	114x107	91.64	735.56	-80548.36	35295.56	209.36
14943	27505	113x107	1465.9	255.74	-81094.1	34815.74	240.99
14943	27505	113x107	1031.71	141.56	-81528.29	34701.56	228.57
14943	27508	116x107	634.49	1021.79	-76165.51	35581.79	213.17
14943	27508	116x107	751.86	106.9	-76048.14	34666.9	182.92
14943	27508	116x107	1239.35	16.33	-75560.65	34576.33	182.5
14943	27509	117x107	392.55	233.62	-74487.45	34793.62	218.34
14943	27765	117x108	1176.88	655.47	-73703.12	37135.47	222.3
14943	27765	117x108	1634.46	316.01	-73245.54	36796.01	180
14943	27510	118x107	880.38	1875.23	-72079.62	36435.23	204.68
14943	26480	112x103	868.63	957.13	-83611.37	27837.13	227.48
14943	26224	112x102	131.79	1567.1	-84348.21	26527.1	154.88
14943	26223	111x102	1794.11	881.11	-84605.89	25841.11	182.17
14943	26224	112x102	200.25	413.92	-84279.75	25373.92	180
14943	26224	112x102	906.34	389.23	-83573.66	25349.23	207.18
14943	26224	112x102	619.09	932.37	-83860.91	25892.37	180
14943	26224	112x102	1228.74	936.18	-83251.26	25896.18	180
14943	26224	112x102	928.39	1430.38	-83551.61	26390.38	153.01
14943	26224	112x102	1657.38	1477.29	-82822.62	26437.29	160.2
14943	26225	113x102	312.86	1492.67	-82247.14	26452.67	183.34
14943	26225	113x102	11.47	986.77	-82548.53	25946.77	198.94
14943	26224	112x102	1590.51	418.84	-82889.49	25378.84	222.6
14943	26225	113x102	313.03	473.15	-82246.97	25433.15	237.5
14943	26225	113x102	673.39	1029.54	-81886.61	25989.54	194.37
14943	26225	113x102	954.16	519.23	-81605.84	25479.23	235.43
14943	26225	113x102	1624.18	403.69	-80935.82	25363.69	267.47
14943	25969	113x101	1152.92	1895.11	-81407.08	24935.11	197.24
14943	26225	113x102	1323.01	1040.39	-81236.99	26000.39	247.43
14943	26225	113x102	1773.82	1509.82	-80786.18	26469.82	237.81
14943	26481	113x103	1479.21	106.02	-81080.79	26986.02	235.13
14943	26225	113x102	999.49	1682.46	-81560.51	26642.46	222.71
14943	26482	114x103	268.97	100.69	-80371.03	26980.69	236.37
14943	26226	114x102	522.35	1429.99	-80117.65	26389.99	183.89
14943	26482	114x103	998.98	43.05	-79641.02	26923.05	155.95
14943	26226	114x102	1244.95	1451.33	-79395.05	26411.33	178.17
14943	26226	114x102	84.22	926.06	-80555.78	25886.06	216.4
14943	26226	114x102	873.22	623.41	-79766.78	25583.41	203.17
14943	26226	114x102	367.09	208.57	-80272.91	25168.57	226.39
14943	26226	114x102	1347.02	113.17	-79292.98	25073.17	184.64
14943	26227	115x102	377.09	246.16	-78342.91	25206.16	180
14943	26226	114x102	1693.13	721.61	-78946.87	25681.61	180
14943	26227	115x102	527.47	888.59	-78192.53	25848.59	188.39
14943	26227	115x102	41.99	1261.61	-78678.01	26221.61	175.44
14943	26227	115x102	254.47	1800.5	-78465.53	26760.5	141.17
14943	26227	115x102	795.5	1579.47	-77924.5	26539.47	198.47
14943	26227	115x102	1217.55	1052.5	-77502.45	26012.5	263.99
14943	26227	115x102	1045.69	433.21	-77674.31	25393.21	245.54
14943	26227	115x102	1748.29	626.5	-76971.71	25586.5	265.99
14943	26483	115x103	1062.52	253.43	-77657.48	27133.43	143.12
14943	26227	115x102	1769.58	1710.3	-76950.42	26670.3	170.41
14943	26228	116x102	595.8	569.12	-76204.2	25529.12	209.36
14943	26228	116x102	367.36	1236.34	-76432.64	26196.34	221.57
14943	26228	116x102	1013.28	1222.98	-75786.72	26182.98	200.39
