refid	region	sector	local_x	local_z	world_x	world_z	height
14944	26480	112x103	558.66	1865.7	-83921.34	28745.7	180
14944	26736	112x104	661.47	578.57	-83818.53	29378.57	180
14944	26736	112x104	727.42	1263.64	-83752.58	30063.64	217.67
14944	27248	112x106	1909.69	1232.29	-82570.31	33872.29	199.28
14944	27249	113x106	559.09	1061.92	-82000.91	33701.92	180
14944	27249	113x106	1134.5	976.08	-81425.5	33616.08	129.82
14944	27249	113x106	1702.93	1040.64	-80857.07	33680.64	128.04
14944	27250	114x106	365.45	1054.83	-80274.55	33694.83	136.62
14944	27250	114x106	999.44	835.61	-79640.56	33475.61	156.71
14944	27250	114x106	539.57	505.95	-80100.43	33145.95	195.13
14944	27249	113x106	1878.42	351.53	-80681.58	32991.53	173.73
14944	27249	113x106	1222.01	375.33	-81337.99	33015.33	228.47
14944	27249	113x106	622.14	490.02	-81937.86	33130.02	180
14944	27248	112x106	1852.81	632.11	-82627.19	33272.11	199.32
14944	26993	113x105	134.93	1880.09	-82425.07	32600.09	239.51
14944	26993	113x105	886.64	1763.7	-81673.36	32483.7	194.03
14944	26993	113x105	438.65	1174.98	-82121.35	31894.98	238.5
14944	26992	112x105	1565.21	1290.9	-82914.79	32010.9	205.27
14944	27248	112x106	1418.55	50.83	-83061.45	32690.83	203.63
14944	26992	112x105	1004.51	958.24	-83475.49	31678.24	221.93
14944	26992	112x105	991.75	966.83	-83488.25	31686.83	221.43
14944	26992	112x105	1725.18	662.12	-82754.82	31382.12	240.59
14944	26993	113x105	509.63	498.76	-82050.37	31218.76	217.96
14944	26737	113x104	711.45	1854.14	-81848.55	30654.14	243.37
14944	26992	112x105	1879.79	11.17	-82600.21	30731.17	205.3
14944	26992	112x105	1143.38	296.05	-83336.62	31016.05	272.46
14944	26736	112x104	1249.03	1612.89	-83230.97	30412.89	235.99
14944	26736	112x104	1773.38	1254.3	-82706.62	30054.3	199.93
14944	26737	113x104	555.34	1095.14	-82004.66	29895.14	245.01
14944	26737	113x104	158.34	407.99	-82401.66	29207.99	180.7
14944	26736	112x104	1400.25	717.16	-83079.75	29517.16	197.92
14944	26736	112x104	1236.45	37.67	-83243.55	28837.67	233.68
14944	26480	112x103	1840.7	1695.73	-82639.3	28575.73	206.82
14944	26480	112x103	1437.48	1180.99	-83042.52	28060.99	247.76
14944	26480	112x103	805.15	1273.35	-83674.85	28153.35	210.23
14944	26480	112x103	445.96	865.84	-84034.04	27745.84	180
14944	26480	112x103	1072.37	656.74	-83407.63	27536.74	199.22
14944	26480	112x103	1840.95	493.23	-82639.05	27373.23	179.18
14944	27250	114x106	1431.94	409.27	-79208.06	33049.27	180
14944	27250	114x106	1569.7	1010.53	-79070.3	33650.53	180
14944	27250	114x106	1155.93	1396.03	-79484.07	34036.03	180
14944	27250	114x106	1820.07	1548.02	-78819.93	34188.02	180
14944	27251	115x106	414.08	1190.79	-78305.92	33830.79	180
14944	27251	115x106	289.77	533.39	-78430.23	33173.39	187.54
14944	26995	115x105	421.32	1874.5	-78298.68	32594.5	208.85
14944	26995	115x105	426.41	1864.33	-78293.59	32584.33	208.99
14944	27251	115x106	1030.13	418.17	-77689.87	33058.17	180
14944	27251	115x106	1005.47	1005.4	-77714.53	33645.4	180
14944	27251	115x106	1786.77	763.23	-76933.23	33403.23	185.89
14944	27251	115x106	1827.94	1356.97	-76892.06	33996.97	180
14944	27252	116x106	678.81	948.77	-76121.19	33588.77	183.81
14944	27252	116x106	447.59	212.65	-76352.41	32852.65	228.23
14944	27252	116x106	1308.69	644.83	-75491.31	33284.83	185.43
14944	27253	117x106	44.92	495.96	-74835.08	33135.96	205.07
14944	27253	117x106	668.2	427.66	-74211.8	33067.66	183.19
14944	27253	117x106	444.19	941.81	-74435.81	33581.81	191.33
14944	27252	116x106	1765.74	1159.07	-75034.26	33799.07	176.26
14944	27252	116x106	1155.95	1465.73	-75644.05	34105.73	169.3
14944	27252	116x106	487.96	1553.86	-76312.04	34193.86	180
14944	27251	115x106	1260.29	1652.99	-77459.71	34292.99	180.36
14944	27253	117x106	1052.25	1397.23	-73827.75	34037.23	198.52
14944	27509	117x107	1300.65	150.36	-73579.35	34710.36	188.61
14944	27509	117x107	1461.61	746.52	-73418.39	35306.52	242.16
14944	27510	118x107	25.35	1206.07	-72934.65	35766.07	232.44
14944	27510	118x107	536.64	1721.38	-72423.36	36281.38	181.82
14944	27509	117x107	1799.1	1876.65	-73080.9	36436.65	241.09
14944	27509	117x107	1285.57	1486.04	-73594.43	36046.04	241.28
14944	27509	117x107	810.34	570.49	-74069.66	35130.49	220.73
14944	27509	117x107	604.69	23.62	-74275.31	34583.62	183.42
14944	27509	117x107	267.73	507.28	-74612.27	35067.28	216.28
14944	27509	117x107	646.26	1189.77	-74233.74	35749.77	212.15
14944	27765	117x108	1217.21	258.56	-73662.79	36738.56	180.16
14944	27509	117x107	711.19	1908.41	-74168.81	36468.41	182.28
14944	27765	117x108	795.26	601.62	-74084.74	37081.62	291.41
14944	27765	117x108	160.33	380.8	-74719.67	36860.8	217.54
14944	27509	117x107	129.2	1552.83	-74750.8	36112.83	234.06
14944	27508	116x107	1810.27	959.81	-74989.73	35519.81	233.89
14944	27508	116x107	1577.16	385.59	-75222.84	34945.59	242.51
14944	27508	116x107	1168.0	992.1	-75632.0	35552.1	242.29
14944	27508	116x107	1451.99	1559.56	-75348.01	36119.56	259.05
14944	27764	116x108	1603.48	227.77	-75196.52	36707.77	180
14944	27764	116x108	916.52	49.74	-75883.48	36529.74	179.94
14944	27508	116x107	813.16	1394.51	-75986.84	35954.51	222.07
14944	27508	116x107	297.04	1752.87	-76502.96	36312.87	150.69
14944	27764	116x108	197.02	360.05	-76602.98	36840.05	180
14944	27763	115x108	1534.06	110.03	-77185.94	36590.03	219.53
14944	27507	115x107	1504.96	1261.01	-77215.04	35821.01	232.11
14944	27508	116x107	241.69	949.78	-76558.31	35509.78	276.65
14944	27508	116x107	741.4	589.71	-76058.6	35149.71	219.42
14944	27508	116x107	252.91	180.34	-76547.09	34740.34	213.61
14944	27507	115x107	1617.66	584.97	-77102.34	35144.97	242.29
14944	27507	115x107	1002.87	723.25	-77717.13	35283.25	241.87
14944	27507	115x107	963.38	1325.08	-77756.62	35885.08	261.39
14944	27763	115x108	907.54	9.41	-77812.46	36489.41	188.41
14944	27507	115x107	337.45	1736.71	-78382.55	36296.71	150.46
14944	27763	115x108	224.44	434.76	-78495.56	36914.76	180
14944	27762	114x108	1760.88	70.22	-78879.12	36550.22	199.01
14944	27506	114x107	1811.32	1374.02	-78828.68	35934.02	234.27
14944	27507	115x107	506.2	1038.98	-78213.8	35598.98	215.98
14944	27507	115x107	453.88	385.96	-78266.12	34945.96	231
14944	27506	114x107	1705.25	713.11	-78934.75	35273.11	241.8
14944	27506	114x107	1209.96	1185.71	-79430.04	35745.71	241.43
14944	27506	114x107	1168.93	1852.2	-79471.07	36412.2	186.53
14944	27762	114x108	655.73	443.15	-79984.27	36923.15	180
14944	27506	114x107	489.53	1757.93	-80150.47	36317.93	151.73
14944	27506	114x107	559.25	1031.88	-80080.75	35591.88	214.59
14944	27506	114x107	981.07	410.08	-79658.93	34970.08	234.51
14944	27506	114x107	270.34	366.23	-80369.66	34926.23	229.53
14944	27505	113x107	1692.41	936.51	-80867.59	35496.51	236.05
14944	27761	113x108	1700.48	247.29	-80859.52	36727.29	180
14944	27761	113x108	1114.63	561.36	-81445.37	37041.36	180
14944	27505	113x107	963.8	1853.62	-81596.2	36413.62	189.56
14944	27761	113x108	418.09	355.6	-82141.91	36835.6	180
14944	27505	113x107	501.03	966.62	-82058.97	35526.62	216.66
14944	27505	113x107	1028.39	558.46	-81531.61	35118.46	239.32
14944	27505	113x107	220.39	156.21	-82339.61	34716.21	213.54
14944	26224	112x102	110.2	1559.39	-84369.8	26519.39	156.43
14944	26223	111x102	1783.73	906.15	-84616.27	25866.15	186.16
14944	26224	112x102	249.63	435.67	-84230.37	25395.67	180
14944	26224	112x102	594.56	978.67	-83885.44	25938.67	180
14944	26224	112x102	929.62	407.74	-83550.38	25367.74	206.93
14944	26224	112x102	1193.27	914.09	-83286.73	25874.09	180
14944	26224	112x102	949.29	1376.8	-83530.71	26336.8	160.59
14944	26224	112x102	1642.74	1468.19	-82837.26	26428.19	160
14944	26224	112x102	1918.71	982.81	-82561.29	25942.81	201.43
14944	26224	112x102	1598.87	389.94	-82881.13	25349.94	222.56
14944	26225	113x102	338.84	478.21	-82221.16	25438.21	239.25
14944	26225	113x102	630.75	1022.3	-81929.25	25982.3	191.42
14944	26225	113x102	322.94	1486.85	-82237.06	26446.85	183.33
14944	26225	113x102	1012.06	1659.87	-81547.94	26619.87	219.01
14944	26481	113x103	1499.02	116.06	-81060.98	26996.06	236.12
14944	26482	114x103	277.85	81.51	-80362.15	26961.51	236.16
14944	26225	113x102	1789.19	1485.99	-80770.81	26445.99	235.09
14944	26225	113x102	1308.86	1023.82	-81251.14	25983.82	247.47
14944	26225	113x102	966.37	498.37	-81593.63	25458.37	236.81
14944	25969	113x101	1138.43	1865.11	-81421.57	24905.11	193.76
14944	26225	113x102	1621.19	396.56	-80938.81	25356.56	266.59
14944	26226	114x102	91.67	904.03	-80548.33	25864.03	218.34
14944	26226	114x102	505.79	1405.2	-80134.21	26365.2	183.54
14944	26482	114x103	992.36	68.27	-79647.64	26948.27	161.26
14944	26226	114x102	1244.3	1428.34	-79395.7	26388.34	179.31
14944	26226	114x102	869.28	593.53	-79770.72	25553.53	204.3
14944	26226	114x102	386.74	183.29	-80253.26	25143.29	222.38
14944	26226	114x102	1367.43	100.11	-79272.57	25060.11	183.83
14944	26226	114x102	1669.12	718.57	-78970.88	25678.57	180
14944	26227	115x102	50.35	1245.59	-78669.65	26205.59	176.15
14944	26227	115x102	535.76	878.02	-78184.24	25838.02	188.05
14944	26227	115x102	389.95	234.36	-78330.05	25194.36	180
14944	26227	115x102	1025.89	411.22	-77694.11	25371.22	241.41
14944	26227	115x102	1212.92	1031.97	-77507.08	25991.97	261.83
14944	26227	115x102	832.51	1581.28	-77887.49	26541.28	197.62
14944	26227	115x102	280.68	1786.05	-78439.32	26746.05	146.62
14944	26227	115x102	1793.97	608.37	-76926.03	25568.37	265.58
14944	26480	112x103	962.16	153.49	-83517.84	27033.49	106.17
14944	26480	112x103	1907.18	1187.6	-82572.82	28067.6	181.83
14944	27250	114x106	335.6	1767.52	-80304.4	34407.52	171.91
14944	27250	114x106	1126.92	1877.84	-79513.08	34517.84	177.73
14944	27251	115x106	451.76	1754.3	-78268.24	34394.3	181.86
14944	27507	115x107	931.93	126.9	-77788.07	34686.9	182.63
14944	27253	117x106	333.64	1448.94	-74546.36	34088.94	209.88
14944	26483	115x103	1078.15	253.33	-77641.85	27133.33	143.66
14944	26228	116x102	600.89	592.0	-76199.11	25552.0	209.49
14944	26228	116x102	372.48	1264.04	-76427.52	26224.04	223.34
14944	26224	112x102	1478.24	1399.42	-83001.76	26359.42	158.55
14944	26225	113x102	1483.35	864.38	-81076.65	25824.38	269.55
14944	26226	114x102	1068.63	1561.34	-79571.37	26521.34	171.32
14944	26226	114x102	1854.06	329.31	-78785.94	25289.31	180
14944	26227	115x102	548.79	1242.39	-78171.21	26202.39	209.43
14944	26228	116x102	1027.68	1189.37	-75772.32	26149.37	200.25
