refid	region	sector	local_x	local_z	world_x	world_z	height
14946	26996	116x105	980.18	1305.25	-75819.82	32025.25	257.24
14946	26996	116x105	1204.39	1758.12	-75595.61	32478.12	244.04
14946	26997	117x105	175.97	1713.4	-74704.03	32433.4	286
14946	26996	116x105	1802.72	1396.36	-74997.28	32116.36	242.46
14946	26997	117x105	373.33	1353.17	-74506.67	32073.17	189.28
14946	26997	117x105	130.35	949.24	-74749.65	31669.24	201.66
14946	26996	116x105	1452.99	992.06	-75347.01	31712.06	248.11
14946	26996	116x105	1736.9	611.02	-75063.1	31331.02	246.28
14946	26996	116x105	1337.45	423.09	-75462.55	31143.09	256.23
14946	26996	116x105	990.51	739.87	-75809.49	31459.87	267.77
14946	26996	116x105	482.78	667.74	-76317.22	31387.74	258.82
14946	26996	116x105	792.26	275.93	-76007.74	30995.93	256.43
14946	26740	116x104	1559.33	1865.93	-75240.67	30665.93	256.23
14946	26740	116x104	1248.68	1420.81	-75551.32	30220.81	204.96
14946	26740	116x104	780.5	1679.41	-76019.5	30479.41	260.52
14946	26740	116x104	766.69	1124.67	-76033.31	29924.67	213.02
14946	26740	116x104	1302.95	855.46	-75497.05	29655.46	192.3
14946	26740	116x104	853.37	626.91	-75946.63	29426.91	199.88
14946	26740	116x104	1189.05	270.14	-75610.95	29070.14	181.67
14946	26484	116x103	1684.96	1812.86	-75115.04	28692.86	180
14946	26484	116x103	1263.66	1718.6	-75536.34	28598.6	207.37
14946	26740	116x104	820.11	26.98	-75979.89	28826.98	182.78
14946	26484	116x103	807.06	1407.83	-75992.94	28287.83	189.51
14946	26484	116x103	271.39	625.3	-76528.61	27505.3	217.45
14946	26484	116x103	250.18	1177.08	-76549.82	28057.08	226.45
14946	26483	115x103	1828.6	1531.05	-76891.4	28411.05	244.23
14946	26483	115x103	1691.06	1006.26	-77028.94	27886.26	201.38
14946	26483	115x103	1678.26	488.81	-77041.74	27368.81	191.77
14946	26483	115x103	1154.53	853.74	-77565.47	27733.74	179.81
14946	26483	115x103	1280.99	1423.11	-77439.01	28303.11	236.44
14946	26483	115x103	755.1	1262.0	-77964.9	28142.0	210.69
14946	26483	115x103	550.4	740.74	-78169.6	27620.74	162.85
14946	26483	115x103	934.18	1832.42	-77785.82	28712.42	256.75
14946	26739	115x104	1809.33	124.97	-76910.67	28924.97	155.12
14946	26739	115x104	1393.21	409.34	-77326.79	29209.34	256.24
14946	26740	116x104	404.83	409.87	-76395.17	29209.87	187.7
14946	26739	115x104	1863.67	677.89	-76856.33	29477.89	247.78
14946	26740	116x104	375.42	885.57	-76424.58	29685.57	248.23
14946	26739	115x104	1732.79	1199.93	-76987.21	29999.93	243.81
14946	26740	116x104	352.27	1428.03	-76447.73	30228.03	200.56
14946	26739	115x104	1772.99	1729.6	-76947.01	30529.6	276
14946	26996	116x105	330.58	74.35	-76469.42	30794.35	257.74
14946	26996	116x105	50.56	488.96	-76749.44	31208.96	250.91
14946	26996	116x105	307.54	1118.7	-76492.46	31838.7	254.12
14946	26995	115x105	1856.48	1453.63	-76863.52	32173.63	257.34
14946	26995	115x105	1352.28	1240.5	-77367.72	31960.5	266.47
14946	26995	115x105	825.66	1123.63	-77894.34	31843.63	245.31
14946	26995	115x105	1227.05	737.49	-77492.95	31457.49	266.05
14946	26995	115x105	1530.87	263.07	-77189.13	30983.07	256.31
14946	26995	115x105	868.45	179.19	-77851.55	30899.19	256.74
14946	26995	115x105	657.74	604.75	-78062.26	31324.75	285.15
