refid	region	sector	local_x	local_z	world_x	world_z	height
14938	27242	106x106	878.63	1122.54	-95121.37	33762.54	154.25
14938	27755	107x108	1168.42	1376.98	-92911.58	37856.98	233.05
14938	27754	106x108	1463.99	186.41	-94536.01	36666.41	181.25
14938	26987	107x105	1535.79	621.25	-92544.21	31341.25	241.76
14938	27245	109x106	1406.35	1573.43	-88833.65	34213.43	181.52
14938	27754	106x108	307.08	150.86	-95692.92	36630.86	185.99
14938	27497	105x107	1756.67	1829.32	-96163.33	36389.32	252.7
14938	27753	105x108	962.66	572.52	-96957.34	37052.52	258.56
14938	27753	105x108	588.67	791.94	-97331.33	37271.94	207.61
14938	27753	105x108	128.98	618.23	-97791.02	37098.23	186.11
14938	27753	105x108	537.23	319.8	-97382.77	36799.8	206.28
14938	27753	105x108	132.0	125.29	-97788.0	36605.29	187.81
14938	27497	105x107	581.4	1710.79	-97338.6	36270.79	223.88
14938	27753	105x108	1062.06	78.07	-96857.94	36558.07	211.08
14938	27497	105x107	1010.56	1507.85	-96909.44	36067.85	244.07
14938	27496	104x107	1890.87	1522.53	-97949.13	36082.53	232.28
14938	27497	105x107	445.45	1237.52	-97474.55	35797.52	266
14938	27497	105x107	921.11	1009.34	-96998.89	35569.34	254.86
14938	27497	105x107	501.38	730.67	-97418.62	35290.67	251.47
14938	27497	105x107	24.63	479.65	-97895.37	35039.65	250.68
14938	27497	105x107	1463.37	1220.98	-96456.63	35780.98	251.71
14938	27497	105x107	1460.68	690.78	-96459.32	35250.78	250.42
14938	27497	105x107	961.77	440.47	-96958.23	35000.47	257.83
14938	27497	105x107	531.09	196.85	-97388.91	34756.85	259.39
14938	27241	105x106	949.92	1835.36	-96970.08	34475.36	256.35
14938	27241	105x106	402.17	1507.97	-97517.83	34147.97	311.77
14938	27497	105x107	1886.7	1016.82	-96033.3	35576.82	259.27
14938	27498	106x107	6.2	512.14	-95993.8	35072.14	246.25
14938	27497	105x107	1544.57	131.34	-96375.43	34691.34	256.15
14938	27241	105x106	1253.96	1474.7	-96666.04	34114.7	317.05
14938	27241	105x106	879.31	1203.17	-97040.69	33843.17	309.74
