refid	region	sector	local_x	local_z	world_x	world_z	height
1949	23971	163x93	93.55	4.31	13533.55	7684.31	1210.75
1949	23710	158x92	940.67	1169.32	4780.67	6929.32	1021.57
1949	23200	160x90	210.53	889.15	7890.53	2809.15	1411.31
1949	23201	161x90	323.97	868.19	9923.97	2788.19	1364.92
1949	24221	157x94	1814.73	686.5	3734.73	10286.5	755.98
1949	23965	157x93	1721.15	1297.87	3641.15	8977.87	765.3
1949	23708	156x92	803.55	1532.78	803.55	7292.78	775.59
1949	23708	156x92	1549.12	30.26	1549.12	5790.26	859.48
1949	23453	157x91	1903.79	670.85	3823.79	4510.85	867.29
1949	23453	157x91	978.99	880.35	2898.99	4720.35	669.3
1949	23196	156x90	1592.44	1401.47	1592.44	3321.47	931.57
1949	23452	156x91	1373.5	956.68	1373.5	4796.68	903.96
1949	23197	157x90	545.88	654.85	2465.88	2574.85	899.65
1949	23198	158x90	419.92	576.38	4259.92	2496.38	901.01
1949	23198	158x90	904.55	1498.75	4744.55	3418.75	1015.12
1949	23199	159x90	43.19	519.98	5803.19	2439.98	1108.59
1949	23458	162x91	682.05	628.5	12202.05	4468.5	1280.14
1949	23459	163x91	405.66	268.23	13845.66	4108.23	1061.17
1949	24222	158x94	1669.83	297.58	5509.83	9897.58	1017.38
1949	23966	158x93	513.33	129.67	4353.33	7809.67	825.54
1949	23708	156x92	1576.65	1207.83	1576.65	6967.83	761.11
1949	24220	156x94	1198.01	705.03	1198.01	10305.03	228.5
1949	23453	157x91	1031.92	1414.96	2951.92	5254.96	676.86
1949	23455	159x91	566.25	1658.31	6326.25	5498.31	981.62
1949	23712	160x92	778.05	711.4	8458.05	6471.4	1414.3
1949	23713	161x92	186.76	532.43	9786.76	6292.43	1402.54
1949	23457	161x91	1062.89	1645.75	10662.89	5485.75	1428.62
1949	23714	162x92	548.6	0.93	12068.6	5760.93	1303.47
1949	23712	160x92	1434.03	672.06	9114.03	6432.06	1401.21
1949	23455	159x91	1303.78	1442.72	7063.78	5282.72	1403.28
1949	24477	157x95	1801.04	630.02	3721.04	12150.02	604.09
1949	24221	157x94	698.57	1711.48	2618.57	11311.48	422.76
1949	23454	158x91	614.13	1821.54	4454.13	5661.54	837.56
1949	23196	156x90	724.69	1663.85	724.69	3583.85	1179.26
1949	23457	161x91	306.13	1367.19	9906.13	5207.19	1402.78
1949	23457	161x91	194.61	1716.95	9794.61	5556.95	1406.57
1949	23202	162x90	1717.99	1054.84	13237.99	2974.84	1129.2
1949	23203	163x90	991.54	885.9	14431.54	2805.9	765.27
1949	23456	160x91	1612.92	1053.2	9292.92	4893.2	1407.76
1949	24734	158x96	0.29	422.56	3840.29	13862.56	298
1949	24992	160x97	955.67	368.72	8635.67	15728.72	247.53
1949	23455	159x91	1231.96	283.87	6991.96	4123.87	1372.06
1949	23711	159x92	1318.05	1255.83	7078.05	7015.83	1375.99
1949	23712	160x92	471.78	1395.21	8151.78	7155.21	1387.56
1949	23713	161x92	191.32	1395.53	9791.32	7155.53	1376.13
1949	23713	161x92	780.31	761.21	10380.31	6521.21	1375.36
1949	23456	160x91	1161.66	112.17	8841.66	3952.17	1542.3
1949	23456	160x91	193.63	702.52	7873.63	4542.52	1381.42
1949	23457	161x91	1606.44	714.63	11206.44	4554.63	1382.22
1949	23712	160x92	774.52	181.35	8454.52	5941.35	1548.4
1949	23456	160x91	785.75	1355.82	8465.75	5195.82	1556.86
1949	23456	160x91	572.87	1348.16	8252.87	5188.16	1558.83
1949	23456	160x91	334.25	1352.0	8014.25	5192.0	1555.19
1949	23456	160x91	1001.72	1346.26	8681.72	5186.26	1556.98
1949	23456	160x91	1222.57	1344.57	8902.57	5184.57	1550.96
1949	23712	160x92	540.98	203.78	8220.98	5963.78	1553.06
1949	23712	160x92	667.69	160.55	8347.69	5920.55	1556.05
1949	23712	160x92	923.39	163.01	8603.39	5923.01	1551.12
1949	23712	160x92	1106.84	150.99	8786.84	5910.99	1554.31
1949	23712	160x92	1253.91	136.99	8933.91	5896.99	1552.61
