refid	region	sector	local_x	local_z	world_x	world_z	height
1945	23716	164x92	1165.05	133.8	16525.05	5893.8	549.29
1945	23201	161x90	1664.44	733.74	11264.44	2653.74	1284.56
1945	23711	159x92	1731.63	320.99	7491.63	6080.99	996.92
1945	23966	158x93	1472.05	1075.06	5312.05	8755.06	856.62
1945	23966	158x93	821.15	1759.12	4661.15	9439.12	890.91
1945	23456	160x91	966.39	1000.46	8646.39	4840.46	1404.64
1945	23457	161x91	1662.38	1718.12	11262.38	5558.12	1397.29
1945	23458	162x91	710.2	65.7	12230.2	3905.7	1375.66
1945	23458	162x91	1648.79	548.76	13168.79	4388.76	1116.1
1945	23458	162x91	1292.09	1324.66	12812.09	5164.66	1259.51
1945	23715	163x92	340.89	531.82	13780.89	6291.82	1309.41
1945	23459	163x91	535.22	1489.63	13975.22	5329.63	1339.78
1945	23204	164x90	908.14	1821.27	16268.14	3741.27	749.27
1945	23203	163x90	1859.92	1337.7	15299.92	3257.7	666.43
1945	23711	159x92	1096.23	143.71	6856.23	5903.71	1065.03
1945	23712	160x92	264.22	588.2	7944.22	6348.2	1403.28
1945	24228	164x94	1730.24	0.79	17090.24	9600.79	449.87
1945	23457	161x91	512.86	556.68	10112.86	4396.68	1376.53
1945	23456	160x91	284.32	1742.33	7964.32	5582.33	1512
1945	23456	160x91	1262.12	1741.13	8942.12	5581.13	1554.17
1945	23456	160x91	331.87	1545.67	8011.87	5385.67	1555.55
1945	23456	160x91	85.88	1607.15	7765.88	5447.15	1552.56
1945	23456	160x91	89.29	1826.39	7769.29	5666.39	1552.02
1945	23712	160x92	320.98	5.11	8000.98	5765.11	1559.07
1945	23712	160x92	350.31	179.08	8030.31	5939.08	1552.14
1945	23456	160x91	1266.63	1858.02	8946.63	5698.02	1551.59
1945	23456	160x91	1475.34	1863.9	9155.34	5703.9	1551.4
1945	23456	160x91	1491.71	1604.38	9171.71	5444.38	1552.33
1945	23456	160x91	1249.96	1560.29	8929.96	5400.29	1556.53
