refid	region	sector	local_x	local_z	world_x	world_z	height
1935	23717	165x92	1291.96	1912.53	18571.96	7672.53	464.97
1935	23976	168x93	6.19	1896.42	23046.19	9576.42	163.39
1935	24232	168x94	1677.53	1391.26	24717.53	10991.26	83.69
1935	24490	170x95	1555.02	125.68	28435.02	11645.68	16.01
1935	24490	170x95	33.37	1855.28	26913.37	13375.28	0.41
1935	24490	170x95	1919.72	1858.33	28799.72	13378.33	60.52
1935	23974	166x93	335.45	1099.25	19535.45	8779.25	541.61
1935	23974	166x93	1248.96	1206.67	20448.96	8886.67	451.99
1935	23974	166x93	1246.35	251.99	20446.35	7931.99	287.91
1935	23718	166x92	1026.02	416.05	20226.02	6176.05	190.34
1935	23719	167x92	292.14	392.05	21412.14	6152.05	191.11
1935	23719	167x92	1620.58	386.53	22740.58	6146.53	182.01
1935	23720	168x92	915.54	566.03	23955.54	6326.03	163.75
1935	23721	169x92	240.46	696.94	25200.46	6456.94	70.46
1935	23721	169x92	1374.87	1710.05	26334.87	7470.05	28.79
1935	23719	167x92	554.12	1821.32	21674.12	7581.32	78.88
1935	23975	167x93	257.1	1012.42	21377.1	8692.42	338.95
1935	23975	167x93	1278.47	758.69	22398.47	8438.69	218.64
1935	23976	168x93	1175.95	786.44	24215.95	8466.44	124.91
1935	23977	169x93	252.41	1742.35	25212.41	9422.35	48.6
1935	24231	167x94	1158.43	724.31	22278.43	10324.31	75.97
1935	23977	169x93	1525.42	1633.93	26485.42	9313.93	27.62
1935	24234	170x94	343.1	424.24	27223.1	10024.24	20.42
1935	24490	170x95	1105.27	1027.82	27985.27	12547.82	44.24
1935	23718	166x92	525.35	954.3	19725.35	6714.3	210.8
1935	25258	170x98	555.63	972.84	27435.63	18252.84	24.62
1935	24747	171x96	769.16	1740.82	29569.16	15180.82	124.68
1935	24747	171x96	1783.47	530.37	30583.47	13970.37	253.82
1935	25004	172x97	1315.11	222.56	32035.11	15582.56	153.25
1935	24748	172x96	1244.36	1431.69	31964.36	14871.69	173.41
1935	24749	173x96	868.29	212.58	33508.29	13652.58	348
1935	24493	173x95	1392.84	1518.7	34032.84	13038.7	348.67
1935	25261	173x98	101.41	200.11	32741.41	17480.11	278.56
1935	24747	171x96	1786.24	1896.55	30586.24	15336.55	44.28
1935	23717	165x92	1251.44	1183.56	18531.44	6943.56	306.29
1935	24232	168x94	1486.15	197.46	24526.15	9797.46	6.6
1935	24232	168x94	716.3	360.77	23756.3	9960.77	93.22
