refid	region	sector	local_x	local_z	world_x	world_z	height
1956	25244	156x98	374.47	1913.78	374.47	19193.78	74.26
1956	25757	157x100	307.49	132.14	2227.49	21252.14	-6.46
1956	25758	158x100	1191.58	90.56	5031.58	21210.56	68.86
1956	26014	158x101	361.07	70.47	4201.07	23110.47	59.66
1956	26015	159x101	929.85	929.51	6689.85	23969.51	58.34
1956	26017	161x101	529.81	998.7	10129.81	24038.7	74.62
1956	25244	156x98	1574.52	899.31	1574.52	18179.31	78.22
1956	25501	157x99	404.86	781.13	2324.86	19981.13	36.33
1956	25501	157x99	1464.72	1119.97	3384.72	20319.97	52.17
1956	25757	157x100	1002.77	1034.19	2922.77	22154.19	-27.64
1956	25245	157x98	1160.72	1919.81	3080.72	19199.81	54.95
1956	25502	158x99	677.19	780.2	4517.19	19980.2	47.76
1956	25503	159x99	559.75	1403.59	6319.75	20603.59	91.91
1956	25503	159x99	1476.65	1735.04	7236.65	20935.04	96.91
1956	25759	159x100	1655.24	576.67	7415.24	21696.67	58.44
1956	25760	160x100	892.25	1060.8	8572.25	22180.8	107.15
1956	25759	159x100	467.8	1837.11	6227.8	22957.11	77.05
1956	25761	161x100	1098.27	1919.88	10698.27	23039.88	63.28
1956	25501	157x99	727.73	1534.23	2647.73	20734.23	10.78
1956	25758	158x100	1479.5	1639.01	5319.5	22759.01	4.23
1956	26017	161x101	397.78	27.56	9997.78	23067.56	84.16
1956	26013	157x101	606.81	388.84	2526.81	23428.84	-65.65
1956	26272	160x102	791.34	149.7	8471.34	25109.7	12.97
1956	26273	161x102	638.61	1524.57	10238.61	26484.57	-63.5
1956	25760	160x100	1480.98	1446.8	9160.98	22566.8	107.75
1956	25245	157x98	906.03	697.34	2826.03	17977.34	75.48
1956	25759	159x100	1555.37	1453.44	7315.37	22573.44	43
