refid	region	sector	local_x	local_z	world_x	world_z	height
1937	25258	170x98	327.0	1865.36	27207.0	19145.36	39.4
1937	25003	171x97	1255.9	62.67	30055.9	15422.67	50.55
1937	25260	172x98	438.4	844.77	31158.4	18124.77	208.63
1937	25516	172x99	496.74	537.46	31216.74	19737.46	50.86
1937	25516	172x99	1447.37	499.6	32167.37	19699.6	102.45
1937	25517	173x99	762.42	555.56	33402.42	19755.56	101.1
1937	25261	173x98	1161.04	1194.25	33801.04	18474.25	254.46
1937	25005	173x97	376.79	1435.28	33016.79	16795.28	263.2
1937	25004	172x97	997.68	894.85	31717.68	16254.85	236.64
1937	24748	172x96	898.81	1843.83	31618.81	15283.83	249.56
1937	24747	171x96	1759.94	1181.15	30559.94	14621.15	59.82
1937	24749	173x96	1064.56	1863.06	33704.56	15303.06	305.13
1937	24748	172x96	1896.18	1770.42	32616.18	15210.42	264.83
1937	24749	173x96	719.54	1006.98	33359.54	14446.98	251.56
1937	24749	173x96	1526.71	251.79	34166.71	13691.79	331.04
1937	24749	173x96	300.9	243.49	32940.9	13683.49	273.13
1937	24748	172x96	530.63	370.86	31250.63	13810.86	240.5
1937	24747	171x96	777.43	914.93	29577.43	14354.93	99.06
1937	24491	171x95	1590.35	1748.57	30390.35	13268.57	137.56
1937	24491	171x95	1072.88	1078.86	29872.88	12598.86	66.42
1937	24492	172x95	1187.61	1120.71	31907.61	12640.71	209.17
1937	24493	173x95	583.07	1345.42	33223.07	12865.42	286.82
1937	24493	173x95	70.6	915.21	32710.6	12435.21	232.15
1937	24492	172x95	595.01	843.91	31315.01	12363.91	253.71
1937	25510	166x99	1359.13	481.73	20559.13	19681.73	61.46
1937	25512	168x99	1831.15	1183.32	24871.15	20383.32	21.84
1937	25514	170x99	186.9	1684.52	27066.9	20884.52	57.81
1937	25514	170x99	490.32	912.28	27370.32	20112.28	12.33
1937	25258	170x98	964.53	1786.46	27844.53	19066.46	-0.4
1937	25260	172x98	540.8	1526.94	31260.8	18806.94	453.12
