refid	region	sector	local_x	local_z	world_x	world_z	height
1933	25258	170x98	812.68	392.9	27692.68	17672.9	75.08
1933	25258	170x98	1610.9	503.83	28490.9	17783.83	60.94
1933	25002	170x97	1725.88	1273.01	28605.88	16633.01	20.07
1933	24746	170x96	696.1	1510.15	27576.1	14950.15	56.98
1933	24745	169x96	1897.92	721.31	26857.92	14161.31	39.46
1933	24745	169x96	995.83	680.79	25955.83	14120.79	21.69
1933	24744	168x96	1842.3	600.94	24882.3	14040.94	-29.38
1933	24744	168x96	1260.99	22.69	24300.99	13462.69	0.03
1933	24744	168x96	1089.65	600.09	24129.65	14040.09	-28.38
1933	24744	168x96	553.74	471.07	23593.74	13911.07	-30.53
1933	24743	167x96	1754.67	674.61	22874.67	14114.61	-30.53
1933	24488	168x95	1130.58	1566.93	24170.58	13086.93	28.91
1933	24487	167x95	1039.77	1034.5	22159.77	12554.5	-16.42
1933	24487	167x95	1339.04	1661.79	22459.04	13181.79	-40.29
1933	25254	166x98	372.92	1698.35	19572.92	18978.35	100.92
1933	24998	166x97	738.37	1579.62	19938.37	16939.62	161.54
1933	24230	166x94	30.12	1520.71	19230.12	11120.71	435.19
1933	24485	165x95	861.25	677.08	18141.25	12197.08	362.92
1933	24485	165x95	927.08	1500.33	18207.08	13020.33	193.35
1933	24746	170x96	1813.52	1883.61	28693.52	15323.61	38.58
1933	24746	170x96	1881.96	247.34	28761.96	13687.34	155.53
1933	25254	166x98	285.53	477.62	19485.53	17757.62	110.72
1933	25254	166x98	759.07	1233.44	19959.07	18513.44	30.29
1933	24998	166x97	516.73	546.85	19716.73	15906.85	146.9
1933	24998	166x97	1262.01	199.82	20462.01	15559.82	42.57
1933	24742	166x96	0.13	1441.03	19200.13	14881.03	189.94
1933	24741	165x96	1295.2	731.12	18575.2	14171.12	182.55
1933	24742	166x96	937.89	1190.4	20137.89	14630.4	119.82
1933	24742	166x96	1694.5	943.28	20894.5	14383.28	114.94
1933	24742	166x96	868.4	166.02	20068.4	13606.02	151.27
1933	24485	165x95	1322.64	80.81	18602.64	11600.81	382.36
1933	24486	166x95	638.44	1453.45	19838.44	12973.45	175.53
1933	24486	166x95	350.56	570.7	19550.56	12090.7	356.51
1933	24486	166x95	967.54	612.91	20167.54	12132.91	287.13
1933	24743	167x96	621.59	457.74	21741.59	13897.74	46.25
1933	24487	167x95	45.45	1415.36	21165.45	12935.36	43.06
1933	24488	168x95	252.75	1539.01	23292.75	13059.01	-49.45
1933	24487	167x95	1770.22	875.67	22890.22	12395.67	-36.56
1933	24487	167x95	411.14	342.95	21531.14	11862.95	11.27
1933	24230	166x94	789.19	423.65	19989.19	10023.65	312.42
1933	24231	167x94	123.49	891.66	21243.49	10491.66	102.59
1933	24231	167x94	890.01	1504.34	22010.01	11104.34	54.89
1933	24232	168x94	122.34	932.38	23162.34	10532.38	129.7
1933	24490	170x95	283.21	892.81	27163.21	12412.81	66.19
1933	24746	170x96	1014.54	331.48	27894.54	13771.48	106.37
1933	24746	170x96	1627.7	990.88	28507.7	14430.88	80.5
1933	25002	170x97	1177.43	1699.79	28057.43	17059.79	-3.83
1933	24489	169x95	796.49	1504.08	25756.49	13024.08	-25.97
1933	24489	169x95	1671.43	571.23	26631.43	12091.23	6.59
1933	24489	169x95	655.54	705.15	25615.54	12225.15	-28.6
1933	24490	170x95	1477.1	1439.57	28357.1	12959.57	53.04
1933	24488	168x95	1903.47	1827.82	24943.47	13347.82	-53.8
1933	24742	166x96	1869.4	174.75	21069.4	13614.75	23.59
1933	24998	166x97	999.58	907.01	20199.58	16267.01	57.04
1933	25254	166x98	805.78	332.99	20005.78	17612.99	15.66
