refid	region	sector	local_x	local_z	world_x	world_z	height
1941	24236	172x94	703.54	437.94	31423.54	10037.94	194.59
1941	23979	171x93	1576.99	128.56	30376.99	7808.56	232.51
1941	23724	172x92	40.71	347.44	30760.71	6107.44	359.84
1941	23723	171x92	295.69	390.97	29095.69	6150.97	207.95
1941	23978	170x93	1725.36	173.15	28605.36	7853.15	146.15
1941	26027	171x101	207.07	1056.83	29007.07	24096.83	433.39
1941	25771	171x100	168.48	1816.82	28968.48	22936.82	433.68
1941	25770	170x100	1739.01	1513.54	28619.01	22633.54	433.17
1941	25771	171x100	175.3	45.86	28975.3	21165.86	432.74
1941	25771	171x100	777.7	356.92	29577.7	21476.92	331.23
1941	25771	171x100	767.06	1577.89	29567.06	22697.89	331.23
1941	26027	171x101	750.68	792.5	29550.68	23832.5	332.8
1941	26027	171x101	1395.22	1115.59	30195.22	24155.59	247.07
1941	25771	171x100	1355.73	1870.26	30155.73	22990.26	240.2
1941	25771	171x100	1355.97	663.14	30155.97	21783.14	240.13
1941	25516	172x99	56.15	1590.32	30776.15	20790.32	147.03
1941	25772	172x100	25.78	1335.13	30745.78	22455.13	145.62
1941	26027	171x101	1904.39	623.69	30704.39	23663.69	145.23
1941	26028	172x101	933.7	875.93	31653.7	23915.93	50.11
1941	25772	172x100	1816.4	619.12	32536.4	21739.12	137.31
1941	25772	172x100	1802.81	1919.34	32522.81	23039.34	137.37
1941	26028	172x101	1773.05	1083.91	32493.05	24123.91	137.31
1941	26029	173x101	573.03	454.09	33213.03	23494.09	236.11
1941	25773	173x100	558.52	1060.66	33198.52	22180.66	236.12
1941	25517	173x99	532.96	1696.29	33172.96	20896.29	236.01
1941	25773	173x100	1231.29	596.26	33871.29	21716.26	322.33
1941	25773	173x100	1203.57	1882.48	33843.57	23002.48	322.33
1941	26029	173x101	1217.83	1092.29	33857.83	24132.29	319.52
1941	26029	173x101	1760.18	544.85	34400.18	23584.85	424.96
1941	25773	173x100	1687.55	1508.15	34327.55	22628.15	422.87
1941	25774	174x100	79.03	1317.81	34639.03	22437.81	424.45
1941	25517	173x99	1711.64	1886.35	34351.64	21086.35	420.14
1941	26284	172x102	678.24	605.35	31398.24	25565.35	11.98
1941	26284	172x102	1285.86	568.59	32005.86	25528.59	12.84
1941	25772	172x100	24.84	231.87	30744.84	21351.87	147.03
1941	26028	172x101	951.96	427.61	31671.96	23467.61	50.1
