refid	region	sector	local_x	local_z	world_x	world_z	height
1947	25251	163x98	85.74	38.67	13525.74	17318.67	1014.98
1947	24224	160x94	1117.12	1211.33	8797.12	10811.33	655.97
1947	24225	161x94	78.53	1651.56	9678.53	11251.56	576.33
1947	24481	161x95	901.07	580.41	10501.07	12100.41	717.57
1947	24481	161x95	1445.73	1598.6	11045.73	13118.6	778.64
1947	24737	161x96	1867.94	867.2	11467.94	14307.2	718.86
1947	24482	162x95	524.3	1899.95	12044.3	13419.95	891.04
1947	24482	162x95	1168.8	991.88	12688.8	12511.88	1183.77
1947	23967	159x93	1864.0	1455.47	7624.0	9135.47	971.42
1947	23968	160x93	969.99	1760.3	8649.99	9440.3	924.08
1947	24225	161x94	38.93	405.12	9638.93	10005.12	916.35
1947	24225	161x94	1617.14	1862.69	11217.14	11462.69	741.87
1947	23969	161x93	591.7	1301.93	10191.7	8981.93	922.66
1947	23969	161x93	1719.05	938.56	11319.05	8618.56	1019.75
1947	23970	162x93	902.01	506.98	12422.01	8186.98	1074.99
1947	23714	162x92	885.63	1617.08	12405.63	7377.08	1277.45
1947	24226	162x94	1150.04	340.8	12670.04	9940.8	1067.18
1947	24226	162x94	569.95	1499.58	12089.95	11099.58	841.34
1947	23971	163x93	867.37	1236.13	14307.37	8916.13	987.55
1947	23971	163x93	526.49	651.11	13966.49	8331.11	1087.9
1947	23969	161x93	1730.72	1710.2	11330.72	9390.2	1087.96
1947	23969	161x93	934.12	1885.44	10534.12	9565.44	1156.03
1947	24992	160x97	1573.97	493.17	9253.97	15853.17	247.14
1947	24736	160x96	751.26	1676.34	8431.26	15116.34	452.74
1947	24735	159x96	1919.25	458.7	7679.25	13898.7	650.58
1947	24479	159x95	1436.82	832.74	7196.82	12352.74	829.66
1947	23964	156x93	1569.46	832.82	1569.46	8512.82	553.29
1947	23708	156x92	1092.01	673.93	1092.01	6433.93	932.57
1947	23453	157x91	20.06	647.9	1940.06	4487.9	792.39
1947	23454	158x91	701.52	1249.79	4541.52	5089.79	917.54
1947	23197	157x90	1881.61	1514.38	3801.61	3434.38	814.06
1947	23969	161x93	1255.85	1142.01	10855.85	8822.01	965.11
1947	24226	162x94	0.83	337.49	11520.83	9937.49	1207.24
1947	24992	160x97	200.38	538.1	7880.38	15898.1	201.05
