refid	region	sector	local_x	local_z	world_x	world_z	height
1954	23712	160x92	532.82	938.17	8212.82	6698.17	1390.6
1954	23455	159x91	1254.82	1578.66	7014.82	5418.66	1386.23
1954	23456	160x91	400.92	690.95	8080.92	4530.95	1387.23
1954	23457	161x91	466.7	1636.89	10066.7	5476.89	1384.57
1954	23965	157x93	60.96	94.49	1980.96	7774.49	645.3
1954	24478	158x95	16.37	231.51	3856.37	11751.51	527.27
1954	24223	159x94	1359.33	304.92	7119.33	9904.92	906.13
1954	23970	162x93	1508.24	1679.7	13028.24	9359.7	1051.97
1954	23202	162x90	1709.13	1603.99	13229.13	3523.99	1027.5
1954	23198	158x90	1281.72	814.4	5121.72	2734.4	1002.67
1954	23453	157x91	854.73	406.29	2774.73	4246.29	701.3
