refid	region	sector	local_x	local_z	world_x	world_z	height
1951	23722	170x92	812.71	735.83	27692.71	6495.83	57.75
1951	23722	170x92	1046.53	1801.35	27926.53	7561.35	88.96
1951	23722	170x92	1673.46	401.62	28553.46	6161.62	163.6
1951	23723	171x92	1436.52	311.31	30236.52	6071.31	287.42
1951	23724	172x92	377.15	533.43	31097.15	6293.43	383.91
1951	23724	172x92	1216.66	414.05	31936.66	6174.05	507.14
1951	23724	172x92	257.41	1201.35	30977.41	6961.35	310.35
1951	23725	173x92	422.32	519.42	33062.32	6279.42	821.47
1951	23725	173x92	1344.14	1399.99	33984.14	7159.99	750.32
1951	23725	173x92	895.88	1682.98	33535.88	7442.98	688.89
1951	23980	172x93	1073.82	129.87	31793.82	7809.87	298.57
1951	23724	172x92	1362.44	1444.38	32082.44	7204.38	367.46
1951	23724	172x92	259.33	1860.53	30979.33	7620.53	265.02
1951	23978	170x93	1428.74	568.25	28308.74	8248.25	82.94
1951	23979	171x93	160.38	1146.15	28960.38	8826.15	107.22
1951	23979	171x93	1025.57	990.6	29825.57	8670.6	199.15
1951	23979	171x93	327.29	1587.58	29127.29	9267.58	218.12
1951	23979	171x93	1766.1	609.18	30566.1	8289.18	213.33
1951	24235	171x94	754.68	131.16	29554.68	9731.16	76.08
1951	23980	172x93	241.66	1128.94	30961.66	8808.94	210.63
1951	24235	171x94	1443.52	1112.33	30243.52	10712.33	81.19
1951	23980	172x93	701.14	1848.06	31421.14	9528.06	196.25
1951	23980	172x93	0.13	1852.68	30720.13	9532.68	157.64
1951	23980	172x93	1663.22	1029.49	32383.22	8709.49	500.83
1951	23981	173x93	1415.71	526.05	34055.71	8206.05	606.66
1951	23981	173x93	1020.68	1080.72	33660.68	8760.72	500.54
1951	23980	172x93	1868.85	1657.37	32588.85	9337.37	368.29
1951	24236	172x94	764.64	1068.48	31484.64	10668.48	148.83
1951	24236	172x94	1704.21	648.14	32424.21	10248.14	244.46
1951	23981	173x93	1731.58	1394.35	34371.58	9074.35	445.81
1951	24237	173x94	1530.88	312.83	34170.88	9912.83	354.29
1951	24237	173x94	991.11	869.69	33631.11	10469.69	309.73
1951	24237	173x94	555.25	1574.92	33195.25	11174.92	330.34
1951	24237	173x94	1414.78	1859.32	34054.78	11459.32	365.72
1951	24237	173x94	1518.65	1103.26	34158.65	10703.26	303.27
