refid	region	sector	local_x	local_z	world_x	world_z	height
1939	24233	169x94	979.54	1014.29	25939.54	10614.29	8.35
1939	25510	166x99	107.08	850.45	19307.08	20050.45	172.87
1939	25510	166x99	887.36	879.96	20087.36	20079.96	58.07
1939	25510	166x99	1544.08	1363.94	20744.08	20563.94	53.04
1939	25510	166x99	548.05	1766.45	19748.05	20966.45	66.32
1939	25766	166x100	12.21	126.42	19212.21	21246.42	47.61
1939	25765	165x100	1324.4	1258.19	18604.4	22378.19	46.03
1939	25766	166x100	1110.61	1136.17	20310.61	22256.17	46.12
1939	25766	166x100	1657.55	20.03	20857.55	21140.03	52.61
1939	25511	167x99	962.71	1857.3	22082.71	21057.3	56.61
1939	25511	167x99	1887.79	1428.09	23007.79	20628.09	24.79
1939	25767	167x100	992.52	1261.88	22112.52	22381.88	43.43
1939	25768	168x100	209.13	1584.31	23249.13	22704.31	57.77
1939	25768	168x100	882.01	322.37	23922.01	21442.37	113.33
1939	25512	168x99	1255.84	1375.16	24295.84	20575.16	29.88
1939	25513	169x99	360.17	982.03	25320.17	20182.03	42.36
1939	25513	169x99	90.33	1707.98	25050.33	20907.98	82.08
1939	25768	168x100	1867.87	800.18	24907.87	21920.18	43.36
1939	25768	168x100	1248.41	1528.47	24288.41	22648.47	129.13
1939	25769	169x100	1000.65	1583.72	25960.65	22703.72	64.12
1939	25769	169x100	792.49	300.21	25752.49	21420.21	70.61
1939	25769	169x100	1831.31	1487.2	26791.31	22607.2	77.77
1939	25514	170x99	642.37	958.29	27522.37	20158.29	36.83
1939	25770	170x100	20.97	875.41	26900.97	21995.41	88.72
1939	25513	169x99	883.76	1434.8	25843.76	20634.8	40.93
1939	25513	169x99	1156.07	800.5	26116.07	20000.5	143.39
1939	25766	166x100	1271.26	373.69	20471.26	21493.69	106.86
1939	25511	167x99	424.07	1757.68	21544.07	20957.68	68.29
1939	25766	166x100	580.64	1125.23	19780.64	22245.23	44.3
1939	25768	168x100	140.59	703.38	23180.59	21823.38	57.64
1939	25769	169x100	275.56	388.2	25235.56	21508.2	90.45
