refid	region	sector	local_x	local_z	world_x	world_z	height
1953	24478	158x95	592.14	513.87	4432.14	12033.87	580.14
1953	24736	160x96	1096.29	1315.37	8776.29	14755.37	475.57
1953	24224	160x94	90.76	141.78	7770.76	9741.78	885.74
1953	23967	159x93	1245.07	1588.8	7005.07	9268.8	1106.14
1953	24222	158x94	507.01	1450.09	4347.01	11050.09	563.61
1953	24221	157x94	52.9	748.09	1972.9	10348.09	355.31
1953	23965	157x93	552.72	1166.72	2472.72	8846.72	648.47
1953	23964	156x93	1188.85	1833.0	1188.85	9513.0	316.41
1953	23709	157x92	591.33	1556.24	2511.33	7316.24	657.77
1953	23710	158x92	2.73	1492.41	3842.73	7252.41	854.5
1953	23966	158x93	1088.91	646.91	4928.91	8326.91	788.39
1953	23965	157x93	1806.49	693.76	3726.49	8373.76	674.91
1953	23966	158x93	1221.92	1562.18	5061.92	9242.18	919.54
1953	23453	157x91	129.52	1453.5	2049.52	5293.5	759.35
1953	23452	156x91	774.61	1310.03	774.61	5150.03	1078.89
1953	23453	157x91	1697.06	1662.8	3617.06	5502.8	882.03
1953	23454	158x91	1405.92	1888.51	5245.92	5728.51	1148.53
1953	23454	158x91	527.54	245.65	4367.54	4085.65	989.15
1953	23453	157x91	1002.2	173.85	2922.2	4013.85	704.3
1953	23452	156x91	705.54	399.84	705.54	4239.84	1065.47
1953	23197	157x90	1089.36	945.64	3009.36	2865.64	758.5
1953	23200	160x90	1380.25	974.45	9060.25	2894.45	1447.56
1953	24734	158x96	1213.48	330.76	5053.48	13770.76	211.2
1953	24478	158x95	838.79	1076.49	4678.79	12596.49	516.68
1953	24221	157x94	1657.81	1480.54	3577.81	11080.54	534.39
1953	23965	157x93	934.65	972.41	2854.65	8652.41	634.17
1953	24221	157x94	475.88	139.39	2395.88	9739.39	493.11
1953	24221	157x94	1725.9	220.3	3645.9	9820.3	791.6
1953	23964	156x93	1615.17	1386.53	1615.17	9066.53	446.05
1953	23713	161x92	1597.1	1474.34	11197.1	7234.34	1398.41
