refid	region	sector	local_x	local_z	world_x	world_z	height
1943	25508	164x99	696.26	748.03	16056.26	19948.03	253.2
1943	25251	163x98	1614.69	955.7	15054.69	18235.7	588.24
1943	25253	165x98	431.13	579.31	17711.13	17859.31	217.48
1943	25251	163x98	612.23	407.82	14052.23	17687.82	821.56
1943	24995	163x97	1364.69	1253.34	14804.69	16613.34	705.66
1943	24996	164x97	445.17	632.01	15805.17	15992.01	635.43
1943	24997	165x97	179.6	1002.54	17459.6	16362.54	228.73
1943	24740	164x96	233.37	1759.19	15593.37	15199.19	742.07
1943	24994	162x97	1463.75	462.22	12983.75	15822.22	703.87
1943	24739	163x96	534.83	1103.17	13974.83	14543.17	836.66
1943	24740	164x96	596.28	384.05	15956.28	13824.05	550.26
1943	24483	163x95	1668.13	373.89	15108.13	11893.89	666.68
1943	24228	164x94	288.75	1601.44	15648.75	11201.44	1156.56
1943	24483	163x95	785.02	64.15	14225.02	11584.15	836.33
1943	24227	163x94	151.01	1419.87	13591.01	11019.87	949.68
1943	24226	162x94	1878.0	101.82	13398.0	9701.82	1030.35
1943	24226	162x94	485.52	997.13	12005.52	10597.13	885.14
1943	23971	163x93	1393.89	789.39	14833.89	8469.39	906.83
1943	23972	164x93	854.73	985.61	16214.73	8665.61	512.86
1943	23973	165x93	11.12	1470.59	17291.12	9150.59	340.27
1943	23970	162x93	675.28	1349.79	12195.28	9029.79	1045.93
1943	24482	162x95	497.43	251.34	12017.43	11771.34	971.57
1943	24484	164x95	0.5	1649.65	15360.5	13169.65	794.91
1943	23973	165x93	519.79	1672.28	17799.79	9352.28	289.11
1943	23716	164x92	1350.56	1499.94	16710.56	7259.94	588.11
1943	24483	163x95	126.45	1145.85	13566.45	12665.85	1036.08
