refid	region	sector	local_x	local_z	world_x	world_z	height
1976	-32767	1x-128	-527.47	38.14	-298127.47	-416601.86	420
1976	-32767	1x-128	2187.48	213.56	-295412.52	-416426.44	425.04
1976	-32767	1x-128	2668.38	211.79	-294931.62	-416428.21	425.04
1976	-32767	1x-128	2672.61	-251.29	-294927.39	-416891.29	425.04
1976	-32767	1x-128	2181.88	-247.47	-295418.12	-416887.47	425.04
1976	-32767	1x-128	2507.76	-1765.08	-295092.24	-418405.08	420
1976	-32767	1x-128	-207.19	-1940.5	-297807.19	-418580.5	425.04
1976	-32767	1x-128	-688.09	-1938.73	-298288.09	-418578.73	425.04
1976	-32767	1x-128	-692.32	-1475.65	-298292.32	-418115.65	425.04
1976	-32767	1x-128	-201.59	-1479.47	-297801.59	-418119.47	425.04
