refid	region	sector	local_x	local_z	world_x	world_z	height
1973	-32767	1x-128	-774.25	232.51	-298374.25	-416407.49	145
1973	-32767	1x-128	-224.3	240.47	-297824.3	-416399.53	145
1973	-32767	1x-128	-238.13	-246.6	-297838.13	-416886.6	145
1973	-32767	1x-128	-779.54	-242.35	-298379.54	-416882.35	145
1973	-32767	1x-128	2139.87	214.1	-295460.13	-416425.9	140
1973	-32767	1x-128	2687.66	236.37	-294912.34	-416403.63	145
1973	-32767	1x-128	2706.17	-280.85	-294893.83	-416920.85	145
1973	-32767	1x-128	2144.18	-289.78	-295455.82	-416929.78	145
1973	-32767	1x-128	490.33	335.47	-297109.67	-416304.53	284.97
1973	-32767	1x-128	744.38	338.92	-296855.62	-416301.08	284.97
1973	-32767	1x-128	466.68	58.1	-297133.32	-416581.9	284.97
1973	-32767	1x-128	752.98	61.29	-296847.02	-416578.71	284.97
1973	-32767	1x-128	1131.88	358.02	-296468.12	-416281.98	284.97
1973	-32767	1x-128	1444.79	354.92	-296155.21	-416285.08	284.97
1973	-32767	1x-128	1448.12	50.28	-296151.88	-416589.72	284.97
1973	-32767	1x-128	1141.6	57.88	-296458.4	-416582.12	284.97
1973	-32767	1x-128	2754.54	-1959.45	-294845.46	-418599.45	145
1973	-32767	1x-128	2204.59	-1967.41	-295395.41	-418607.41	145
1973	-32767	1x-128	2218.42	-1480.34	-295381.58	-418120.34	145
1973	-32767	1x-128	2759.83	-1484.59	-294840.17	-418124.59	145
1973	-32767	1x-128	-159.58	-1941.04	-297759.58	-418581.04	140
1973	-32767	1x-128	-707.37	-1963.31	-298307.37	-418603.31	145
1973	-32767	1x-128	-725.88	-1446.09	-298325.88	-418086.09	145
1973	-32767	1x-128	-163.89	-1437.16	-297763.89	-418077.16	145
1973	-32767	1x-128	1489.96	-2062.41	-296110.04	-418702.41	284.97
1973	-32767	1x-128	1235.91	-2065.86	-296364.09	-418705.86	284.97
1973	-32767	1x-128	1513.61	-1785.04	-296086.39	-418425.04	284.97
1973	-32767	1x-128	1227.31	-1788.23	-296372.69	-418428.23	284.97
1973	-32767	1x-128	848.41	-2084.96	-296751.59	-418724.96	284.97
1973	-32767	1x-128	535.5	-2081.86	-297064.5	-418721.86	284.97
1973	-32767	1x-128	532.17	-1777.22	-297067.83	-418417.22	284.97
1973	-32767	1x-128	838.69	-1784.82	-296761.31	-418424.82	284.97
