refid	region	sector	local_x	local_z	world_x	world_z	height
1972	-32767	1x-128	-788.6	267.54	-298388.6	-416372.46	0
1972	-32767	1x-128	-193.56	302.4	-297793.56	-416337.6	0
1972	-32767	1x-128	-809.54	-242.09	-298409.54	-416882.09	0
1972	-32767	1x-128	-233.59	-254.39	-297833.59	-416894.39	-6.56
1972	-32767	1x-128	2143.01	250.16	-295456.99	-416389.84	-4.7
1972	-32767	1x-128	2692.56	258.07	-294907.44	-416381.93	0
1972	-32767	1x-128	2687.4	-274.2	-294912.6	-416914.2	0
1972	-32767	1x-128	2135.67	-274.86	-295464.33	-416914.86	0
1972	-32767	1x-128	438.1	324.78	-297161.9	-416315.22	140
1972	-32767	1x-128	739.29	325.98	-296860.71	-416314.02	142.52
1972	-32767	1x-128	730.15	23.45	-296869.85	-416616.55	140
1972	-32767	1x-128	442.68	33.53	-297157.32	-416606.47	142.52
1972	-32767	1x-128	1148.86	336.1	-296451.14	-416303.9	143.32
1972	-32767	1x-128	1436.22	346.11	-296163.78	-416293.89	142.52
1972	-32767	1x-128	1437.69	81.07	-296162.31	-416558.93	142.52
1972	-32767	1x-128	1146.85	75.82	-296453.15	-416564.18	142.52
1972	-32767	1x-128	2768.89	-1994.48	-294831.11	-418634.48	0
1972	-32767	1x-128	2190.85	-2029.34	-295409.15	-418669.34	0
1972	-32767	1x-128	2789.83	-1484.85	-294810.17	-418124.85	0
1972	-32767	1x-128	2213.88	-1472.55	-295386.12	-418112.55	-6.56
1972	-32767	1x-128	-162.72	-1977.1	-297762.72	-418617.1	-4.7
1972	-32767	1x-128	-712.27	-1985.01	-298312.27	-418625.01	0
1972	-32767	1x-128	-707.11	-1452.74	-298307.11	-418092.74	0
1972	-32767	1x-128	-155.38	-1452.08	-297755.38	-418092.08	0
1972	-32767	1x-128	1542.19	-2051.72	-296057.81	-418691.72	140
1972	-32767	1x-128	1241.0	-2052.92	-296359.0	-418692.92	142.52
1972	-32767	1x-128	1250.14	-1750.39	-296349.86	-418390.39	140
1972	-32767	1x-128	1537.61	-1760.47	-296062.39	-418400.47	142.52
1972	-32767	1x-128	831.43	-2063.04	-296768.57	-418703.04	143.32
1972	-32767	1x-128	544.07	-2073.05	-297055.93	-418713.05	142.52
1972	-32767	1x-128	542.6	-1808.01	-297057.4	-418448.01	142.52
1972	-32767	1x-128	833.44	-1802.76	-296766.56	-418442.76	142.52
